date,open,high,low,close,volume,marketcap,average
20180110,0.029939,0.030005,0.015428,0.015748,2536,333900,0.02
20180109,0.013855,0.031632,0.013809,0.029900,4467,154888,0.02
20180108,0.027684,0.028725,0.012273,0.013893,1243,309482,0.02
20180107,0.015482,0.035697,0.011017,0.027723,1670,173071,0.02
20180106,0.010700,0.044738,0.010426,0.015494,11654,119606,0.03
20180105,0.007135,0.013546,0.007062,0.010691,1369,79753,0.01
20180104,0.021295,0.021638,0.003632,0.007134,1846,238025,0.01
20180103,0.025221,0.032886,0.010357,0.021179,4102,281939,0.02
20180102,0.014582,0.029453,0.011142,0.025311,4829,162887,0.02
20180101,0.004893,0.016536,0.004622,0.016473,9135,54744,0.01
20171231,0.004069,0.005104,0.004028,0.004875,114,45516,0.00
20171230,0.006233,0.006235,0.003652,0.004113,222,69793,0.00
20171229,0.003906,0.006361,0.003766,0.006249,252,43754,0.01
20171228,0.004810,0.004830,0.003543,0.003866,6,53876,0.00
20171227,0.004751,0.004968,0.004353,0.004820,217,53216,0.00
20171226,0.004179,0.007263,0.004162,0.004748,316,46806,0.01
20171225,0.004930,0.006090,0.004101,0.004183,145,55223,0.01
20171224,0.005989,0.005989,0.004449,0.004880,85,72324,0.01
20171223,0.005654,0.006364,0.004410,0.005923,95,68303,0.01
20171222,0.006442,0.006506,0.004693,0.005601,67,77828,0.01
20171221,0.005439,0.007042,0.003908,0.006420,344,65811,0.01
20171220,0.003700,0.005485,0.003368,0.005425,77,45216,0.00
20171219,0.006123,0.006292,0.002996,0.003704,641,74839,0.00
20171218,0.006314,0.006367,0.005848,0.006118,25,77225,0.01
20171217,0.007985,0.011488,0.006266,0.006294,162,97857,0.01
20171216,0.007235,0.010844,0.007144,0.007984,154,88872,0.01
20171215,0.010616,0.010616,0.006985,0.007225,49,131190,0.01
20171214,0.006714,0.010645,0.006638,0.010600,50,83220,0.01
20171213,0.008120,0.011443,0.006370,0.006736,288,108729,0.01
20171212,0.011449,0.011611,0.005427,0.008113,397,153597,0.01
20171211,0.008691,0.014871,0.005413,0.011412,1021,116600,0.01
20171210,0.003308,0.023480,0.002970,0.008754,9382,44383,0.01
20171209,0.003903,0.003961,0.002980,0.003295,29,52800,0.00
20171208,0.005554,0.005637,0.003771,0.003907,34,75277,0.00
20171207,0.002885,0.007734,0.002885,0.005541,26,39253,0.01
20171206,0.008191,0.008405,0.002852,0.002890,175,112112,0.01
20171205,0.006061,0.010584,0.006017,0.008209,341,83481,0.01
20171204,0.006342,0.006392,0.002978,0.006049,675,98761,0.00
20171203,0.009839,0.010636,0.009773,0.010550,1,153427,0.01
20171202,0.003701,0.010971,0.003693,0.009829,224,57701,0.01
20171201,0.002298,0.003725,0.002250,0.003704,42,35834,0.00
20171130,0.003637,0.003956,0.002070,0.002310,84,56787,0.00
20171129,0.003673,0.004022,0.002091,0.002226,22,64669,0.00
20171128,0.002341,0.003685,0.002319,0.003677,44,41473,0.00
20171127,0.002609,0.003574,0.002306,0.002335,131,46612,0.00
20171126,0.002624,0.002711,0.002502,0.002608,14,51949,0.00
20171125,0.002052,0.002625,0.002041,0.002625,9,43519,0.00
20171124,0.002090,0.002502,0.001888,0.002057,53,44301,0.00
20171123,0.004935,0.004959,0.001548,0.002092,417,104611,0.00
20171122,0.004706,0.004961,0.004052,0.004937,80,99739,0.00
20171121,0.005027,0.005424,0.004165,0.004695,68,106504,0.00
20171120,0.005148,0.006943,0.005026,0.005026,187,109021,0.01
20171119,0.006152,0.006713,0.005104,0.005150,76,130268,0.01
20171118,0.004612,0.006211,0.004471,0.006163,5,97655,0.01
20171117,0.006668,0.006825,0.004540,0.004630,14,141171,0.01
20171116,0.006500,0.006802,0.005224,0.006679,24,137588,0.01
20171115,0.006678,0.007113,0.006350,0.006466,13,141332,0.01
20171114,0.003200,0.006678,0.003200,0.006673,115,67705,0.00
20171113,0.007632,0.007843,0.003163,0.003193,145,161452,0.01
20171112,0.005534,0.008752,0.005303,0.007621,47,117061,0.01
20171111,0.006772,0.007105,0.005422,0.005538,109,143228,0.01
20171110,0.007343,0.007555,0.005871,0.006796,63,155279,0.01
20171109,0.006646,0.007390,0.006342,0.007321,104,140528,0.01
20171108,0.006405,0.009255,0.006366,0.006653,67,135406,0.01
20171107,0.009673,0.010028,0.006293,0.006425,20,204484,0.01
20171106,0.005249,0.009960,0.005231,0.009688,70,110953,0.01
20171105,0.011139,0.012938,0.005238,0.005238,460,235413,0.01
20171104,0.004372,0.012679,0.004272,0.012417,252,92383,0.01
20171103,0.007445,0.008211,0.004367,0.004383,122,157295,0.01
20171102,0.009353,0.010018,0.005594,0.007454,282,197581,0.01
20171101,0.012823,0.013168,0.003674,0.009342,979,270860,0.01
20171031,0.013481,0.014035,0.012342,0.012833,900,284710,0.01
20171030,0.014483,0.018696,0.013418,0.013527,219,305825,0.02
20171029,0.014889,0.026364,0.014477,0.014568,2648,314471,0.02
20171028,0.014927,0.023122,0.014848,0.014909,314,315690,0.02
20171027,0.013725,0.020271,0.012982,0.014887,196,292179,0.02
20171026,0.019128,0.019689,0.013706,0.013722,72,409723,0.02
20171025,0.024231,0.024360,0.013509,0.019131,1118,541501,0.02
20171024,0.023931,0.024633,0.017597,0.024222,34,539628,0.02
20171023,0.024313,0.025857,0.017638,0.023984,18,552173,0.02
20171022,0.019851,0.027489,0.014230,0.024352,1089,452781,0.02
20171021,0.017502,0.020397,0.017015,0.019845,2122,442966,0.02
20171020,0.015111,0.017578,0.008394,0.017539,732,386080,0.01
20171019,0.012746,0.015215,0.011225,0.015107,808,329374,0.01
20171018,0.013607,0.013750,0.011985,0.012739,189,354738,0.01
20171017,0.014355,0.014396,0.012847,0.013606,299,384280,0.01
20171016,0.014287,0.018485,0.014168,0.014353,47,383638,0.02
20171015,0.015691,0.016689,0.013718,0.014285,435,431116,0.02
20171014,0.014481,0.019002,0.014364,0.015663,843,401561,0.02
20171013,0.014186,0.019102,0.013985,0.014477,1182,393269,0.02
20171012,0.014455,0.016277,0.012874,0.014143,698,405116,0.01
20171011,0.016477,0.016551,0.012252,0.014443,605,463996,0.01
20171010,0.016380,0.018003,0.014772,0.016739,679,538336,0.02
20171009,0.017116,0.018094,0.013326,0.016381,2265,633151,0.02
20171008,0.016662,0.020382,0.016020,0.017112,4069,627959,0.02
20171007,0.018661,0.019742,0.016706,0.016706,2656,721859,0.02
20171006,0.019609,0.019609,0.017401,0.018655,1810,763282,0.02
20171005,0.018957,0.019918,0.016313,0.019612,4634,800096,0.02
20171004,0.020159,0.022079,0.017768,0.018278,5924,931085,0.02
20171003,0.021633,0.027836,0.019041,0.020111,14092,1140110,0.02
20171002,0.022328,0.024083,0.019319,0.021281,11752,1350850,0.02
20171001,0.019274,0.024313,0.018276,0.022337,10890,1254060,0.02
20170930,0.023751,0.027837,0.017649,0.019265,21581,1789260,0.02
20170929,0.024704,0.029879,0.021986,0.026655,34577,1866770,0.03
20170928,0.024131,0.027016,0.020376,0.024724,26143,1824270,0.02
20170927,0.021678,0.025009,0.020653,0.024320,25353,1638340,0.02
20170926,0.019580,0.024095,0.016727,0.021644,22776,1479430,0.02
20170925,0.016624,0.020184,0.015302,0.019549,10477,1255760,0.02
20170924,0.015944,0.018245,0.014298,0.016641,6874,1204070,0.02
20170923,0.015175,0.018894,0.014463,0.015945,7845,1145690,0.02
20170922,0.015487,0.017164,0.011994,0.015219,9818,1168920,0.01
20170921,0.016445,0.019270,0.013821,0.015504,8462,1240900,0.02
20170920,0.018156,0.020383,0.016291,0.016520,7190,1369610,0.02
20170919,0.019192,0.020141,0.016191,0.018180,8950,1445760,0.02
20170918,0.022788,0.025037,0.016837,0.017013,12046,1716640,0.02
20170917,0.019548,0.024493,0.018189,0.022818,12838,1472540,0.02
20170916,0.020004,0.022274,0.017912,0.019560,11267,1506930,0.02
20170915,0.020830,0.022855,0.018435,0.020056,36716,1568960,0.02
20170914,0.026572,0.031068,0.018543,0.020670,29923,2000940,0.02
20170913,0.018600,0.026927,0.017852,0.026927,19603,1400200,0.02
20170912,0.017897,0.022423,0.017011,0.018635,18380,1346920,0.02
20170911,0.018451,0.019198,0.017167,0.017877,9634,1388240,0.02
