date,open,high,low,close,volume,marketcap,average
20180110,3.57,5.80,3.36,5.80,123033,48305000,4.58
20180109,4.05,4.45,3.30,3.58,89621,54795700,3.88
20180108,3.88,4.58,3.39,4.07,121509,52476700,3.99
20180107,3.26,4.03,2.86,3.87,136492,44066100,3.45
20180106,2.12,3.26,2.02,3.26,124739,28658900,2.64
20180105,2.09,2.65,1.66,2.12,66842,28315500,2.15
20180104,1.19,2.12,0.931889,2.10,54505,16105700,1.53
20180103,1.14,1.31,0.829646,1.19,59664,15403900,1.07
20180102,0.933299,1.16,0.916656,1.14,71634,12619200,1.04
20180101,0.923266,0.944887,0.818300,0.932484,34711,12483600,0.88
20171231,0.783550,0.930964,0.756007,0.920931,34925,10594400,0.84
20171230,0.907812,0.951744,0.738131,0.791997,46117,12274600,0.84
20171229,0.773188,1.04,0.772588,0.909559,78925,,0.91
20171228,0.777886,0.860766,0.673192,0.765893,43543,,0.77
20171227,0.835177,0.950815,0.732093,0.779345,121320,,0.84
20171226,1.12,1.22,0.779793,0.834585,49269,,1.00
20171225,1.34,1.72,0.919749,1.11,79996,,1.32
20171224,1.05,2.21,0.743522,1.33,72161,,1.48
20171223,1.13,1.35,0.643501,0.933369,30624,,1.00
20171222,0.722910,1.27,0.661564,1.12,45051,,0.97
20171221,0.561010,0.997334,0.467780,0.720405,11728,,0.73
20171220,0.622120,0.626557,0.467347,0.559859,9317,,0.55
