date,open,high,low,close,volume,marketcap,average
20180110,0.072700,0.072700,0.035827,0.052762,18837,,0.05
20180109,0.039926,0.072604,0.035011,0.072604,41597,,0.05
20180108,0.031192,0.041069,0.029747,0.038435,20923,,0.04
20180107,0.029471,0.032633,0.025706,0.031235,10645,,0.03
20180106,0.030973,0.030973,0.023682,0.029493,10306,,0.03
20180105,0.029283,0.033033,0.028742,0.031081,8818,,0.03
20180104,0.027340,0.033589,0.027304,0.029301,4065,,0.03
20180103,0.033141,0.035719,0.027191,0.027191,2752,,0.03
20180102,0.025569,0.037577,0.024831,0.033259,5524,,0.03
20180101,0.030017,0.036568,0.023642,0.025571,1333,,0.03
20171231,0.032040,0.035689,0.027475,0.029901,1764,,0.03
20171230,0.030327,0.036029,0.028469,0.032390,2464,,0.03
20171229,0.038129,0.038129,0.029138,0.030404,4727,,0.03
20171228,0.040258,0.042705,0.034914,0.037746,2761,,0.04
20171227,0.054611,0.054868,0.025004,0.040647,12025,,0.04
20171226,0.038637,0.058517,0.038047,0.054572,10966,,0.05
20171225,0.042233,0.044302,0.036297,0.038677,7421,,0.04
20171224,0.044460,0.047466,0.023912,0.041799,20722,,0.04
20171223,0.027021,0.081450,0.019728,0.043974,25030,,0.05
20171222,0.030724,0.031027,0.019501,0.026768,4215,,0.03
20171221,0.024408,0.034197,0.023962,0.030618,7035,,0.03
20171220,0.024678,0.025912,0.016505,0.024344,7225,,0.02
20171219,0.026842,0.027755,0.022339,0.024702,6675,,0.03
20171218,0.034033,0.034265,0.024903,0.026815,4571,,0.03
20171217,0.024142,0.037227,0.018060,0.033931,10763,,0.03
20171216,0.020608,0.024195,0.018540,0.024195,1405,,0.02
20171215,0.022238,0.025144,0.018984,0.020586,3703,,0.02
20171214,0.022029,0.024527,0.015284,0.022253,4071,,0.02
20171213,0.025129,0.030863,0.017586,0.022100,6015,,0.02
20171212,0.029152,0.032908,0.021127,0.025108,3166,,0.03
20171211,0.032764,0.035513,0.021152,0.029059,8198,,0.03
20171210,0.031715,0.034951,0.024860,0.033003,3163,,0.03
20171209,0.032499,0.036686,0.025146,0.031587,5777,,0.03
20171208,0.048820,0.054169,0.017448,0.032531,15981,,0.04
20171207,0.048698,0.054132,0.033863,0.048706,10856,,0.04
20171206,0.032020,0.053495,0.027860,0.048782,18333,,0.04
20171205,0.068370,0.072204,0.027938,0.032093,31130,,0.05
20171204,0.125914,0.127720,0.051008,0.068249,43102,,0.09
20171203,0.127897,0.133022,0.100492,0.126521,26725,,0.12
20171202,0.228777,0.233428,0.122814,0.125784,32672,,0.18
20171201,0.272304,0.800071,0.111952,0.229257,99109,,0.46
20171130,0.069019,0.234431,0.068060,0.234431,28930,,0.15
20171129,0.119382,0.127222,0.063682,0.067662,13106,,0.10
20171128,0.113274,0.140937,0.102981,0.119449,15788,,0.12
20171127,0.142386,0.153750,0.098688,0.113056,18696,,0.13
20171126,0.131887,0.178415,0.112717,0.142381,27979,,0.15
