date,open,high,low,close,volume,marketcap,average
20180110,26.26,28.97,22.92,28.97,55187,22317300,25.95
20180109,24.06,26.94,22.08,26.23,29562,20454300,24.51
20180108,27.38,27.66,21.06,24.13,31526,23276300,24.36
20180107,30.55,30.76,23.47,27.35,40257,25964700,27.12
20180106,26.91,30.63,21.53,30.57,20779,22869200,26.08
20180105,28.53,31.56,26.77,27.72,13178,24251300,29.16
20180104,29.14,30.92,27.31,28.61,21840,24771300,29.12
20180103,25.56,31.18,24.14,29.01,13643,21722100,27.66
20180102,19.10,27.16,19.10,25.61,14442,16235500,23.13
20180101,22.30,25.33,18.28,19.09,7588,18953800,21.80
20171231,20.20,24.56,14.07,22.30,4603,17172000,19.31
20171230,22.13,22.14,17.61,20.38,23185,18813200,19.88
20171229,17.26,29.20,17.23,22.18,27451,14669400,23.21
20171228,19.74,22.27,15.45,17.54,28081,16781000,18.86
20171227,15.25,27.02,15.21,19.78,78318,12962600,21.12
20171226,13.88,17.08,13.88,15.22,16370,11801300,15.48
20171225,13.74,16.75,13.33,13.88,26196,11677600,15.04
20171224,13.64,14.14,12.10,13.66,37810,11593500,13.12
20171223,9.22,15.66,9.20,13.48,88596,7839620,12.43
20171222,12.70,13.15,6.40,9.15,73965,10790900,9.78
20171221,9.62,12.65,8.58,12.65,30304,8177900,10.62
20171220,6.52,9.65,5.78,9.61,16499,5541830,7.71
20171219,9.39,11.64,6.53,6.53,48481,7982910,9.09
20171218,8.91,10.06,8.58,9.41,19518,7577040,9.32
20171217,10.43,10.74,7.88,8.92,12760,8862930,9.31
20171216,9.98,11.97,8.87,10.40,11948,8482080,10.42
20171215,9.41,11.86,7.33,9.96,29308,8001480,9.59
20171214,11.33,13.20,9.19,9.40,5966,9632920,11.20
20171213,10.07,11.55,9.37,11.35,8997,8556170,10.46
20171212,9.61,11.17,9.34,10.05,2295,8171980,10.25
20171211,9.59,11.15,8.74,9.62,9631,8149870,9.95
20171210,8.33,10.65,7.14,9.75,5161,7079440,8.89
20171209,10.64,10.78,8.44,8.85,1651,9047610,9.61
20171208,10.92,10.99,9.01,10.65,6103,9284710,10.00
20171207,9.16,10.90,6.50,10.90,13921,7785720,8.70
20171206,6.15,9.85,6.04,9.19,7665,5230850,7.95
20171205,8.24,8.27,5.66,6.16,1310,7005240,6.96
20171204,7.72,9.33,7.69,8.23,9809,6559100,8.51
20171203,6.80,7.91,6.76,7.70,17659,5780360,7.33
20171202,7.16,7.79,5.10,6.80,3790,6082150,6.45
20171201,4.84,7.37,4.66,7.16,23424,4111510,6.02
20171130,5.27,7.59,4.16,4.85,12004,4476980,5.88
20171129,5.95,8.69,4.99,5.19,3829,5057900,6.84
20171128,7.41,7.75,5.95,5.95,6264,6295440,6.85
20171127,6.57,7.68,6.07,7.40,4010,5581110,6.88
20171126,7.40,7.59,6.54,6.56,1962,6288690,7.06
20171125,6.85,7.43,6.72,7.42,184749,5826020,7.07
20171124,6.95,7.00,6.19,6.86,224397,5908330,6.60
20171123,7.08,7.30,6.97,6.97,173455,6017930,7.13
20171122,7.28,7.35,7.00,7.08,192294,6189680,7.17
20171121,7.58,7.59,7.23,7.27,178644,6446680,7.41
20171120,7.69,7.71,7.52,7.59,180110,6537560,7.62
20171119,7.01,7.80,6.99,7.68,174308,5958350,7.39
20171118,6.52,7.04,6.42,7.02,170282,5542250,6.73
