date,open,high,low,close,volume,marketcap,average
20180110,8.24,9.00,7.01,7.64,753072,,8.00
20180109,7.08,9.22,7.01,8.23,1786430,,8.12
20180108,7.80,8.08,4.89,7.10,154365,,6.48
20180107,7.90,8.94,6.83,7.81,2374480,,7.88
20180106,8.14,9.33,6.95,7.91,939769,,8.14
20180105,9.10,10.55,7.03,8.13,2075220,,8.79
20180104,9.28,10.93,8.68,9.10,1780390,,9.80
20180103,10.88,11.93,9.03,9.23,1277060,,10.48
20180102,10.53,12.04,9.67,10.92,1631150,,10.86
20180101,11.74,12.03,10.40,10.53,1644780,,11.21
20171231,10.73,12.12,10.42,11.70,409775,,11.27
20171230,12.28,12.62,10.00,10.61,2380090,,11.31
20171229,13.89,13.89,11.91,12.69,5054060,,12.90
20171228,12.31,13.85,11.00,13.85,3484660,,12.43
20171227,13.12,14.02,11.69,12.34,2274200,,12.86
20171226,12.58,14.07,11.70,12.60,2310440,,12.88
20171225,13.35,14.20,12.06,12.52,2667320,,13.13
20171224,14.27,14.27,11.77,13.22,1192520,,13.02
20171223,13.49,14.96,13.08,14.35,4431070,,14.02
20171222,15.22,15.86,11.44,13.47,2189380,,13.65
20171221,16.06,17.62,15.07,15.16,4037980,,16.34
20171220,15.85,17.83,14.41,16.02,4209840,,16.12
20171219,16.74,18.07,15.37,15.86,5597330,,16.72
20171218,16.74,18.59,15.99,16.73,2833600,,17.29
20171217,19.28,19.28,16.69,16.69,6001430,,17.98
20171216,18.09,19.45,15.93,19.32,3433180,,17.69
20171215,17.16,18.28,15.93,18.03,3965010,,17.11
20171214,17.13,18.86,16.71,17.17,5440200,,17.79
20171213,21.10,21.36,14.14,17.14,2676120,,17.75
20171212,20.21,21.61,19.74,21.09,3151430,,20.67
20171211,18.88,21.03,18.80,20.15,3554690,,19.91
20171210,18.04,20.36,15.56,19.02,3327680,,17.96
20171209,18.69,18.86,15.66,17.97,2117710,,17.26
20171208,21.70,21.76,15.31,18.72,3374850,,18.54
20171207,14.59,21.65,14.39,21.65,4786740,,18.02
20171206,16.39,17.87,14.07,14.57,4006120,,15.97
20171205,15.38,17.53,15.23,16.43,5140480,,16.38
20171204,14.90,16.97,14.05,15.35,5193430,,15.51
20171203,15.88,17.93,14.85,15.19,4891070,,16.39
20171202,16.86,17.41,15.60,15.73,5431280,,16.50
20171201,17.28,17.97,14.25,16.83,4856100,,16.11
20171130,15.60,17.84,13.49,17.48,4574760,,15.66
20171129,17.56,19.90,14.10,15.02,4501020,,17.00
20171128,16.54,19.41,15.01,17.58,2841600,,17.21
20171127,15.01,21.08,15.01,16.69,4611240,,18.04
20171126,18.69,21.35,14.13,15.00,6662350,,17.74
20171125,17.23,21.42,15.99,19.76,1275030,,18.71
20171124,17.38,17.39,14.16,17.26,1131220,,15.78
