date,open,high,low,close,volume,marketcap,average
20180110,53.30,54.51,47.54,54.05,4190550,1972430000,51.02
20180109,57.84,60.65,52.65,53.21,5257620,2140290000,56.65
20180108,54.86,73.85,52.24,58.20,19256500,2030070000,63.05
20180107,42.54,63.79,42.22,55.64,10494700,1574260000,53.00
20180106,41.82,43.27,39.47,42.76,2876040,1547510000,41.37
20180105,45.88,47.28,39.20,41.37,3245770,1697890000,43.24
20180104,52.07,53.08,43.55,46.01,4863890,1926840000,48.31
20180103,45.06,70.82,42.05,51.89,12062500,1667220000,56.43
20180102,41.57,45.86,41.57,44.68,3275410,1538300000,43.72
20180101,41.55,42.59,38.29,41.73,1770540,1537470000,40.44
20171231,36.16,43.16,35.00,41.53,2320920,1338170000,39.08
20171230,38.79,39.17,34.12,36.69,2635550,1435350000,36.64
20171229,35.67,41.25,35.36,39.02,3374230,1320110000,38.30
20171228,36.41,36.45,30.67,35.43,3163370,1347210000,33.56
20171227,38.69,39.85,33.35,36.64,3534810,1431700000,36.60
20171226,40.98,43.87,38.32,38.65,3576820,1516540000,41.09
20171225,36.97,41.15,34.32,40.32,2216610,1368060000,37.73
20171224,36.87,37.85,31.47,37.05,2394820,1364300000,34.66
20171223,35.19,41.53,35.19,36.74,3245200,1302060000,38.36
20171222,37.17,38.77,25.02,34.81,4439270,1533190000,31.90
20171221,42.15,43.33,36.81,36.92,3097100,1738950000,40.07
20171220,43.01,44.56,39.18,41.97,3179160,1774450000,41.87
20171219,47.80,51.21,41.32,43.05,4248520,1971900000,46.27
20171218,42.54,48.52,41.26,47.74,3609740,1754800000,44.89
20171217,47.43,49.88,42.39,42.48,4207230,1956400000,46.14
20171216,47.29,49.51,45.63,47.16,5718880,1950700000,47.57
20171215,42.45,48.33,39.42,46.91,5730890,1750970000,43.88
20171214,36.98,43.89,36.70,42.37,4454990,1525380000,40.30
20171213,39.97,41.37,35.05,36.92,3934120,1648910000,38.21
20171212,32.33,44.73,32.33,39.67,9682920,1333690000,38.53
20171211,23.64,32.61,23.51,32.61,4639860,975244000,28.06
20171210,28.72,28.74,21.94,23.85,4162280,1184870000,25.34
20171209,26.25,31.15,26.25,28.03,4392460,1083030000,28.70
20171208,17.90,27.59,16.98,26.60,6732410,738437000,22.29
20171207,17.77,18.57,16.42,18.03,1732920,733214000,17.50
20171206,14.34,18.23,14.34,17.73,2576980,591354000,16.29
20171205,13.64,14.77,12.93,14.37,1423440,562525000,13.85
20171204,13.03,13.63,12.72,13.62,936870,537515000,13.18
20171203,12.61,13.76,12.39,13.00,1282630,520315000,13.07
20171202,12.37,12.80,11.83,12.61,1206450,510085000,12.32
20171201,10.23,12.60,9.42,12.35,1990580,422189000,11.01
20171130,9.78,10.65,9.01,10.28,1076720,403579000,9.83
20171129,10.97,11.31,8.91,9.70,806835,452579000,10.11
20171128,11.37,11.62,9.82,11.03,1157080,469107000,10.72
20171127,11.58,11.79,10.67,11.38,820853,477588000,11.23
20171126,12.12,12.12,10.66,11.58,1232820,500173000,11.39
20171125,11.50,12.94,11.50,12.15,1279630,474345000,12.22
20171124,9.74,11.55,9.48,11.50,872684,401994000,10.52
20171123,10.11,10.20,9.28,9.79,949760,417116000,9.74
20171122,10.16,10.16,9.54,10.09,750517,419084000,9.85
20171121,9.59,10.56,9.23,10.16,1034350,395519000,9.89
20171120,9.30,9.88,8.77,9.60,857171,383617000,9.32
20171119,9.99,10.60,8.90,9.41,1100540,412303000,9.75
20171118,9.27,10.12,9.21,10.02,1178710,382610000,9.66
20171117,9.24,9.49,9.07,9.29,1079540,381126000,9.28
20171116,8.97,9.56,8.85,9.27,1364430,369847000,9.21
20171115,8.73,9.58,8.32,8.97,1501120,360301000,8.95
20171114,8.51,9.51,8.44,8.70,1718440,351091000,8.97
20171113,6.59,8.61,6.41,8.46,1563950,271870000,7.51
20171112,6.31,7.00,5.68,6.60,668876,260111000,6.34
20171111,6.14,6.48,5.79,6.31,612914,253262000,6.13
20171110,6.41,7.00,5.92,6.19,716782,264378000,6.46
20171109,5.08,7.77,5.05,6.40,1153120,209452000,6.41
20171108,4.26,5.52,4.22,5.10,1049200,175816000,4.87
20171107,4.10,4.21,3.78,4.21,468627,169330000,4.00
20171106,3.74,4.26,3.59,4.10,447691,154088000,3.92
20171105,3.79,3.81,3.46,3.80,297043,156422000,3.63
20171104,3.65,3.86,3.37,3.79,403380,150624000,3.62
20171103,3.34,3.75,3.28,3.68,313075,137824000,3.51
20171102,3.67,3.72,3.10,3.26,369819,151214000,3.41
20171101,3.79,3.96,3.39,3.66,446220,156431000,3.67
20171031,3.49,3.91,3.42,3.80,368400,144053000,3.67
20171030,3.33,3.76,3.31,3.48,326602,137266000,3.54
20171029,3.37,3.66,3.28,3.34,206951,139055000,3.47
20171028,3.77,3.83,3.37,3.37,188557,155476000,3.60
20171027,3.60,3.78,3.24,3.74,276742,148459000,3.51
20171026,4.09,4.33,3.60,3.60,398411,168695000,3.96
20171025,3.26,4.54,3.21,4.09,249583,134470000,3.88
20171024,3.12,3.67,2.91,3.26,330053,128527000,3.29
20171023,2.85,3.25,2.59,3.12,267616,117522000,2.92
20171022,3.05,3.07,2.68,2.85,284913,125973000,2.88
20171021,3.00,3.26,2.74,3.05,256507,123901000,3.00
20171020,3.17,3.40,2.93,3.01,339280,130887000,3.17
20171019,3.16,3.17,2.95,3.16,271031,130250000,3.06
20171018,3.05,3.17,2.82,3.16,316907,125730000,3.00
20171017,3.24,3.73,1.93,3.05,323482,133715000,2.83
20171016,3.36,4.10,3.13,3.26,320896,138715000,3.61
20171015,3.12,3.39,2.91,3.36,208582,128709000,3.15
20171014,3.12,3.20,2.99,3.11,265240,128523000,3.10
20171013,3.14,3.29,2.94,3.11,265395,129429000,3.12
20171012,3.13,3.20,2.58,3.14,317744,129079000,2.89
20171011,3.10,3.26,2.87,3.13,269182,127721000,3.06
20171010,2.71,3.13,2.28,3.09,400775,111928000,2.71
20171009,2.57,2.79,2.15,2.71,292696,105866000,2.47
20171008,2.47,2.67,2.38,2.57,224135,101938000,2.52
20171007,2.74,2.80,2.49,2.49,270384,112867000,2.65
20171006,2.83,3.05,2.58,2.74,336478,116669000,2.81
20171005,2.35,2.91,2.31,2.83,333960,96751900,2.61
20171004,2.38,2.51,2.34,2.34,349275,98077000,2.42
20171003,2.48,2.50,2.20,2.37,267138,102331000,2.35
20171002,2.44,2.54,2.37,2.48,236482,100657000,2.46
20171001,2.33,2.70,2.33,2.44,361877,96155200,2.52
20170930,2.30,2.55,2.14,2.33,246749,94772600,2.34
20170929,2.46,2.54,2.16,2.30,329214,101472000,2.35
20170928,2.45,2.53,2.30,2.46,378847,101240000,2.42
20170927,2.73,2.73,2.27,2.46,547670,112443000,2.50
20170926,2.58,2.99,2.30,2.63,284868,106234000,2.65
20170925,2.46,2.87,2.46,2.58,332512,101447000,2.67
20170924,2.84,2.89,2.40,2.46,210021,117359000,2.65
20170923,2.59,2.86,2.55,2.84,249775,106972000,2.71
20170922,2.47,2.92,2.46,2.60,374706,101838000,2.69
20170921,2.94,2.95,2.44,2.47,340920,121137000,2.70
20170920,2.93,3.16,2.86,2.95,237960,120924000,3.01
20170919,3.34,3.35,2.72,2.93,347692,137720000,3.04
20170918,2.91,3.35,2.91,3.33,501178,119945000,3.13
20170917,2.79,2.98,2.57,2.92,404752,114908000,2.77
20170916,3.01,3.13,2.71,2.79,451852,124006000,2.92
20170915,2.65,3.17,2.32,3.01,337136,109206000,2.75
20170914,3.28,3.43,2.58,2.64,295268,135399000,3.00
20170913,3.23,3.35,2.90,3.29,391322,133103000,3.12
20170912,3.27,4.11,3.12,3.19,505448,135082000,3.62
20170911,3.51,13.06,3.01,3.29,374879,144795000,8.04
20170910,3.66,9.16,3.17,3.50,252076,151029000,6.17
20170909,3.36,3.76,3.25,3.67,454427,138438000,3.50
20170908,3.93,4.12,3.07,3.56,370638,162023000,3.59
20170907,4.17,4.17,3.80,3.93,403291,171906000,3.98
20170906,3.93,4.18,3.70,4.17,410924,162184000,3.94
20170905,3.63,4.01,3.38,3.92,364357,149649000,3.69
20170904,3.88,6.18,3.24,3.62,476314,160112000,4.71
20170903,3.75,4.24,3.69,3.85,565324,154886000,3.96
20170902,4.07,4.37,3.55,3.75,763729,167942000,3.96
20170901,3.64,5.16,3.54,4.06,1464360,150097000,4.35
20170831,3.86,3.87,3.56,3.64,337862,159248000,3.71
20170830,3.89,4.02,3.54,3.87,531823,160273000,3.78
20170829,3.86,4.03,3.63,3.89,398299,159088000,3.83
20170828,3.90,3.98,3.64,3.85,449384,161006000,3.81
20170827,3.81,4.07,3.14,3.90,353973,157311000,3.61
20170826,4.42,4.44,3.70,3.77,454791,182445000,4.07
20170825,4.44,4.67,3.82,4.42,430544,183102000,4.25
20170824,3.53,5.27,3.15,4.42,758569,145764000,4.21
20170823,3.86,4.13,3.33,3.52,415283,159223000,3.73
20170822,4.20,4.23,3.68,3.88,415849,173102000,3.96
20170821,4.51,4.77,3.46,4.33,658417,186176000,4.12
20170820,4.81,4.95,4.53,4.53,335168,198526000,4.74
20170819,5.36,5.37,4.38,4.83,585845,221282000,4.88
20170818,5.56,5.84,5.04,5.37,702786,229191000,5.44
20170817,4.81,6.08,1.90,5.57,649644,198516000,3.99
20170816,4.72,5.85,4.15,4.81,735244,194545000,5.00
20170815,5.22,5.25,4.57,4.70,590298,193088000,4.91
20170814,5.51,5.95,4.49,5.22,924743,203710000,5.22
20170813,6.04,6.05,5.31,5.54,516448,223379000,5.68
20170812,6.12,6.40,5.71,6.06,894071,226329000,6.05
20170811,6.41,6.41,5.80,6.14,959727,237195000,6.11
20170810,5.92,6.56,5.61,6.43,979250,219131000,6.08
20170809,5.44,5.99,4.95,5.94,782146,201249000,5.47
20170808,6.07,7.41,5.38,5.42,2002390,224461000,6.39
20170807,4.61,6.06,4.40,6.05,1441870,170601000,5.23
20170806,4.12,4.98,4.06,4.62,450571,152277000,4.52
20170805,3.96,4.44,3.93,4.09,641941,146422000,4.19
20170804,3.64,7.00,3.27,3.96,1064530,134691000,5.13
20170803,3.39,3.79,3.28,3.64,503479,125461000,3.54
20170802,3.64,5.19,3.20,3.39,492153,134685000,4.20
20170801,3.28,3.75,3.27,3.64,811061,121197000,3.51
20170731,2.80,3.39,2.70,3.27,964834,103787000,3.04
20170730,2.84,2.93,2.72,2.79,507801,105025000,2.83
20170729,2.59,2.88,2.48,2.84,945852,95974800,2.68
20170728,2.55,3.15,2.09,2.62,993253,94175700,2.62
20170727,2.30,2.69,2.21,2.54,619044,84935200,2.45
20170726,2.22,2.33,1.99,2.32,533922,82283000,2.16
20170725,2.44,2.49,2.00,2.24,434991,90408600,2.25
20170724,2.58,2.62,1.85,2.44,991648,95541800,2.24
20170723,2.68,3.52,2.15,2.58,437422,99200600,2.83
20170722,2.39,2.74,2.31,2.68,358007,88377300,2.53
20170721,2.39,2.65,2.21,2.39,661561,88296300,2.43
20170720,1.98,2.46,1.98,2.36,505556,73135200,2.22
20170719,2.45,2.93,1.90,1.96,1044880,90603800,2.42
20170718,2.53,2.91,1.73,2.46,2329580,93480300,2.32
20170717,1.38,3.41,1.38,2.53,1840040,50957100,2.40
20170716,1.48,1.71,0.905822,1.38,2126350,54749200,1.31
20170715,1.80,2.42,1.33,1.45,1832030,66477500,1.88
20170713,5.37,8.82,3.02,4.69,3630010,,5.92
20170712,3.33,5.51,2.74,5.51,3055770,,4.12
