date,open,high,low,close,volume,marketcap,average
20180110,1.66,1.66,1.34,1.53,43363400,598788000,1.50
20180109,1.58,1.77,1.50,1.66,49840100,570561000,1.64
20180108,1.80,1.80,1.39,1.58,34045100,647807000,1.59
20180107,1.65,1.97,1.65,1.81,58875100,595919000,1.81
20180106,1.41,1.77,1.34,1.64,53990500,504005000,1.56
20180105,1.61,1.70,1.35,1.40,47063100,576560000,1.52
20180104,1.81,2.01,1.55,1.59,80542200,650087000,1.78
20180103,1.35,1.76,1.22,1.74,93221200,480096000,1.49
20180102,1.07,1.34,1.07,1.28,91753300,379411000,1.21
20180101,1.02,1.10,0.966561,1.06,48577100,362957000,1.03
20171231,0.831415,1.07,0.822801,1.01,23370900,296170000,0.95
20171230,0.966109,0.966109,0.777195,0.846537,16038800,344152000,0.87
20171229,0.896765,1.01,0.871795,0.972021,25643100,319446000,0.94
20171228,0.900555,0.904823,0.769176,0.876637,19558100,320796000,0.84
20171227,0.944352,0.951680,0.866909,0.902262,24716000,336398000,0.91
20171226,0.960351,1.02,0.881760,0.945188,31604200,342097000,0.95
20171225,0.947366,0.998868,0.865791,0.974246,29755000,337471000,0.93
20171224,0.987183,1.00,0.810746,0.940336,25272900,351655000,0.91
20171223,0.871383,1.10,0.862608,0.962121,39323000,310405000,0.98
20171222,1.16,1.20,0.618276,0.862285,44064100,412839000,0.91
20171221,1.20,1.31,1.06,1.16,74210900,427645000,1.19
20171220,1.06,1.21,0.878005,1.16,81283900,374867000,1.04
20171219,1.08,1.21,1.02,1.06,64852600,380934000,1.11
20171218,0.780846,1.17,0.780846,1.09,168284000,274957000,0.98
20171217,0.684475,0.841245,0.680270,0.775526,57766700,241022000,0.76
20171216,0.667227,0.714832,0.661181,0.686357,38805700,234949000,0.69
20171215,0.723723,0.751795,0.594723,0.668100,47130100,254093000,0.67
20171214,0.626618,0.790746,0.616981,0.718504,88571700,220001000,0.70
20171213,0.579618,0.678058,0.540250,0.627483,54559900,203499000,0.61
20171212,0.546496,0.588187,0.520113,0.580943,42883400,191871000,0.55
20171211,0.505729,0.561003,0.501798,0.545032,44072100,177558000,0.53
20171210,0.587794,0.589430,0.462540,0.511720,40612700,206370000,0.53
20171209,0.553812,0.671494,0.553812,0.585786,55770000,194439000,0.61
20171208,0.506800,0.599139,0.461959,0.556774,62051200,177933000,0.53
20171207,0.610773,0.628219,0.489238,0.505571,51676400,214436000,0.56
20171206,0.684174,0.687670,0.586134,0.611669,50325900,240206000,0.64
20171205,0.735614,0.735614,0.679627,0.688834,28795700,258266000,0.71
20171204,0.706309,0.749389,0.679353,0.740660,30970200,247977000,0.71
20171203,0.702954,0.752195,0.677264,0.708239,35004500,246799000,0.71
20171202,0.698503,0.729911,0.670184,0.702054,31766600,245236000,0.70
20171201,0.653959,0.724002,0.616733,0.699235,61480800,229598000,0.67
20171130,0.532228,0.708946,0.521676,0.659411,80239700,186859000,0.62
20171129,0.629775,0.642421,0.493380,0.525557,40299400,221107000,0.57
20171128,0.672135,0.738688,0.620961,0.630541,43501500,235486000,0.68
20171127,0.768115,0.776564,0.655559,0.672835,41706300,269113000,0.72
20171126,0.792866,0.800200,0.726698,0.762319,41512000,277785000,0.76
20171125,0.790343,0.816808,0.781650,0.789455,30718000,276901000,0.80
20171124,0.756625,0.843594,0.744370,0.794307,46228900,265083000,0.79
20171123,0.848728,0.879933,0.727689,0.745673,86768500,297012000,0.80
20171122,0.642765,0.952506,0.628696,0.840146,194048000,224935000,0.79
20171121,0.564156,0.637127,0.453947,0.637127,81946800,196975000,0.55
20171120,0.415823,0.710203,0.401325,0.559726,206794000,145107000,0.56
20171119,0.304734,0.420343,0.296579,0.414196,61053800,106341000,0.36
20171118,0.260864,0.305068,0.255361,0.305011,13438800,91032200,0.28
20171117,0.244630,0.291286,0.229908,0.257452,18239400,85364000,0.26
20171116,0.253112,0.268921,0.231429,0.245255,15691700,88324000,0.25
20171115,0.275307,0.284849,0.231870,0.248700,17382700,96015400,0.26
20171114,0.174396,0.298745,0.172280,0.275913,55682800,60821200,0.24
20171113,0.148949,0.181288,0.144731,0.175871,3725560,51456700,0.16
20171112,0.163862,0.167942,0.127300,0.146313,5570010,56608500,0.15
20171111,0.170230,0.184976,0.157814,0.165206,3131360,58808600,0.17
20171110,0.189471,0.213473,0.161041,0.174357,4744480,65455700,0.19
20171109,0.181176,0.202713,0.175795,0.187390,4413010,62589900,0.19
20171108,0.179857,0.198630,0.154298,0.179846,9507180,62134300,0.18
20171107,0.224412,0.227878,0.163841,0.180334,10396100,77526500,0.20
20171106,0.161005,0.231067,0.159316,0.221709,17658100,,0.20
20171105,0.125807,0.165983,0.124718,0.161085,8740810,,0.15
20171104,0.108171,0.129133,0.103376,0.126986,2340710,,0.12
20171103,0.106639,0.114947,0.084542,0.108752,4855080,,0.10
20171102,0.055665,0.166063,0.054823,0.121732,6588830,,0.11
20171101,0.056271,0.063499,0.045818,0.055671,1017460,,0.05
