date,open,high,low,close,volume,marketcap,average
20180110,0.761458,0.761458,0.612125,0.680029,515690,38986600,0.69
20180109,0.779365,0.799133,0.654215,0.761243,1513500,39903500,0.73
20180108,0.928918,0.970915,0.635172,0.780475,1207100,47560600,0.80
20180107,0.816500,0.941332,0.790776,0.937760,1262650,41804800,0.87
20180106,0.706736,0.865638,0.688365,0.816627,903875,36184900,0.78
20180105,0.809943,0.809943,0.690979,0.705803,741755,41469100,0.75
20180104,0.639585,0.894385,0.616585,0.810566,1455800,32746800,0.76
20180103,0.601187,0.651145,0.533772,0.638911,563254,30780800,0.59
20180102,0.591216,0.700226,0.551805,0.627572,387628,30270300,0.63
20180101,0.588669,0.613570,0.567691,0.596499,192605,30139900,0.59
20171231,0.586308,0.609591,0.539135,0.589491,182121,30019000,0.57
20171230,0.716487,0.719674,0.565917,0.589008,245317,36684200,0.64
20171229,0.638201,0.722653,0.592425,0.721288,226744,32675900,0.66
20171228,0.750335,0.782094,0.609731,0.629121,309343,38417100,0.70
20171227,0.589199,0.836465,0.579573,0.750729,536991,30167000,0.71
20171226,0.570795,0.627313,0.560765,0.586243,266866,29224700,0.59
20171225,0.520036,0.590568,0.489647,0.574352,372496,26625900,0.54
20171224,0.519474,0.589090,0.431206,0.518799,281386,26597100,0.51
20171223,0.498514,0.618700,0.485548,0.516895,2013530,25523900,0.55
20171222,0.592973,0.606037,0.363487,0.493959,633446,30360200,0.48
20171221,0.592713,0.648195,0.530990,0.603874,988515,30346900,0.59
20171220,0.609558,0.648254,0.530649,0.591252,722234,31209400,0.59
20171219,0.523533,0.744514,0.516382,0.626583,363380,26804900,0.63
20171218,0.451351,0.552115,0.423017,0.524149,183361,23109200,0.49
20171217,0.459120,0.484370,0.422563,0.451592,145113,23507000,0.45
20171216,0.477012,0.730093,0.437038,0.447059,110565,24423000,0.58
20171215,0.364826,0.505071,0.360893,0.452492,210479,18679100,0.43
20171214,0.269279,0.366782,0.250088,0.364707,158245,13787100,0.31
20171213,0.268110,0.294597,0.251148,0.269494,50267,13727300,0.27
20171212,0.282279,0.284167,0.247212,0.267980,91384,14452700,0.27
20171211,0.276302,0.295112,0.270258,0.290588,29677,14146700,0.28
20171210,0.282303,0.301723,0.249143,0.276082,41191,14453900,0.28
20171209,0.299873,0.316465,0.267412,0.281776,62488,15353500,0.29
20171208,0.255035,0.300588,0.248425,0.299885,60399,13057800,0.27
20171207,0.253628,0.277365,0.204547,0.277365,102074,12985700,0.24
20171206,0.283100,0.296879,0.199237,0.254272,242187,14494700,0.25
20171205,0.246062,0.309894,0.225947,0.286915,170766,12598400,0.27
20171204,0.232913,0.250079,0.225214,0.244998,70824,11925200,0.24
20171203,0.248242,0.260564,0.229017,0.232617,36611,12710000,0.24
20171202,0.244113,0.252317,0.216635,0.248197,63600,12498600,0.23
20171201,0.209056,0.244113,0.174283,0.244113,57244,10703700,0.21
20171130,0.198297,0.212213,0.168559,0.209494,44496,10152800,0.19
20171129,0.214353,0.215462,0.180849,0.197838,32984,10974800,0.20
20171128,0.207401,0.226547,0.178505,0.214284,33135,10618900,0.20
20171127,0.219171,0.227767,0.202681,0.207479,19042,11221500,0.22
20171126,0.215305,0.222917,0.188051,0.219181,9830,11023600,0.21
20171125,0.250230,0.250230,0.195428,0.215303,33518,12811800,0.22
20171124,0.236070,0.262684,0.215087,0.250254,32294,12086800,0.24
20171123,0.238827,0.262374,0.223558,0.237012,36676,12228000,0.24
20171122,0.258493,0.259605,0.224594,0.238334,32781,13234800,0.24
20171121,0.233853,0.265774,0.221200,0.258313,22538,11973300,0.24
20171120,0.236416,0.239146,0.202435,0.234142,16709,12104500,0.22
20171119,0.243195,0.255065,0.223231,0.236581,8750,12451600,0.24
20171118,0.255942,0.255942,0.233522,0.243788,23264,13104200,0.24
20171117,0.251548,0.256433,0.237144,0.256328,42621,12879200,0.25
20171116,0.243311,0.251722,0.236220,0.251722,43468,12457500,0.24
20171115,0.238523,0.264363,0.236991,0.243501,82810,12212400,0.25
20171114,0.252431,0.281679,0.230741,0.238393,46941,12924500,0.26
20171113,0.248001,0.271514,0.236626,0.252127,31379,12697600,0.25
20171112,0.254525,0.293268,0.239244,0.247607,29933,13031700,0.27
20171111,0.266744,0.269098,0.239798,0.254181,13173,13657300,0.25
20171110,0.283533,0.300841,0.255292,0.267810,8835,14516900,0.28
20171109,0.268111,0.303291,0.268111,0.283399,31351,13727300,0.29
20171108,0.317980,0.318641,0.220492,0.269565,28049,16280600,0.27
20171107,0.280376,0.318205,0.261822,0.318205,80515,14355200,0.29
20171106,0.197078,0.282259,0.195909,0.279957,37368,10090400,0.24
20171105,0.201599,0.205245,0.173036,0.196892,14735,10321900,0.19
20171104,0.186524,0.207798,0.180511,0.201336,6055,9550050,0.19
20171103,0.177901,0.197721,0.161413,0.187103,8634,9108560,0.18
