date,open,high,low,close,volume,marketcap,average
20180110,0.578718,0.649518,0.563063,0.622035,1930100,,0.61
20180109,0.575026,0.646513,0.547391,0.591523,2794070,,0.60
20180108,0.676330,0.679235,0.521740,0.581876,2969930,,0.60
20180107,0.543308,0.696783,0.512254,0.675754,4659150,,0.60
20180106,0.555911,0.584944,0.506340,0.539842,3014360,,0.55
20180105,0.589851,0.647264,0.483921,0.555723,6066540,,0.57
20180104,0.568869,0.653842,0.531337,0.586242,6236160,,0.59
20180103,0.413155,0.599830,0.412365,0.568189,5347230,,0.51
20180102,0.345629,0.446480,0.345629,0.417606,4645990,,0.40
20180101,0.358136,0.358136,0.331516,0.345254,1424280,,0.34
20171231,0.328685,0.378672,0.324813,0.358117,888244,,0.35
20171230,0.355327,0.358116,0.307769,0.326998,661599,,0.33
20171229,0.352030,0.401564,0.345843,0.357103,523329,,0.37
20171228,0.360183,0.365566,0.331167,0.354053,626739,,0.35
20171227,0.355325,0.366094,0.348023,0.360668,605467,,0.36
20171226,0.333119,0.359772,0.327829,0.354379,758654,,0.34
20171225,0.322588,0.352970,0.306806,0.334562,643275,,0.33
20171224,0.341458,0.341458,0.283089,0.320249,425381,,0.31
20171223,0.304308,0.372180,0.302590,0.341545,555749,,0.34
20171222,0.397092,0.414280,0.238595,0.300927,558772,,0.33
20171221,0.416728,0.462721,0.371083,0.398563,889822,,0.42
20171220,0.432406,0.443766,0.390586,0.416294,628743,,0.42
20171219,0.470943,0.506527,0.415149,0.436493,1673050,,0.46
20171218,0.453932,0.477431,0.423593,0.473935,1583290,,0.45
20171217,0.462755,0.520551,0.440206,0.454255,1461940,,0.48
20171216,0.414505,0.489333,0.401455,0.456695,3102170,,0.45
20171215,0.412480,0.427116,0.375678,0.413479,1403610,,0.40
20171214,0.428882,0.428882,0.363489,0.411705,2015520,,0.40
20171213,0.386384,0.483263,0.382225,0.428319,2150570,,0.43
