date,open,high,low,close,volume,marketcap,average
20180110,214247,282526,164267,226475,5234,16768,223396.50
20180109,240657,245609,178081,213967,1617,18835,211845.00
20180108,195420,253034,179159,241314,2314,15294,216096.50
20180107,258038,303648,195693,195693,2665,20195,249670.50
20180106,258911,284659,186099,258228,7185,20263,235379.00
20180105,273261,316855,179394,258705,12315,21387,248124.50
20180104,430769,431489,264403,280340,8182,33714,347946.00
20180103,420146,430004,281686,428422,6528,32882,355845.00
20180102,319983,432141,318669,421643,4036,25043,375405.00
20180101,433421,433717,317219,320008,12166,33921,375468.00
20171231,433564,517624,407182,431750,12313,33932,462403.00
20171230,710293,803780,398776,438298,15726,55590,601278.00
20171229,953410,1034770,502151,712084,23790,74618,768460.50
20171228,853376,1217350,289847,943642,37305,66789,753598.50
20171227,2280580,2550090,779527,855170,54631,178487,1664808.50
20171226,2298390,2926100,2030590,2278930,134610,179881,2478345.00
20171225,1884830,2708300,1481080,2300740,126628,147514,2094690.00
20171224,1446030,2633290,1331690,1866850,322658,113172,1982490.00
20171223,524007,1675560,434562,1430240,64003,41011,1055061.00
20171222,471391,661632,343377,519104,4511,36893,502504.50
20171221,708779,737016,366394,469763,2075,55472,551705.00
20171220,970792,1365570,348339,706928,50944,75978,856954.50
20171219,95667.70,1762800,88793.40,971750,52119,7487,925796.70
20171218,80564.40,95586.70,76950.90,95586.70,197,6305,86268.80
20171217,120755,120755,79454.90,80321.20,643,9451,100104.95
20171216,88234.20,188255,71438.40,120740,1745,6906,129846.70
20171215,66350.60,90373.20,66337.80,88110.50,611,5193,78355.50
20171214,81877.40,90438.00,65840.30,66251.00,149,6408,78139.15
20171213,41617.70,83991.70,39666.30,82141.10,1555,3257,61829.00
20171212,67209.70,68301.50,33436.90,41583.00,227,5260,50869.20
20171211,30494.00,33836.40,30360.60,33112.70,51,2387,32098.50
20171210,53984.70,53984.70,27628.50,30715.70,461,4225,40806.60
20171209,73024.60,74106.50,48623.50,53766.80,34,5715,61365.00
20171208,63867.80,78849.00,54447.80,73098.20,56,4999,66648.40
20171207,67305.80,69551.60,53355.20,63717.90,663,5268,61453.40
20171206,52653.50,67516.50,52653.50,67421.70,220,4121,60085.00
