date,open,high,low,close,volume,marketcap,average
20180110,0.000145,0.000577,0.000138,0.000447,1373550,,0.00
20180109,0.000104,0.000146,0.000089,0.000145,52093,,0.00
20180108,0.000076,0.000110,0.000068,0.000104,15963,,0.00
20180107,0.000074,0.000096,0.000065,0.000076,8042,,0.00
20180106,0.000116,0.000116,0.000047,0.000074,13841,,0.00
20180105,0.000068,0.000141,0.000067,0.000116,8479,,0.00
20180104,0.000053,0.000084,0.000048,0.000068,1404,,0.00
20180103,0.000045,0.000088,0.000038,0.000053,3044,,0.00
20180102,0.000031,0.000046,0.000018,0.000045,8088,,0.00
20180101,0.000078,0.000078,0.000019,0.000031,3192,,0.00
20171231,0.000038,0.000080,0.000033,0.000078,881,,0.00
20171230,0.000056,0.000056,0.000012,0.000038,3329,,0.00
20171229,0.000036,0.000128,0.000036,0.000057,3305,,0.00
20171228,0.000122,0.000126,0.000017,0.000035,4357,,0.00
20171227,0.000021,0.000120,0.000014,0.000120,3136,,0.00
20171226,0.000072,0.000073,0.000010,0.000021,2174,,0.00
20171225,0.000010,0.000109,0.000010,0.000091,868,,0.00
20171224,0.000025,0.000031,0.000012,0.000016,284,,0.00
20171223,0.000080,0.000084,0.000022,0.000022,737,,0.00
20171222,0.000023,0.000085,0.000019,0.000079,189,,0.00
20171221,0.000164,0.000170,0.000023,0.000023,1663,,0.00
20171220,0.000113,0.000164,0.000011,0.000163,214,,0.00
20171219,0.000061,0.000131,0.000061,0.000114,225,,0.00
20171218,0.000013,0.000084,0.000012,0.000061,140,,0.00
20171217,0.000147,0.000174,0.000013,0.000013,60,,0.00
20171216,0.000109,0.000159,0.000082,0.000147,173,,0.00
20171215,0.000106,0.000125,0.000074,0.000109,103,,0.00
20171214,0.000007,0.000113,0.000007,0.000106,185,,0.00
20171213,0.000023,0.000032,0.000007,0.000007,348,,0.00
20171212,0.000087,0.000090,0.000005,0.000023,455,,0.00
20171211,0.000071,0.000160,0.000069,0.000087,13,,0.00
20171210,0.000147,0.000147,0.000011,0.000072,369,,0.00
20171209,0.000143,0.000154,0.000034,0.000147,14,,0.00
20171208,0.000131,0.000149,0.000098,0.000143,371,,0.00
20171207,0.000079,0.000131,0.000028,0.000131,267,,0.00
20171206,0.000063,0.000125,0.000013,0.000080,641,,0.00
20171205,0.000095,0.000101,0.000023,0.000063,73,,0.00
20171204,0.000087,0.000107,0.000011,0.000094,1140,,0.00
20171203,0.000012,0.000094,0.000012,0.000088,574,,0.00
20171202,0.000066,0.000069,0.000008,0.000012,108,,0.00
20171201,0.000048,0.000098,0.000009,0.000066,34,,0.00
20171130,0.000027,0.000049,0.000005,0.000049,66,,0.00
20171129,0.000099,0.000113,0.000026,0.000027,164,,0.00
20171128,0.000018,0.000099,0.000005,0.000099,467,,0.00
20171127,0.000075,0.000076,0.000013,0.000018,164,,0.00
20171126,0.000016,0.000079,0.000016,0.000077,472,,0.00
20171125,0.000012,0.000012,0.000005,0.000011,591,,0.00
20171124,0.000060,0.000072,0.000011,0.000012,535,,0.00
20171123,0.000080,0.000082,0.000004,0.000060,14,,0.00
20171122,0.000076,0.000081,0.000076,0.000080,103,,0.00
20171121,0.000004,0.000080,0.000004,0.000076,225,,0.00
20171120,0.000080,0.000080,0.000004,0.000004,55,,0.00
20171119,0.000007,0.000080,0.000007,0.000080,52,,0.00
20171118,0.000046,0.000071,0.000003,0.000007,10,,0.00
20171117,0.000003,0.000052,0.000003,0.000046,244,,0.00
20171116,0.000052,0.000075,0.000043,0.000052,60,,0.00
20171115,0.000015,0.000060,0.000015,0.000052,118,,0.00
20171114,0.000023,0.000024,0.000004,0.000015,386,,0.00
20171113,0.000059,0.000067,0.000023,0.000023,542,,0.00
20171112,0.000008,0.000059,0.000003,0.000059,47,,0.00
20171111,0.000049,0.000050,0.000008,0.000008,35,,0.00
20171110,0.000009,0.000065,0.000006,0.000049,406,,0.00
20171109,0.000063,0.000075,0.000006,0.000009,185,,0.00
20171108,0.000067,0.000067,0.000055,0.000063,119,,0.00
20171107,0.000004,0.000070,0.000003,0.000067,85,,0.00
20171106,0.000065,0.000066,0.000004,0.000004,44,,0.00
20171105,0.000071,0.000075,0.000064,0.000065,394,,0.00
20171104,0.000009,0.000073,0.000009,0.000071,1201,,0.00
20171103,0.000003,0.000012,0.000003,0.000009,134,,0.00
20171102,0.000003,0.000006,0.000003,0.000003,4,,0.00
20171101,0.000010,0.000010,0.000003,0.000003,116,,0.00
20171031,0.000003,0.000010,0.000003,0.000010,9,,0.00
20171030,0.000004,0.000006,0.000003,0.000003,3,,0.00
20171029,0.000006,0.000017,0.000004,0.000004,623,,0.00
20171028,0.000006,0.000006,0.000003,0.000006,291,,0.00
20171027,0.000006,0.000006,0.000006,0.000006,315,,0.00
20171026,0.000016,0.000016,0.000006,0.000006,939,,0.00
20171025,0.000006,0.000016,0.000003,0.000016,136,,0.00
20171024,0.000010,0.000012,0.000005,0.000006,70,,0.00
20171023,0.000006,0.000010,0.000004,0.000010,653,,0.00
20171022,0.000022,0.000022,0.000006,0.000006,1848,,0.00
20171021,0.000006,0.000023,0.000006,0.000022,3344,,0.00
20171020,0.000010,0.000026,0.000006,0.000006,188,,0.00
20171019,0.000055,0.000055,0.000006,0.000010,1790,,0.00
20171018,0.000006,0.000055,0.000006,0.000055,16,,0.00
20171017,0.000024,0.000024,0.000006,0.000006,88,,0.00
20171016,0.000029,0.000056,0.000024,0.000024,165,,0.00
20171015,0.000017,0.000029,0.000003,0.000029,306,,0.00
20171014,0.000051,0.000056,0.000016,0.000017,125,,0.00
20171013,0.000013,0.000054,0.000011,0.000051,1261,,0.00
20171012,0.000047,0.000048,0.000003,0.000013,117,,0.00
20171011,0.000006,0.000047,0.000004,0.000047,102,,0.00
20171010,0.000046,0.000048,0.000004,0.000006,688,,0.00
20171009,0.000005,0.000047,0.000005,0.000046,335,,0.00
20171008,0.000042,0.000042,0.000004,0.000005,193,,0.00
20171007,0.000041,0.000042,0.000003,0.000042,96,,0.00
20171006,0.000024,0.000041,0.000003,0.000041,14,,0.00
20171005,0.000042,0.000042,0.000023,0.000024,30,,0.00
20171004,0.000043,0.000043,0.000042,0.000042,22,,0.00
20171003,0.000032,0.000044,0.000026,0.000043,70,,0.00
20171002,0.000004,0.000032,0.000004,0.000032,70,,0.00
20171001,0.000004,0.000013,0.000003,0.000004,101,,0.00
20170930,0.000027,0.000027,0.000004,0.000004,135,,0.00
20170929,0.000015,0.000027,0.000008,0.000027,251,,0.00
20170928,0.000042,0.000043,0.000013,0.000015,6519,,0.00
20170927,0.000003,0.000042,0.000003,0.000042,232,,0.00
20170926,0.000036,0.000037,0.000003,0.000003,329,,0.00
20170925,0.000003,0.000037,0.000003,0.000036,2249,,0.00
20170924,0.000036,0.000036,0.000003,0.000003,29,,0.00
20170923,0.000015,0.000038,0.000015,0.000036,994,,0.00
20170922,0.000034,0.000035,0.000009,0.000015,70,,0.00
20170921,0.000003,0.000035,0.000003,0.000034,262,,0.00
20170920,0.000031,0.000031,0.000003,0.000003,1346,,0.00
20170919,0.000041,0.000041,0.000031,0.000031,89,,0.00
20170918,0.000023,0.000041,0.000013,0.000041,691,,0.00
20170917,0.000003,0.000023,0.000003,0.000023,229,,0.00
20170916,0.000007,0.000008,0.000003,0.000003,914,,0.00
20170915,0.000010,0.000031,0.000003,0.000007,857,,0.00
20170914,0.000011,0.000023,0.000010,0.000010,17,,0.00
20170913,0.000005,0.000011,0.000004,0.000011,461,,0.00
20170912,0.000042,0.000044,0.000005,0.000005,544,,0.00
20170911,0.000041,0.000042,0.000032,0.000042,83,,0.00
20170910,0.000007,0.000043,0.000007,0.000041,148,,0.00
20170909,0.000031,0.000032,0.000007,0.000007,862,,0.00
20170908,0.000046,0.000046,0.000031,0.000031,334,,0.00
20170907,0.000014,0.000046,0.000011,0.000046,393,,0.00
20170906,0.000011,0.000025,0.000010,0.000013,246,,0.00
20170905,0.000025,0.000035,0.000005,0.000011,2337,,0.00
20170904,0.000017,0.000034,0.000017,0.000025,776,,0.00
20170903,0.000032,0.000035,0.000016,0.000017,1933,,0.00
20170902,0.000046,0.000046,0.000029,0.000031,1762,,0.00
20170901,0.000020,0.000048,0.000017,0.000046,5367,,0.00
20170831,0.000036,0.000037,0.000017,0.000020,1121,,0.00
20170830,0.000042,0.000048,0.000037,0.000037,2560,,0.00
20170829,0.000044,0.000048,0.000041,0.000042,2717,,0.00
20170828,0.000043,0.000110,0.000034,0.000045,5792,,0.00
20170827,0.000041,0.000044,0.000034,0.000043,1949,,0.00
20170826,0.000044,0.000044,0.000041,0.000041,3532,,0.00
20170825,0.000087,0.000088,0.000043,0.000044,27230,,0.00
20170824,0.000042,0.000087,0.000042,0.000087,41530,,0.00
