date,open,high,low,close,volume,marketcap,average
20180110,2.07,2.23,1.90,2.04,4926050,,2.06
20180109,1.21,2.28,1.20,2.08,9340410,,1.74
20180108,1.24,1.75,0.973316,1.21,3643350,,1.36
20180107,1.18,1.81,1.06,1.22,4596670,,1.44
20180106,0.697146,1.23,0.637376,1.21,3594520,,0.93
20180105,0.739659,0.890716,0.679635,0.717735,2388210,,0.79
20180104,0.753674,0.820675,0.720735,0.720735,1823450,,0.77
20180103,0.721222,0.781672,0.684083,0.756326,1539770,,0.73
20180102,0.669695,0.771835,0.657274,0.717235,858803,,0.71
20180101,0.646766,0.750373,0.615268,0.659258,557442,,0.68
20171231,0.619968,0.655082,0.555829,0.645754,382081,,0.61
20171230,0.653489,0.676962,0.548556,0.621988,394424,,0.61
20171229,0.630211,0.704155,0.610191,0.632239,446022,,0.66
20171228,0.652753,0.665095,0.576373,0.627664,583492,,0.62
20171227,0.672947,0.718593,0.626380,0.654304,925878,,0.67
20171226,0.648653,0.724393,0.620766,0.673847,279454,,0.67
20171225,0.633444,0.720742,0.588785,0.665087,578741,,0.65
20171224,0.697199,0.697199,0.549127,0.631187,337449,,0.62
20171223,0.605692,0.738469,0.605692,0.690938,473520,,0.67
20171222,0.803584,0.805641,0.473339,0.621167,507603,,0.64
20171221,1.00,1.05,0.765612,0.803251,833931,,0.91
20171220,1.06,1.09,0.865945,0.995978,618145,,0.98
20171219,0.891689,1.30,0.891689,1.07,1311500,,1.10
20171218,0.545047,0.955891,0.494350,0.923040,1402320,,0.73
20171217,0.465939,0.555637,0.465108,0.543526,668684,,0.51
20171216,0.447073,0.521746,0.374214,0.467657,321833,,0.45
20171215,0.324743,0.517810,0.271627,0.459991,356085,,0.39
20171214,0.283248,0.334678,0.266042,0.313036,223647,,0.30
20171213,0.238937,0.302933,0.200113,0.283571,61046,,0.25
20171212,0.249483,0.273212,0.201545,0.243496,110783,,0.24
20171211,0.204161,0.266905,0.200462,0.251692,99028,,0.23
20171210,0.221542,0.222989,0.189714,0.206144,62742,,0.21
20171209,0.221804,0.233416,0.211718,0.220989,41340,,0.22
20171208,0.206701,0.228862,0.188442,0.220120,91047,,0.21
20171207,0.217796,0.253896,0.200381,0.203733,188541,,0.23
20171206,0.249615,0.251215,0.216633,0.217028,131398,,0.23
20171205,0.258401,0.263890,0.236230,0.252393,123205,,0.25
20171204,0.241359,0.267312,0.236581,0.258128,165105,,0.25
20171203,0.261369,0.278654,0.238085,0.246351,54807,,0.26
