date,open,high,low,close,volume,marketcap,average
20180110,0.023269,0.023269,0.016262,0.017736,0,38891,0.02
20180109,0.024239,0.025329,0.022192,0.023254,24,40512,0.02
20180108,0.073843,0.073843,0.071230,0.071230,79,123420,0.07
20180107,0.079976,0.085048,0.068538,0.073312,81,133670,0.08
20180106,0.056937,0.092376,0.056887,0.078664,87,95163,0.07
20180102,0.008196,0.008444,0.008196,0.008444,92,13698,0.01
20180101,0.010199,0.010273,0.006963,0.008100,89,17046,0.01
20171231,0.008884,0.010616,0.008582,0.010258,113,14848,0.01
20171230,0.031873,0.032103,0.026435,0.027531,4,53271,0.03
20171229,0.035133,0.043413,0.031472,0.031745,4,58721,0.04
20171228,0.035482,0.035498,0.028777,0.034772,5,59303,0.03
20171227,0.045261,0.051492,0.034690,0.035635,46,75648,0.04
20171226,0.045145,0.048586,0.038221,0.045199,2,75455,0.04
20171225,0.062496,0.069204,0.043952,0.045207,2,104455,0.06
20171224,0.058781,0.061581,0.048738,0.060452,8,98246,0.06
20171223,0.049107,0.087191,0.044970,0.060353,1,82077,0.07
20171222,0.055941,0.057531,0.047095,0.048911,179,93498,0.05
20171221,0.033652,0.038207,0.029743,0.036902,1,56246,0.03
20171220,0.024435,0.034758,0.020613,0.033799,1,40840,0.03
20171219,0.027656,0.028023,0.023146,0.024367,1,46224,0.03
20171217,0.048789,0.055697,0.046196,0.055526,8,81545,0.05
20171216,0.015793,0.051101,0.015661,0.048155,7,26395,0.03
20171215,0.014412,0.016205,0.013378,0.015855,3,24089,0.01
20171214,0.012634,0.014925,0.012324,0.014423,0,21116,0.01
20171213,0.012559,0.012920,0.011928,0.012557,0,20992,0.01
20171212,0.012584,0.013151,0.012363,0.012470,2,21033,0.01
20171209,0.010218,0.010448,0.009286,0.009642,30,17078,0.01
20171208,0.012289,0.013649,0.009643,0.010282,32,20540,0.01
20171207,0.012338,0.013833,0.011449,0.012248,160,20622,0.01
20171205,0.008804,0.011053,0.008698,0.010345,86,14715,0.01
20171204,0.007758,0.009007,0.007751,0.008826,73,12967,0.01
20171203,0.007482,0.008276,0.007256,0.007828,65,12504,0.01
20171202,0.007510,0.007606,0.007077,0.007382,1,12551,0.01
20171201,0.006918,0.007518,0.006527,0.007421,1,11563,0.01
20171130,0.006448,0.007248,0.006184,0.006891,1,10777,0.01
20171129,0.007205,0.007915,0.006277,0.006484,1,12043,0.01
20171128,0.007359,0.007540,0.006934,0.007143,1,12300,0.01
20171127,0.007306,0.007678,0.007282,0.007360,1,12211,0.01
20171124,0.005792,0.006830,0.005600,0.006789,7,9680,0.01
20171123,0.005891,0.006098,0.005564,0.005796,6,9847,0.01
20171122,0.005624,0.005973,0.005408,0.005868,6,9400,0.01
20171121,0.005653,0.005747,0.005320,0.005619,2,9449,0.01
