date,open,high,low,close,volume,marketcap,average
20180110,1.21,1.21,0.839713,1.01,11009300,,1.02
20180109,0.917169,1.28,0.837080,1.25,15938400,,1.06
20180108,0.730533,0.930230,0.631350,0.919689,10944600,,0.78
20180107,0.628834,0.734569,0.611896,0.723269,11515300,,0.67
20180106,0.462383,0.627245,0.435314,0.624511,6845680,,0.53
20180105,0.502209,0.533265,0.413904,0.462832,6786680,,0.47
20180104,0.451247,0.550816,0.401546,0.505551,8776550,,0.48
20180103,0.348578,0.467686,0.305544,0.443587,6989790,,0.39
20180102,0.326159,0.357101,0.304074,0.343319,3360940,,0.33
20180101,0.359756,0.367955,0.294733,0.332395,2616520,,0.33
20171231,0.243592,0.358301,0.240672,0.358301,4382510,,0.30
20171230,0.294843,0.307431,0.202738,0.242224,2512180,,0.26
20171229,0.335557,0.352562,0.288382,0.290141,9911000,,0.32
