date,open,high,low,close,volume,marketcap,average
20180110,0.266981,0.375850,0.250247,0.375850,142,,0.31
20180109,0.275306,0.282044,0.262885,0.266631,30,,0.27
20180108,0.299760,0.300884,0.254674,0.276058,275,,0.28
20180107,0.312996,0.312996,0.292487,0.300180,845,,0.30
20180106,0.307937,0.314937,0.293376,0.313226,754,,0.30
20180105,0.276374,0.307141,0.258685,0.300903,828,,0.28
20180104,0.277004,0.281461,0.261640,0.276319,340,,0.27
20180103,0.250576,0.276030,0.163296,0.275495,328,,0.22
20180102,0.240054,0.287131,0.231769,0.251468,326,,0.26
20180101,0.230211,0.244170,0.206355,0.240073,325,,0.23
20171231,0.251782,0.410478,0.229324,0.229324,709,,0.32
20171230,0.258764,0.269600,0.236772,0.254531,90,,0.25
20171229,0.232203,0.270957,0.228964,0.259417,114,,0.25
20171228,0.271402,0.272551,0.218276,0.229824,246,,0.25
20171227,0.257806,0.275688,0.248818,0.271972,140,,0.26
20171226,0.267882,0.298621,0.254482,0.257619,347,,0.28
20171225,0.285542,0.288344,0.259211,0.268156,284,,0.27
20171224,0.227070,0.282607,0.195361,0.282607,104,,0.24
20171223,0.226419,0.249850,0.223237,0.224590,155,,0.24
20171222,0.300118,0.303075,0.193982,0.224300,170,,0.25
20171221,0.285921,0.321942,0.282352,0.299081,1,,0.30
20171220,0.326299,0.326299,0.273452,0.285174,182,,0.30
20171219,0.297240,0.369471,0.290886,0.326621,134,,0.33
20171218,0.297191,0.326289,0.283862,0.296988,77,,0.31
20171217,0.349801,0.355966,0.250499,0.296294,602,,0.30
20171216,0.275391,0.352520,0.207345,0.349756,1122,,0.28
20171215,0.197392,0.350119,0.197354,0.275004,802,,0.27
20171214,0.194868,0.340032,0.192766,0.197096,740,,0.27
20171213,0.190036,0.346130,0.181125,0.195496,224,,0.26
20171212,0.235713,0.248621,0.189770,0.189877,455,,0.22
20171211,0.213458,0.245059,0.212525,0.234959,23,,0.23
20171210,0.268660,0.268660,0.193400,0.215010,229,,0.23
20171209,0.290569,0.294874,0.241979,0.267575,0,,0.27
20171208,0.315653,0.320360,0.251587,0.290862,2,,0.29
20171207,0.270734,0.316269,0.267271,0.314912,32,,0.29
20171206,0.192547,0.271582,0.192547,0.271200,704,,0.23
20171205,0.231592,0.232390,0.192974,0.192974,182,,0.21
20171204,0.208971,0.231138,0.208740,0.231138,111,,0.22
20171203,0.203207,0.220035,0.196822,0.208280,44,,0.21
20171202,0.202776,0.208562,0.199844,0.203013,43,,0.20
