date,open,high,low,close,volume,marketcap,average
20180110,0.113769,0.117953,0.087803,0.112488,7648,878167,0.10
20180109,0.093974,0.119413,0.089841,0.113620,16948,725371,0.10
20180108,0.093801,0.096999,0.071784,0.094230,9265,724042,0.08
20180107,0.075691,0.101119,0.064327,0.093933,12825,584251,0.08
20180106,0.066734,0.085988,0.065309,0.075747,3915,515115,0.08
20180105,0.054948,0.067246,0.054112,0.066682,11631,424133,0.06
20180104,0.046810,0.059264,0.043052,0.054931,1278,361321,0.05
20180103,0.041146,0.049459,0.038244,0.046571,792,317600,0.04
20180102,0.034387,0.044237,0.034387,0.041177,815,265429,0.04
20180101,0.029342,0.041171,0.028531,0.034393,4741,226490,0.03
20171231,0.027036,0.030823,0.026726,0.029231,313,208687,0.03
20171230,0.028985,0.028993,0.024416,0.027302,606,223730,0.03
20171229,0.029726,0.030635,0.014954,0.029058,1213,229454,0.02
20171228,0.027883,0.029433,0.024377,0.029433,57,215229,0.03
20171227,0.027440,0.030491,0.025622,0.027938,81,211804,0.03
20171226,0.030819,0.033816,0.027134,0.027408,287,237886,0.03
20171225,0.029097,0.032146,0.026829,0.030840,1175,224593,0.03
20171224,0.028043,0.029097,0.024063,0.028915,209,216465,0.03
20171223,0.028804,0.031355,0.027727,0.027793,116,222333,0.03
20171222,0.029952,0.031657,0.022621,0.028494,25,231198,0.03
20171221,0.031064,0.036243,0.028185,0.029869,439,239782,0.03
20171220,0.031878,0.092696,0.024458,0.030998,1648,246064,0.06
20171219,0.031517,0.109943,0.029909,0.031851,98,243276,0.07
20171218,0.030505,0.089482,0.029113,0.031511,340,235463,0.06
20171217,0.038299,0.041258,0.021062,0.030439,1762,295629,0.03
20171216,0.032156,0.042169,0.032008,0.038244,395,248211,0.04
20171215,0.033075,0.035867,0.031904,0.032140,194,255300,0.03
20171214,0.032446,0.035819,0.032089,0.033023,89,250446,0.03
20171213,0.034221,0.038034,0.032318,0.032551,1049,264151,0.04
20171212,0.030181,0.039044,0.029855,0.034191,791,232963,0.03
20171211,0.014778,0.048341,0.014727,0.030083,1322,114072,0.03
20171210,0.022889,0.022889,0.011666,0.014908,96,176680,0.02
20171209,0.019937,0.029388,0.012012,0.022799,277,153890,0.02
20171208,0.014742,0.019957,0.011959,0.019957,205,113793,0.02
20171207,0.011816,0.019073,0.011667,0.014709,152,91203,0.02
20171206,0.011702,0.015775,0.010741,0.011828,435,90327,0.01
20171205,0.014336,0.014657,0.011728,0.011728,120,110658,0.01
20171204,0.011162,0.014308,0.010719,0.014308,7,86155,0.01
20171203,0.011150,0.014888,0.011019,0.011137,11,86068,0.01
20171202,0.014479,0.014896,0.011125,0.011140,104,111759,0.01
20171201,0.012828,0.014945,0.011318,0.014491,87,99016,0.01
20171130,0.010217,0.014026,0.007750,0.012892,105,78867,0.01
20171129,0.011800,0.012681,0.009338,0.010072,587,91080,0.01
20171128,0.012779,0.013564,0.011799,0.011810,62,98644,0.01
20171127,0.013381,0.014483,0.012586,0.012746,1005,103288,0.01
20171126,0.012805,0.015003,0.012784,0.013379,47,98841,0.01
20171125,0.011182,0.012809,0.011122,0.012809,31,86317,0.01
20171124,0.010565,0.012842,0.010407,0.011206,12,81548,0.01
20171123,0.011592,0.011649,0.010648,0.010648,23,89478,0.01
20171122,0.012380,0.015561,0.009940,0.011596,245,95563,0.01
20171121,0.022087,0.022102,0.011614,0.012354,125,170487,0.02
20171120,0.011580,0.022204,0.011441,0.022083,324,89381,0.02
