date,open,high,low,close,volume,marketcap,average
20180110,0.009055,0.011489,0.008721,0.010799,1926,135808,0.01
20180109,0.006626,0.009811,0.006497,0.009043,2411,99385,0.01
20180108,0.006840,0.009015,0.006809,0.008759,5890,102585,0.01
20180107,0.005333,0.006930,0.004449,0.006849,2360,79984,0.01
20180106,0.005605,0.005642,0.005191,0.005337,93,84062,0.01
20180105,0.004858,0.005648,0.004779,0.005600,60,72862,0.01
20180104,0.004107,0.005040,0.004023,0.004857,259,61597,0.00
20180103,0.004747,0.005012,0.004044,0.004085,135,71204,0.00
20180102,0.003375,0.004787,0.003259,0.004764,222,50625,0.00
20180101,0.004055,0.004055,0.002572,0.003376,243,,0.00
20171231,0.002289,0.004130,0.002266,0.004039,339,,0.00
20171230,0.002754,0.002755,0.002313,0.002314,13,,0.00
20171229,0.003127,0.003521,0.002738,0.002761,246,,0.00
20171228,0.002483,0.002493,0.002180,0.002277,12,,0.00
20171227,0.003167,0.003312,0.002486,0.002488,162,,0.00
20171226,0.002786,0.003228,0.002775,0.003165,133,,0.00
20171225,0.002817,0.002899,0.002157,0.002789,386,,0.00
20171224,0.002921,0.002921,0.002011,0.002788,123,,0.00
20171223,0.002068,0.003104,0.002039,0.002889,133,,0.00
20171222,0.002828,0.002856,0.001906,0.002049,152,,0.00
20171221,0.002967,0.003130,0.002121,0.002819,56,,0.00
20171220,0.002687,0.003032,0.002323,0.002959,589,,0.00
20171219,0.002870,0.002880,0.002640,0.002644,5,,0.00
20171218,0.002870,0.003087,0.002741,0.002868,35,,0.00
20171217,0.002922,0.002995,0.002830,0.002861,15,,0.00
20171216,0.002647,0.002944,0.002614,0.002921,16,,0.00
20171215,0.002488,0.002711,0.002488,0.002643,8,,0.00
20171214,0.002620,0.002620,0.002429,0.002484,67,,0.00
20171213,0.002764,0.002801,0.002550,0.002629,180,,0.00
20171212,0.002694,0.002841,0.002631,0.002762,3,,0.00
20171211,0.002440,0.002801,0.002429,0.002685,16,,0.00
20171210,0.002406,0.002524,0.002118,0.002457,92,,0.00
20171209,0.002765,0.002806,0.002167,0.002396,79,,0.00
20171208,0.002950,0.002994,0.002394,0.002768,135,,0.00
20171207,0.002335,0.002943,0.002305,0.002943,46,,0.00
20171206,0.001989,0.002342,0.001989,0.002339,10,,0.00
20171205,0.001982,0.002026,0.001954,0.001994,16,,0.00
20171204,0.001911,0.001978,0.001851,0.001978,50,,0.00
20171203,0.001858,0.002012,0.001800,0.001905,15,,0.00
20171202,0.001850,0.001903,0.001824,0.001857,26,,0.00
20171201,0.001699,0.001863,0.001608,0.001852,1,,0.00
20171130,0.002359,0.002531,0.001614,0.001707,4,,0.00
20171129,0.001688,0.002486,0.001688,0.002323,34,,0.00
20171128,0.001658,0.001697,0.001642,0.001689,79,,0.00
20171127,0.001584,0.001657,0.001584,0.001654,9,,0.00
20171126,0.001487,0.001694,0.001485,0.001584,12,,0.00
20171125,0.001396,0.001487,0.001388,0.001487,2,,0.00
20171124,0.001366,0.001418,0.001340,0.001399,26,,0.00
20171123,0.001398,0.001405,0.001368,0.001368,1,,0.00
20171122,0.001379,0.001411,0.001374,0.001399,11,,0.00
20171121,0.001401,0.001423,0.001325,0.001376,16,,0.00
20171120,0.001689,0.001693,0.001363,0.001401,20,,0.00
20171119,0.001637,0.001703,0.001616,0.001690,3,,0.00
20171118,0.001307,0.001307,0.001267,0.001303,59,,0.00
20171117,0.001569,0.001686,0.001286,0.001312,65,,0.00
20171116,0.001445,0.001601,0.001438,0.001572,8,,0.00
20171115,0.001190,0.001250,0.001190,0.001244,2,,0.00
20171114,0.001176,0.001210,0.001157,0.001189,2,,0.00
20171113,0.001118,0.001211,0.001118,0.001173,2,,0.00
20171111,0.001118,0.001158,0.001116,0.001139,2,,0.00
20171110,0.001212,0.001463,0.001097,0.001122,10,,0.00
20171109,0.001269,0.001303,0.001199,0.001208,8,,0.00
20171108,0.001281,0.001354,0.001218,0.001271,23,,0.00
20171107,0.001263,0.001299,0.001258,0.001285,3,,0.00
20171105,0.001254,0.001294,0.001242,0.001280,3,,0.00
20171104,0.001290,0.001307,0.001209,0.001256,24,,0.00
20171103,0.001194,0.001344,0.001181,0.001293,1,,0.00
20171102,0.001144,0.001256,0.001144,0.001196,7,,0.00
20171101,0.001224,0.001225,0.001110,0.001143,100,,0.00
20171031,0.001164,0.001225,0.001158,0.001225,4,,0.00
20171030,0.001108,0.001181,0.001097,0.001168,1,,0.00
20171029,0.001088,0.001138,0.001038,0.001115,2,,0.00
20171028,0.001095,0.001233,0.001078,0.001090,7,,0.00
20171027,0.001125,0.001404,0.001049,0.001092,13,,0.00
20171026,0.001090,0.001137,0.001082,0.001115,1,,0.00
20171025,0.001048,0.001092,0.001023,0.001090,2,,0.00
20171024,0.001056,0.001086,0.001002,0.001048,4,,0.00
20171023,0.001136,0.001144,0.001020,0.001058,10,,0.00
20171022,0.001323,0.001335,0.001104,0.001138,12,,0.00
20171021,0.001501,0.001537,0.001323,0.001323,11,,0.00
20171020,0.001426,0.001733,0.001072,0.001504,54,,0.00
20171019,0.001134,0.001435,0.001124,0.001426,2,,0.00
20171018,0.001064,0.001064,0.000976,0.001025,1,,0.00
20171017,0.001040,0.001082,0.001009,0.001064,3,,0.00
20171016,0.001138,0.001152,0.001017,0.001040,112,,0.00
20171015,0.001170,0.001174,0.001091,0.001138,6,,0.00
20171014,0.001188,0.001195,0.001063,0.001168,1,,0.00
20171013,0.001088,0.001188,0.001063,0.001187,23,,0.00
20171012,0.000965,0.001457,0.000963,0.001085,154,,0.00
20171011,0.000857,0.000967,0.000850,0.000964,6,,0.00
20171010,0.000909,0.000919,0.000851,0.000857,4,,0.00
20171009,0.000921,0.000933,0.000881,0.000909,5,,0.00
20171008,0.000889,0.000922,0.000886,0.000920,2,,0.00
20171007,0.000875,0.000893,0.000865,0.000891,15,,0.00
20171006,0.000951,0.000968,0.000864,0.000874,4,,0.00
20171005,0.000929,0.000961,0.000830,0.000951,3,,0.00
20171004,0.000864,0.000932,0.000839,0.000928,5,,0.00
20171003,0.000969,0.000974,0.000849,0.000862,1,,0.00
20171002,0.001011,0.001017,0.000961,0.000969,2,,0.00
20171001,0.000912,0.001011,0.000912,0.001011,7,,0.00
20170930,0.000834,0.000912,0.000834,0.000912,11,,0.00
20170929,0.000839,0.000847,0.000810,0.000834,6,,0.00
20170928,0.000841,0.000855,0.000828,0.000839,1,,0.00
20170927,0.000700,0.000845,0.000700,0.000841,4,,0.00
20170926,0.000747,0.000756,0.000701,0.000702,4,,0.00
20170925,0.000661,0.000912,0.000661,0.000747,10,,0.00
20170924,0.000682,0.000682,0.000655,0.000662,0,,0.00
20170923,0.000685,0.000833,0.000673,0.000682,46,,0.00
20170922,0.000724,0.000752,0.000672,0.000687,2,,0.00
20170921,0.000970,0.000976,0.000682,0.000725,292,,0.00
20170920,0.000978,0.001012,0.000961,0.000975,13,,0.00
20170919,0.001067,0.001072,0.000971,0.000980,18,,0.00
20170918,0.001219,0.001271,0.000982,0.001064,75,,0.00
20170917,0.001300,0.001300,0.001133,0.001222,3,,0.00
20170916,0.001335,0.001375,0.001209,0.001301,4,,0.00
20170915,0.001136,0.001377,0.000986,0.001339,25,,0.00
20170914,0.001202,0.001255,0.000856,0.001127,48,,0.00
20170913,0.000955,0.001222,0.000794,0.001202,22,,0.00
20170912,0.001264,0.001286,0.000862,0.000959,6,,0.00
20170911,0.001275,0.001313,0.001047,0.001263,5,,0.00
20170910,0.000910,0.001298,0.000876,0.001277,3,,0.00
20170909,0.001299,0.001316,0.000883,0.000912,205,,0.00
20170908,0.001390,0.001456,0.001036,0.001296,42,,0.00
20170907,0.001108,0.001396,0.001084,0.001390,27,,0.00
