date,open,high,low,close,volume,marketcap,average
20180110,1.79,1.89,1.19,1.72,66858,17957400,1.54
20180109,1.23,1.89,1.20,1.78,61829,12331800,1.54
20180108,1.81,1.92,1.05,1.23,39469,18229100,1.48
20180107,1.24,1.81,1.21,1.81,53694,12494600,1.51
20180106,0.946532,1.30,0.861900,1.24,53134,9518150,1.08
20180105,0.822791,0.992297,0.816561,0.942021,17998,8273840,0.90
20180104,0.844594,0.973053,0.693780,0.825247,39409,8493080,0.83
20180103,0.713147,0.861525,0.645473,0.843207,13642,7171280,0.75
20180102,0.939036,1.02,0.710049,0.710049,44023,9442770,0.87
20180101,0.574228,1.15,0.566894,0.937767,75253,5774330,0.86
20171231,0.486416,0.600604,0.426384,0.573726,36895,4891310,0.51
20171230,0.502537,0.540657,0.407449,0.505663,24913,5053420,0.47
20171229,0.481131,0.517107,0.366657,0.502798,27591,4838170,0.44
20171228,0.402212,0.504245,0.345782,0.478247,6700,4044570,0.43
20171227,0.363936,0.476867,0.363107,0.402900,13775,3659670,0.42
20171226,0.399515,0.473040,0.340433,0.363107,9155,4017450,0.41
20171225,0.405665,0.438161,0.385219,0.399369,2173,4079300,0.41
20171224,0.424315,0.424315,0.346571,0.403675,5499,4266840,0.39
20171223,0.335645,0.542952,0.335468,0.419356,8430,3375190,0.44
20171222,0.411624,0.473944,0.243688,0.332902,7257,4139220,0.36
20171221,0.469688,0.472430,0.398224,0.410071,688,4723090,0.44
20171220,0.480968,0.504046,0.427667,0.469182,4385,4836530,0.47
20171219,0.476659,0.608324,0.445428,0.481482,14388,4793190,0.53
20171218,0.504985,0.505488,0.418575,0.477617,23797,5078030,0.46
20171217,0.552477,0.559314,0.470155,0.504796,38766,5555610,0.51
20171216,0.456652,0.553247,0.437417,0.553247,25774,4592010,0.50
20171215,0.461332,0.471273,0.363078,0.419680,51680,4639070,0.42
20171214,0.413345,0.480062,0.386905,0.460792,23031,4156520,0.43
20171213,0.408675,0.497597,0.325103,0.414011,37594,4109570,0.41
