date,open,high,low,close,volume,marketcap,average
20180110,0.021469,0.023026,0.016701,0.020698,34659,1590990,0.02
20180109,0.024246,0.025696,0.020691,0.021440,38332,1796850,0.02
20180108,0.023287,0.027174,0.019106,0.024011,54442,1725790,0.02
20180107,0.018579,0.029272,0.017681,0.023483,76710,1376830,0.02
20180106,0.016824,0.019744,0.014846,0.018592,48287,1246830,0.02
20180105,0.017658,0.023798,0.016308,0.017824,60110,1308570,0.02
20180104,0.021257,0.026934,0.015693,0.017406,86642,1575290,0.02
20180103,0.013449,0.026477,0.012871,0.020910,161213,996646,0.02
20180102,0.007869,0.014045,0.007869,0.013993,34477,583140,0.01
20180101,0.008116,0.011375,0.007320,0.007870,17175,601450,0.01
20171231,0.008149,0.010995,0.007287,0.008673,9382,603933,0.01
20171230,0.009359,0.010316,0.006289,0.007892,15574,693601,0.01
20171229,0.012509,0.013315,0.007221,0.009501,20201,927013,0.01
20171228,0.013955,0.014136,0.011677,0.012780,15659,1034160,0.01
20171227,0.012579,0.023831,0.010549,0.014695,49053,932216,0.02
20171226,0.025005,0.026932,0.010585,0.012644,26523,1853070,0.02
20171225,0.019867,0.025393,0.017372,0.025027,45313,1472330,0.02
20171224,0.016639,0.024518,0.015375,0.019670,98110,1233110,0.02
20171223,0.014384,0.022438,0.013259,0.016452,48471,1065970,0.02
20171222,0.017320,0.019293,0.010255,0.014234,30685,1283580,0.01
20171221,0.009690,0.024880,0.008480,0.017261,212598,718118,0.02
20171220,0.005787,0.009692,0.004811,0.009665,48380,428884,0.01
20171219,0.003634,0.011551,0.002362,0.005321,51692,269313,0.01
20171218,0.004107,0.004511,0.003006,0.003632,4827,304337,0.00
20171217,0.003615,0.004265,0.003146,0.004097,1554,267931,0.00
20171216,0.003380,0.003677,0.001988,0.003612,1397,250474,0.00
20171215,0.003784,0.003856,0.002892,0.003375,4418,280428,0.00
20171214,0.003111,0.003921,0.003076,0.003792,365,230575,0.00
20171213,0.002909,0.003474,0.002909,0.003121,1708,215566,0.00
20171212,0.003240,0.003472,0.002648,0.002904,914,240073,0.00
20171211,0.002779,0.003312,0.002658,0.003228,329,205972,0.00
20171210,0.002555,0.002998,0.002166,0.002801,224,189340,0.00
20171209,0.002573,0.002611,0.001495,0.002545,839,190669,0.00
20171208,0.002426,0.002914,0.001313,0.001313,757,179791,0.00
20171207,0.002158,0.002812,0.001623,0.002420,1129,159939,0.00
20171206,0.001767,0.002411,0.001310,0.002154,1365,130934,0.00
20171205,0.002161,0.002286,0.002039,0.002039,157,160176,0.00
20171204,0.001693,0.002184,0.001692,0.002157,83,125494,0.00
20171203,0.002168,0.002181,0.001597,0.001688,389,160684,0.00
20171202,0.002027,0.002210,0.001853,0.002166,168,150200,0.00
20171201,0.001869,0.002153,0.001762,0.002028,188,138488,0.00
20171130,0.001867,0.002138,0.001620,0.001879,268,138393,0.00
20171129,0.001794,0.002288,0.001728,0.001839,369,132922,0.00
20171128,0.001854,0.002002,0.001766,0.001795,566,137361,0.00
20171127,0.001671,0.001941,0.001671,0.001849,119,123854,0.00
20171126,0.001858,0.001926,0.001544,0.001671,288,137689,0.00
20171125,0.001355,0.002080,0.001279,0.001861,280,100412,0.00
20171124,0.001348,0.001603,0.001069,0.001357,88,99884,0.00
20171123,0.001689,0.001920,0.001349,0.001349,909,125165,0.00
20171122,0.001543,0.002159,0.001085,0.001690,789,114320,0.00
20171121,0.000906,0.001539,0.000740,0.001539,1172,67172,0.00
20171120,0.000797,0.000911,0.000656,0.000906,131,59087,0.00
20171119,0.000779,0.000940,0.000774,0.000797,4,57704,0.00
20171118,0.000833,0.001009,0.000769,0.000780,227,61768,0.00
20171117,0.000940,0.000962,0.000682,0.000837,72,69678,0.00
20171116,0.001022,0.001122,0.000620,0.000942,629,75770,0.00
20171115,0.000925,0.001208,0.000925,0.001017,70,68566,0.00
20171114,0.000914,0.001253,0.000914,0.000925,446,67758,0.00
20171113,0.000763,0.001309,0.000745,0.000978,133,56571,0.00
20171112,0.000873,0.000873,0.000686,0.000762,38,64666,0.00
20171111,0.000853,0.001288,0.000757,0.000873,118,63224,0.00
20171110,0.000855,0.001366,0.000811,0.000856,426,63397,0.00
20171109,0.000821,0.001084,0.000564,0.000853,119,60873,0.00
20171108,0.000568,0.001175,0.000565,0.000972,276,42091,0.00
20171107,0.000763,0.000785,0.000492,0.000570,107,56533,0.00
20171106,0.000645,0.001370,0.000509,0.000764,251,47789,0.00
20171105,0.000811,0.000890,0.000524,0.000644,69,60118,0.00
20171104,0.000757,0.001113,0.000740,0.000887,64,56108,0.00
20171103,0.000824,0.000853,0.000379,0.000759,904,61102,0.00
20171102,0.001009,0.001097,0.000823,0.000826,207,74797,0.00
20171101,0.001031,0.001096,0.000979,0.001008,165,76407,0.00
20171031,0.000980,0.001032,0.000975,0.001032,31,72602,0.00
20171030,0.000976,0.001100,0.000967,0.000983,186,72324,0.00
20171029,0.000918,0.001085,0.000916,0.000981,150,68034,0.00
20171028,0.001150,0.001167,0.000918,0.000919,27,85217,0.00
20171027,0.000942,0.001616,0.000916,0.001148,124,69801,0.00
20171026,0.000918,0.000981,0.000912,0.000942,145,67994,0.00
20171025,0.000943,0.001032,0.000873,0.000918,60,69862,0.00
20171024,0.001736,0.001846,0.000937,0.000942,69,128652,0.00
20171023,0.000957,0.001773,0.000888,0.001741,32,70898,0.00
20171022,0.000962,0.000971,0.000924,0.000958,37,71306,0.00
20171021,0.001021,0.001045,0.000944,0.000962,5,75655,0.00
20171020,0.000969,0.001069,0.000909,0.001023,12,71832,0.00
20171019,0.000894,0.001033,0.000886,0.000969,41,66250,0.00
20171018,0.001008,0.001008,0.000822,0.000893,112,74711,0.00
20171017,0.000925,0.001017,0.000886,0.001008,15,68524,0.00
20171016,0.000910,0.000929,0.000889,0.000925,97,67440,0.00
20171015,0.001053,0.001057,0.000873,0.000910,290,78052,0.00
20171014,0.000905,0.001097,0.000895,0.001051,89,67070,0.00
20171013,0.000871,0.000939,0.000865,0.000905,64,64512,0.00
20171012,0.000772,0.000868,0.000770,0.000868,58,57226,0.00
20171011,0.000762,0.000780,0.000756,0.000772,3,56490,0.00
20171010,0.000766,0.000882,0.000757,0.000762,17,56748,0.00
20171009,0.000736,0.000817,0.000728,0.000766,110,54553,0.00
20171008,0.000755,0.000863,0.000710,0.000736,41,55973,0.00
20171007,0.000787,0.000921,0.000738,0.000757,148,58344,0.00
20171006,0.000951,0.001059,0.000784,0.000787,45,70494,0.00
20171005,0.000844,0.000998,0.000707,0.000951,72,62568,0.00
20171004,0.000821,0.001087,0.000714,0.000844,369,60823,0.00
20171003,0.000928,0.001017,0.000811,0.000819,43,68784,0.00
20171002,0.001055,0.001382,0.000923,0.000928,206,78153,0.00
20171001,0.000956,0.001055,0.000938,0.001055,16,70837,0.00
20170930,0.000793,0.001033,0.000792,0.000955,21,58744,0.00
20170929,0.000797,0.000890,0.000769,0.000793,11,59048,0.00
20170928,0.000841,0.000855,0.000797,0.000797,14,62362,0.00
20170927,0.001011,0.001068,0.000778,0.000841,66,74926,0.00
20170926,0.000792,0.001035,0.000780,0.001014,2,58677,0.00
20170925,0.000661,0.001146,0.000661,0.000792,174,48987,0.00
20170924,0.000720,0.000757,0.000659,0.000662,107,53344,0.00
20170923,0.000803,0.000893,0.000673,0.000720,12,59516,0.00
20170922,0.000814,0.000823,0.000710,0.000806,1,60294,0.00
20170921,0.000800,0.000880,0.000689,0.000814,66,59300,0.00
20170920,0.000658,0.000819,0.000632,0.000804,60,48780,0.00
20170919,0.001026,0.001031,0.000655,0.000659,57,76018,0.00
20170918,0.000934,0.001032,0.000834,0.001023,22,69230,0.00
20170917,0.001130,0.001130,0.000837,0.000896,1,83728,0.00
20170916,0.000853,0.001129,0.000852,0.001129,27,63224,0.00
20170915,0.000779,0.000900,0.000717,0.000855,41,57709,0.00
20170914,0.000941,0.000961,0.000773,0.000773,16,69766,0.00
20170913,0.001287,0.001291,0.000919,0.000942,27,95344,0.00
20170912,0.001284,0.001353,0.001261,0.001291,136,95169,0.00
20170911,0.001106,0.001329,0.001075,0.001283,355,81965,0.00
20170910,0.001281,0.001281,0.001075,0.001108,27,94956,0.00
