date,open,high,low,close,volume,marketcap,average
20180110,0.022036,0.023344,0.017993,0.022999,35833800,632840000,0.02
20180109,0.025267,0.025572,0.021861,0.021942,27157200,725630000,0.02
20180108,0.025506,0.028092,0.021027,0.025354,45192300,732452000,0.02
20180107,0.029209,0.032391,0.025941,0.026297,99560700,838769000,0.03
20180106,0.018857,0.029635,0.018829,0.029256,86278800,541450000,0.02
20180105,0.019138,0.020998,0.015771,0.018711,69929000,549525000,0.02
20180104,0.018011,0.021345,0.017953,0.019460,79646300,517128000,0.02
20180103,0.013027,0.020094,0.012433,0.018056,135084000,374009000,0.02
20180102,0.010263,0.013286,0.009625,0.013080,35460200,294657000,0.01
20180101,0.011586,0.012226,0.010134,0.010134,27199400,332647000,0.01
20171231,0.008787,0.011719,0.008589,0.011546,30462400,252265000,0.01
20171230,0.010450,0.010674,0.008649,0.008891,14883000,300021000,0.01
20171229,0.010735,0.011868,0.009627,0.010611,29663400,308179000,0.01
20171228,0.012876,0.012878,0.009402,0.010879,34008100,369496000,0.01
20171227,0.016135,0.016135,0.012483,0.012761,44206000,463023000,0.01
20171226,0.013547,0.017118,0.011918,0.015858,90064100,388754000,0.01
20171225,0.016162,0.022578,0.012460,0.013671,158042000,463784000,0.02
20171224,0.010125,0.019156,0.009134,0.015346,174617000,290544000,0.01
20171223,0.008277,0.012943,0.008076,0.010284,77540400,237530000,0.01
20171222,0.010235,0.010235,0.004826,0.007947,58049300,293718000,0.01
20171221,0.009061,0.014089,0.008035,0.010049,184486000,260013000,0.01
20171220,0.003346,0.010412,0.002646,0.008710,148392000,96013600,0.01
20171219,0.002882,0.003610,0.002664,0.003182,13528700,82698800,0.00
20171218,0.002877,0.003056,0.002462,0.002886,7872790,82568500,0.00
20171217,0.002725,0.003484,0.002497,0.002865,21482700,78189400,0.00
20171216,0.001599,0.002743,0.001577,0.002724,12212500,45892900,0.00
20171215,0.001814,0.001863,0.001546,0.001756,1228770,52056000,0.00
20171214,0.001482,0.001846,0.001462,0.001812,2361400,42515400,0.00
20171213,0.001719,0.001738,0.001449,0.001634,939991,49298100,0.00
20171212,0.001519,0.001770,0.001346,0.001718,1426780,43565400,0.00
20171211,0.001522,0.001747,0.001383,0.001665,532787,43642600,0.00
20171210,0.001503,0.001630,0.001194,0.001532,750447,43110600,0.00
20171209,0.001622,0.001660,0.001262,0.001497,1102540,46530400,0.00
20171208,0.001568,0.001786,0.001272,0.001471,1097550,44981800,0.00
20171207,0.001644,0.001794,0.001376,0.001729,2024320,47155500,0.00
20171206,0.001518,0.001646,0.001246,0.001646,1706450,43534300,0.00
20171205,0.001512,0.001632,0.001389,0.001521,1591410,43374000,0.00
20171204,0.001233,0.001504,0.001130,0.001399,1566390,35372000,0.00
20171203,0.001103,0.001298,0.001077,0.001125,620908,31646400,0.00
20171202,0.001195,0.001222,0.001082,0.001198,358454,34273300,0.00
20171201,0.001096,0.001250,0.000951,0.001093,674677,31433900,0.00
20171130,0.001084,0.001280,0.000905,0.001102,555738,31085600,0.00
20171129,0.001195,0.001409,0.001005,0.001068,1059710,34278700,0.00
20171128,0.001268,0.001376,0.001166,0.001197,541741,36364100,0.00
20171127,0.001215,0.001361,0.001142,0.001267,925893,34831100,0.00
20171126,0.001224,0.001331,0.001137,0.001303,522660,35086500,0.00
20171125,0.001150,0.001232,0.001065,0.001139,523048,32986100,0.00
20171124,0.001204,0.001238,0.001036,0.001153,827451,34535400,0.00
20171123,0.001072,0.001237,0.001055,0.001206,1314890,30726100,0.00
20171122,0.001054,0.001156,0.000976,0.001072,707296,30215100,0.00
20171121,0.000990,0.001143,0.000937,0.000973,589948,28394700,0.00
20171120,0.001047,0.001156,0.000984,0.000991,676891,30024800,0.00
20171119,0.001166,0.001168,0.001004,0.001125,402688,33433600,0.00
20171118,0.001152,0.001176,0.000998,0.001094,466378,33036700,0.00
20171117,0.001177,0.001284,0.001006,0.001081,1319400,33752300,0.00
20171116,0.001168,0.001269,0.001040,0.001179,1265180,33488200,0.00
20171115,0.001123,0.001204,0.001026,0.001162,1108540,32204600,0.00
20171114,0.001044,0.001238,0.000971,0.001123,2738760,29919300,0.00
20171113,0.000882,0.001068,0.000874,0.000979,340337,25273800,0.00
20171112,0.001017,0.001028,0.000833,0.000881,583416,29159200,0.00
20171111,0.001051,0.001089,0.000945,0.001018,488123,30138100,0.00
20171110,0.001282,0.001306,0.000980,0.000991,746393,36741400,0.00
20171109,0.001122,0.001302,0.001080,0.001209,1177340,32157600,0.00
20171108,0.001137,0.001217,0.001027,0.001195,510361,32581400,0.00
20171107,0.001044,0.001154,0.001044,0.001072,276514,29926800,0.00
20171106,0.001111,0.001185,0.001013,0.001046,628583,31828800,0.00
20171105,0.001034,0.001217,0.001034,0.001179,338810,29621600,0.00
20171104,0.001146,0.001196,0.001031,0.001108,380309,32837400,0.00
20171103,0.001053,0.001175,0.000973,0.001149,463621,30184400,0.00
20171102,0.001078,0.001163,0.000977,0.000985,1526460,30882400,0.00
20171101,0.001095,0.001143,0.001020,0.001141,356745,31373100,0.00
20171031,0.001163,0.001172,0.001010,0.001096,803903,33338400,0.00
20171030,0.001231,0.001231,0.001036,0.001107,752761,35280400,0.00
20171029,0.000917,0.001277,0.000916,0.001177,19297100,26277100,0.00
