date,open,high,low,close,volume,marketcap,average
20180110,0.004527,0.004599,0.003158,0.003750,631,,0.00
20180109,0.002711,0.004629,0.002702,0.004521,1716,,0.00
20180108,0.004397,0.004413,0.002421,0.002718,293,,0.00
20180107,0.003096,0.004459,0.002984,0.004403,2256,,0.00
20180106,0.002378,0.003107,0.001964,0.003099,384,,0.00
20180105,0.002125,0.002392,0.001966,0.002376,302,,0.00
20180104,0.002434,0.002434,0.001879,0.002125,644,,0.00
20180103,0.002374,0.002783,0.002206,0.002420,604,,0.00
20180102,0.002835,0.003023,0.002358,0.002382,443,,0.00
20180101,0.002377,0.002885,0.002290,0.002836,140,,0.00
20171231,0.002161,0.002421,0.002140,0.002368,388,,0.00
20171230,0.003044,0.003045,0.001982,0.002185,9,,0.00
20171229,0.002894,0.003060,0.002015,0.003052,278,,0.00
20171228,0.002638,0.002989,0.002295,0.002864,327,,0.00
20171227,0.002692,0.002734,0.002061,0.002643,295,,0.00
20171226,0.001074,0.003017,0.001065,0.002690,1284,,0.00
20171225,0.001127,0.001160,0.001061,0.001128,1,,0.00
20171224,0.002191,0.002191,0.001017,0.001115,60,,0.00
20171223,0.001241,0.002328,0.000994,0.002167,170,,0.00
20171222,0.001414,0.001428,0.000766,0.001229,92,,0.00
20171221,0.001483,0.001565,0.001060,0.001409,96,,0.00
20171220,0.001057,0.001784,0.001052,0.001480,46,,0.00
20171219,0.002296,0.002304,0.000936,0.001058,34,,0.00
20171218,0.000957,0.002862,0.000914,0.002294,138,,0.00
20171217,0.002337,0.002372,0.000949,0.000954,305,,0.00
20171216,0.003000,0.003330,0.002233,0.002337,974,,0.00
20171215,0.003318,0.005073,0.002988,0.002996,1063,,0.00
20171214,0.001474,0.004018,0.000810,0.003313,2889,,0.00
20171213,0.000864,0.001504,0.000503,0.001479,974,,0.00
20171212,0.000673,0.000877,0.000498,0.000863,65,,0.00
20171211,0.001220,0.001342,0.000164,0.000671,556,,0.00
20171210,0.000902,0.001262,0.000794,0.001229,8,,0.00
20171209,0.001626,0.001650,0.000813,0.000899,36,,0.00
20171208,0.001736,0.001761,0.000845,0.001628,152,,0.00
20171207,0.002335,0.002413,0.001492,0.001731,47,,0.00
20171206,0.001521,0.002342,0.001461,0.002339,17,,0.00
20171205,0.001982,0.002136,0.001509,0.001524,18,,0.00
20171204,0.001461,0.002054,0.001307,0.001978,265,,0.00
20171203,0.001749,0.001791,0.001376,0.001457,98,,0.00
20171202,0.001741,0.001791,0.001716,0.001747,21,,0.00
20171201,0.000899,0.001753,0.000854,0.001743,171,,0.00
20171130,0.001966,0.002109,0.000810,0.000904,144,,0.00
20171129,0.001986,0.002288,0.001637,0.001936,42,,0.00
20171128,0.002146,0.003293,0.001979,0.001988,333,,0.00
20171127,0.002050,0.002144,0.001977,0.002141,90,,0.00
20171126,0.002187,0.002290,0.002015,0.002050,239,,0.00
20171125,0.002299,0.003392,0.002136,0.002187,298,,0.00
20171124,0.002250,0.002335,0.002207,0.002303,15,,0.00
20171123,0.002303,0.002314,0.002253,0.002253,304,,0.00
20171122,0.002272,0.002324,0.002262,0.002304,165,,0.00
20171121,0.003297,0.003304,0.002234,0.002266,147,,0.00
20171120,0.002091,0.004321,0.002066,0.003296,5167,,0.00
20171119,0.002180,0.002191,0.001234,0.002092,244,,0.00
20171118,0.002075,0.002336,0.002012,0.002184,265,,0.00
20171117,0.002118,0.002619,0.002043,0.002083,1030,,0.00
20171116,0.002264,0.002637,0.002010,0.002122,539,,0.00
20171115,0.002050,0.002489,0.002050,0.002252,443,,0.00
20171114,0.001763,0.002050,0.001753,0.002048,27,,0.00
20171113,0.001526,0.002616,0.001515,0.001760,94,,0.00
20171112,0.002036,0.002960,0.001472,0.001524,1691,,0.00
20171111,0.003419,0.003541,0.001925,0.002037,2195,,0.00
20171110,0.002067,0.005921,0.002067,0.003431,12924,,0.00
20171109,0.002987,0.003199,0.002054,0.002061,859,,0.00
20171108,0.003060,0.003307,0.002478,0.002990,1693,,0.00
20171107,0.001949,0.003729,0.001949,0.003070,10835,,0.00
20171106,0.003327,0.005455,0.001899,0.001952,9473,,0.00
20171105,0.002877,0.004194,0.001934,0.003320,5763,,0.00
20171104,0.002007,0.002910,0.001836,0.002882,398,,0.00
20171103,0.001967,0.002091,0.001945,0.002012,71,,0.00
20171102,0.001278,0.002095,0.001278,0.001969,472,,0.00
20171101,0.001547,0.001987,0.001209,0.001277,322,,0.00
20171031,0.001900,0.001924,0.001532,0.001548,576,,0.00
20171030,0.001970,0.001975,0.001647,0.001906,165,,0.00
20171029,0.001432,0.002023,0.001428,0.001982,2,,0.00
20171028,0.002075,0.002207,0.001418,0.001434,77,,0.00
20171027,0.002237,0.002279,0.002052,0.002069,2,,0.00
20171026,0.002638,0.002646,0.001139,0.002236,155,,0.00
20171025,0.002207,0.002643,0.001268,0.002638,364,,0.00
20171024,0.001173,0.002591,0.001113,0.002206,48,,0.00
20171023,0.001674,0.001747,0.001133,0.001176,48,,0.00
20171022,0.002526,0.002875,0.001609,0.001677,119,,0.00
20171021,0.002522,0.003052,0.002479,0.002525,1090,,0.00
20171020,0.002282,0.002890,0.002282,0.002527,1258,,0.00
20171019,0.002570,0.002597,0.002135,0.002281,125,,0.00
20171018,0.002576,0.002581,0.002204,0.002569,277,,0.00
20171017,0.002890,0.003359,0.002560,0.002576,464,,0.00
20171016,0.002732,0.003429,0.002529,0.002889,302,,0.00
20171015,0.003277,0.003605,0.002463,0.002732,544,,0.00
20171014,0.002658,0.004341,0.002633,0.003271,3057,,0.00
20171013,0.003210,0.010278,0.002321,0.002657,41340,,0.01
20171012,0.002896,0.003200,0.001547,0.003200,1666,,0.00
20171011,0.001857,0.002974,0.001334,0.002893,598,,0.00
20171010,0.002489,0.002527,0.001425,0.001858,317,,0.00
20171009,0.002624,0.003653,0.002477,0.002489,269,,0.00
20171008,0.003644,0.004469,0.002365,0.002623,1262,,0.00
20171007,0.005467,0.005482,0.003564,0.003654,3097,,0.00
20171006,0.004194,0.005803,0.003517,0.005466,3879,,0.00
20171005,0.003293,0.004235,0.003237,0.004194,1959,,0.00
20171004,0.004104,0.004194,0.002225,0.003290,587,,0.00
20171003,0.005724,0.005724,0.004092,0.004094,254,,0.00
20171002,0.005712,0.005756,0.003504,0.005723,1227,,0.00
20171001,0.006213,0.007336,0.005297,0.005715,5017,,0.01
20170930,0.005507,0.007502,0.005502,0.006210,2745,,0.01
20170929,0.005242,0.006599,0.005101,0.005506,2004,,0.01
