date,open,high,low,close,volume,marketcap,average
20180110,0.000876,0.001200,0.000712,0.001200,1726,88746,0.00
20180109,0.001054,0.001234,0.000747,0.000875,1418,106765,0.00
20180108,0.000814,0.001124,0.000585,0.001057,2282,82465,0.00
20180107,0.001032,0.001156,0.000684,0.000815,1504,104533,0.00
20180106,0.000679,0.001036,0.000494,0.001033,932,68804,0.00
20180105,0.000759,0.000846,0.000452,0.000679,584,76875,0.00
20180104,0.000608,0.000773,0.000441,0.000607,453,61620,0.00
20180103,0.000593,0.000928,0.000593,0.000605,1360,60101,0.00
20180102,0.000810,0.000912,0.000521,0.000596,701,82043,0.00
20180101,0.000419,0.000821,0.000387,0.000810,2289,42480,0.00
20171231,0.000381,0.000539,0.000378,0.000418,254,38631,0.00
20171230,0.000580,0.000580,0.000365,0.000386,298,58724,0.00
20171229,0.000434,0.000605,0.000434,0.000581,357,43957,0.00
20171228,0.000310,0.000581,0.000276,0.000430,1274,31428,0.00
20171227,0.000475,0.000476,0.000158,0.000311,117,48118,0.00
20171226,0.000279,0.000482,0.000277,0.000475,22,28215,0.00
20171225,0.000282,0.000435,0.000273,0.000279,113,28534,0.00
20171224,0.000292,0.000432,0.000262,0.000279,226,29586,0.00
20171223,0.000276,0.000466,0.000148,0.000289,5075,27932,0.00
20171222,0.000157,0.000299,0.000135,0.000273,39,15914,0.00
20171221,0.000330,0.000348,0.000151,0.000157,7,33387,0.00
20171220,0.000352,0.000357,0.000163,0.000329,33,35688,0.00
20171219,0.000383,0.000384,0.000171,0.000353,102,38756,0.00
20171218,0.000185,0.000382,0.000183,0.000382,32,18714,0.00
20171216,0.000176,0.000180,0.000174,0.000180,9,17872,0.00
20171215,0.000166,0.000353,0.000166,0.000176,81,16824,0.00
20171214,0.000164,0.000166,0.000162,0.000165,48,16585,0.00
20171213,0.000346,0.000350,0.000159,0.000164,47,34993,0.00
20171212,0.000505,0.000512,0.000329,0.000345,77,51155,0.00
20171211,0.000305,0.000525,0.000304,0.000503,22,30883,0.00
20171210,0.000301,0.000473,0.000265,0.000307,32,30459,0.00
20171209,0.000488,0.000495,0.000271,0.000300,27,49415,0.00
20171208,0.000694,0.000705,0.000422,0.000488,2,70308,0.00
20171207,0.000412,0.000693,0.000290,0.000693,42,41734,0.00
20171206,0.000468,0.000514,0.000375,0.000413,260,47401,0.00
20171205,0.000350,0.000475,0.000345,0.000469,75,35415,0.00
20171204,0.000450,0.000464,0.000223,0.000349,62,45541,0.00
20171203,0.000437,0.000473,0.000424,0.000448,53,44285,0.00
20171202,0.000218,0.000442,0.000215,0.000437,57,22047,0.00
20171201,0.000200,0.000322,0.000194,0.000218,12,20241,0.00
20171130,0.000197,0.000214,0.000180,0.000201,2,19908,0.00
20171129,0.000199,0.000229,0.000182,0.000194,6,20110,0.00
20171128,0.000390,0.000397,0.000196,0.000199,8,39520,0.00
20171127,0.000280,0.000390,0.000280,0.000389,211,28310,0.00
20171126,0.000175,0.000285,0.000175,0.000279,74,17716,0.00
20171125,0.000246,0.000258,0.000171,0.000175,1,24944,0.00
20171124,0.000161,0.000248,0.000158,0.000247,12,16279,0.00
20171123,0.000165,0.000165,0.000161,0.000161,7,16660,0.00
20171122,0.000243,0.000249,0.000162,0.000165,3,24653,0.00
20171121,0.000165,0.000251,0.000156,0.000243,3,16693,0.00
20171120,0.000241,0.000242,0.000159,0.000165,16,24438,0.00
20171119,0.000156,0.000243,0.000154,0.000241,822,15773,0.00
20171118,0.000231,0.000234,0.000153,0.000156,2,23355,0.00
20171117,0.000157,0.000240,0.000153,0.000231,110,15890,0.00
20171116,0.000219,0.000225,0.000148,0.000157,10,22189,0.00
20171115,0.000198,0.000220,0.000198,0.000218,40,20088,0.00
20171114,0.000199,0.000200,0.000193,0.000198,12,20177,0.00
20171112,0.000191,0.000191,0.000166,0.000179,3,19327,0.00
20171111,0.000131,0.000203,0.000131,0.000191,3,13318,0.00
20171110,0.000214,0.000290,0.000129,0.000132,28,21660,0.00
20171109,0.000288,0.000290,0.000213,0.000213,24,29126,0.00
20171107,0.000209,0.000216,0.000209,0.000212,48,21144,0.00
20171106,0.000222,0.000223,0.000208,0.000209,48,22463,0.00
20171105,0.000221,0.000228,0.000219,0.000221,1,22413,0.00
20171104,0.000226,0.000226,0.000222,0.000222,2,22884,0.00
20171102,0.000202,0.000219,0.000202,0.000210,2,20444,0.00
20171101,0.000258,0.000258,0.000129,0.000202,289,26105,0.00
20171031,0.000184,0.000258,0.000184,0.000258,5,18618,0.00
20171030,0.000246,0.000308,0.000183,0.000184,17,24942,0.00
20171029,0.000229,0.000293,0.000229,0.000248,21,23204,0.00
20171028,0.000288,0.000294,0.000170,0.000229,33,29185,0.00
20171027,0.000235,0.000296,0.000234,0.000287,26,23848,0.00
20171026,0.000172,0.000239,0.000171,0.000235,14,17423,0.00
20171025,0.000166,0.000225,0.000109,0.000172,94,16766,0.00
20171024,0.000235,0.000235,0.000165,0.000165,17,23762,0.00
20171023,0.000179,0.000240,0.000113,0.000235,53,18167,0.00
20171022,0.000180,0.000242,0.000172,0.000180,7,18272,0.00
20171021,0.000243,0.000248,0.000180,0.000180,8,24592,0.00
20171020,0.000228,0.000242,0.000225,0.000241,1,23110,0.00
20171019,0.000223,0.000230,0.000221,0.000228,1,22634,0.00
20171018,0.000224,0.000224,0.000205,0.000223,24,22689,0.00
20171017,0.000231,0.000232,0.000221,0.000224,47,23411,0.00
20171016,0.000282,0.000288,0.000171,0.000231,101,28535,0.00
20171015,0.000293,0.000294,0.000273,0.000275,14,29630,0.00
20171014,0.000283,0.000343,0.000280,0.000292,24,28640,0.00
20171013,0.000272,0.000294,0.000270,0.000283,16,27551,0.00
20171012,0.000241,0.000271,0.000241,0.000271,3,24439,0.00
20171011,0.000238,0.000244,0.000236,0.000241,13,24118,0.00
20171010,0.000239,0.000246,0.000236,0.000238,17,24236,0.00
20171009,0.000276,0.000331,0.000239,0.000239,53,27969,0.00
20171008,0.000267,0.000277,0.000266,0.000276,3,27002,0.00
20171007,0.000219,0.000268,0.000216,0.000267,11,22148,0.00
20171006,0.000216,0.000310,0.000173,0.000219,107,21894,0.00
20171005,0.000253,0.000255,0.000215,0.000216,3,25652,0.00
20171004,0.000259,0.000261,0.000252,0.000253,3,26249,0.00
20171003,0.000264,0.000310,0.000256,0.000259,13,26754,0.00
20171002,0.000352,0.000354,0.000220,0.000264,192,35602,0.00
20171001,0.000304,0.000352,0.000300,0.000352,42,30802,0.00
20170930,0.000300,0.000305,0.000300,0.000304,10,30378,0.00
20170929,0.000252,0.000254,0.000243,0.000251,1,25483,0.00
20170928,0.000252,0.000295,0.000248,0.000252,5,25567,0.00
20170927,0.000233,0.000335,0.000233,0.000252,34,23630,0.00
20170926,0.000315,0.000318,0.000234,0.000234,3,31869,0.00
20170925,0.000294,0.000318,0.000226,0.000315,124,29754,0.00
20170924,0.000265,0.000299,0.000218,0.000294,72,26858,0.00
20170923,0.000253,0.000267,0.000250,0.000265,7,25573,0.00
20170922,0.000253,0.000263,0.000248,0.000253,22,25670,0.00
20170921,0.000233,0.000312,0.000219,0.000254,3,23574,0.00
