date,open,high,low,close,volume,marketcap,average
20180110,0.038784,0.041101,0.015904,0.021987,854078,4479570,0.03
20180109,0.022375,0.058274,0.019911,0.039150,4068700,2584270,0.04
20180108,0.010397,0.026404,0.007843,0.022422,1014400,1200840,0.02
20180107,0.004967,0.016066,0.003582,0.010770,616068,573680,0.01
20180106,0.003081,0.004986,0.002560,0.004971,123501,355811,0.00
20180105,0.003309,0.003392,0.002722,0.003079,42329,382237,0.00
20180104,0.003764,0.003898,0.002489,0.003308,61620,434702,0.00
20180103,0.003872,0.004004,0.002952,0.003734,54649,447173,0.00
20180102,0.002451,0.004693,0.002238,0.003884,437330,283101,0.00
20180101,0.001141,0.003256,0.001064,0.002459,140320,131826,0.00
20171231,0.001140,0.001307,0.001007,0.001139,7271,131650,0.00
20171230,0.001453,0.001453,0.000906,0.001150,15309,167824,0.00
20171229,0.001583,0.001725,0.001180,0.001457,22672,182814,0.00
20171228,0.001857,0.002130,0.001366,0.001567,20970,214462,0.00
20171227,0.002164,0.002350,0.001379,0.001860,72855,249979,0.00
20171226,0.002625,0.002627,0.001578,0.001922,84071,303212,0.00
20171225,0.004870,0.004870,0.002513,0.002641,255186,562479,0.00
20171224,0.001862,0.005223,0.001862,0.004611,996733,215074,0.00
20171223,0.000400,0.002939,0.000293,0.001962,279646,46225,0.00
20171222,0.000455,0.000487,0.000279,0.000397,6112,52586,0.00
20171221,0.000489,0.000498,0.000319,0.000454,13364,56477,0.00
20171220,0.000372,0.000501,0.000313,0.000488,12288,42908,0.00
20171219,0.000503,0.000585,0.000331,0.000372,12544,58126,0.00
20171218,0.000382,0.000670,0.000224,0.000503,38269,44090,0.00
20171217,0.000417,0.000756,0.000191,0.000381,122599,48107,0.00
20171216,0.000341,0.000462,0.000200,0.000416,2088,39417,0.00
20171215,0.000330,0.000359,0.000330,0.000341,92,38086,0.00
20171214,0.000329,0.000490,0.000211,0.000329,1295,37985,0.00
20171213,0.000552,0.000562,0.000328,0.000330,248,63810,0.00
20171212,0.000515,0.000590,0.000458,0.000552,123,59540,0.00
20171211,0.000310,0.000528,0.000309,0.000514,410,35819,0.00
20171210,0.000458,0.000471,0.000279,0.000312,1712,52946,0.00
20171209,0.000498,0.000505,0.000411,0.000457,442,57521,0.00
20171208,0.000531,0.000559,0.000384,0.000498,739,61328,0.00
20171207,0.000523,0.000623,0.000403,0.000530,1355,60411,0.00
20171206,0.000553,0.000650,0.000428,0.000523,340,63847,0.00
20171205,0.000485,0.000684,0.000483,0.000554,464,56072,0.00
20171204,0.000450,0.000576,0.000343,0.000499,464,52007,0.00
20171203,0.000548,0.000670,0.000340,0.000449,1665,63351,0.00
20171202,0.000549,0.000772,0.000543,0.000548,136,63393,0.00
20171201,0.000485,0.000741,0.000446,0.000549,91,56013,0.00
20171130,0.000682,0.000744,0.000458,0.000487,163,78790,0.00
20171129,0.000683,0.000764,0.000431,0.000672,163,78898,0.00
20171128,0.000481,0.000773,0.000479,0.000683,819,55597,0.00
20171127,0.000555,0.000580,0.000387,0.000480,541,64080,0.00
20171126,0.000436,0.000570,0.000435,0.000555,695,50353,0.00
20171125,0.000359,0.000521,0.000336,0.000436,662,41419,0.00
20171124,0.000380,0.000393,0.000287,0.000360,39,43893,0.00
20171123,0.000358,0.000383,0.000248,0.000381,189,41323,0.00
20171122,0.000401,0.000405,0.000249,0.000361,84,46354,0.00
20171121,0.000327,0.000410,0.000261,0.000400,74,37768,0.00
20171120,0.000340,0.000401,0.000327,0.000327,74,39323,0.00
20171119,0.000405,0.000405,0.000254,0.000341,131,46735,0.00
20171118,0.000241,0.000419,0.000182,0.000405,770,27852,0.00
20171117,0.000395,0.000437,0.000161,0.000242,1653,45600,0.00
20171116,0.000389,0.000460,0.000306,0.000396,163,44925,0.00
20171115,0.000397,0.000435,0.000346,0.000387,53,45833,0.00
20171114,0.000516,0.000525,0.000279,0.000397,295,59629,0.00
20171113,0.000464,0.000595,0.000447,0.000515,609,53592,0.00
20171112,0.000477,0.000553,0.000351,0.000463,259,55101,0.00
20171111,0.000415,0.000487,0.000393,0.000477,116,47886,0.00
20171110,0.000456,0.000541,0.000387,0.000418,41,52622,0.00
20171109,0.000485,0.000589,0.000430,0.000454,72,55996,0.00
20171108,0.000496,0.000517,0.000431,0.000486,160,57323,0.00
20171107,0.000448,0.000498,0.000360,0.000498,257,51762,0.00
20171106,0.000455,0.000557,0.000438,0.000449,21,52575,0.00
20171105,0.000516,0.000518,0.000450,0.000454,69,59566,0.00
20171104,0.000570,0.000576,0.000516,0.000517,95,65878,0.00
20171103,0.000531,0.000624,0.000495,0.000571,125,61304,0.00
20171102,0.000649,0.000675,0.000511,0.000531,440,74939,0.00
20171101,0.000530,0.000649,0.000516,0.000648,273,61228,0.00
20171031,0.000601,0.000639,0.000506,0.000531,146,69471,0.00
20171030,0.000608,0.000664,0.000573,0.000604,12,70193,0.00
20171029,0.000515,0.000656,0.000513,0.000616,13,59465,0.00
20171028,0.000455,0.000526,0.000455,0.000516,35,52563,0.00
20171027,0.000533,0.000533,0.000454,0.000454,41,61506,0.00
20171026,0.000570,0.000635,0.000517,0.000533,394,65810,0.00
20171025,0.000541,0.000571,0.000484,0.000570,318,62481,0.00
20171024,0.000609,0.000688,0.000522,0.000541,37,70395,0.00
20171023,0.000647,0.000841,0.000540,0.000611,369,74747,0.00
20171022,0.000544,0.000650,0.000458,0.000649,1171,62821,0.00
20171021,0.000540,0.000649,0.000537,0.000543,289,62423,0.00
20171020,0.000481,0.000606,0.000478,0.000574,1538,55527,0.00
20171019,0.000488,0.000554,0.000477,0.000481,94,56403,0.00
20171018,0.000494,0.000494,0.000383,0.000488,105,57076,0.00
20171017,0.000411,0.000514,0.000398,0.000494,120,47415,0.00
20171016,0.000629,0.000633,0.000405,0.000410,36,72679,0.00
20171015,0.000560,0.000636,0.000499,0.000629,199,64719,0.00
20171014,0.000518,0.000560,0.000402,0.000559,540,59869,0.00
20171013,0.000490,0.000559,0.000487,0.000518,921,56552,0.00
20171012,0.000506,0.000560,0.000476,0.000488,762,58393,0.00
20171011,0.000387,0.000505,0.000384,0.000505,42,44698,0.00
20171010,0.000492,0.000540,0.000385,0.000387,484,56772,0.00
20171009,0.000578,0.000578,0.000459,0.000492,1205,66764,0.00
20171008,0.000573,0.000624,0.000506,0.000578,147,66148,0.00
20171007,0.000534,0.000642,0.000488,0.000575,318,61696,0.00
20171006,0.000519,0.000563,0.000514,0.000524,42,59916,0.00
20171005,0.000589,0.000724,0.000467,0.000519,3053,68025,0.00
20171004,0.000561,0.001266,0.000426,0.000547,6410,64802,0.00
20171003,0.000430,0.000560,0.000422,0.000560,288,49610,0.00
20171002,0.000491,0.000497,0.000415,0.000430,120,56754,0.00
20171001,0.000520,0.000542,0.000455,0.000492,167,60045,0.00
20170930,0.000636,0.000636,0.000435,0.000520,234,73460,0.00
20170929,0.000475,0.000636,0.000397,0.000636,272,54896,0.00
20170928,0.000465,0.000493,0.000440,0.000476,425,53750,0.00
20170927,0.000431,0.000528,0.000425,0.000465,431,49770,0.00
20170926,0.000479,0.000839,0.000427,0.000432,389,55306,0.00
20170925,0.000407,0.001289,0.000407,0.000478,175,47017,0.00
20170924,0.000455,0.000471,0.000406,0.000407,196,52558,0.00
20170923,0.000398,0.000476,0.000376,0.000455,724,45943,0.00
20170922,0.000481,0.000619,0.000399,0.000399,1141,55516,0.00
20170921,0.000542,0.000843,0.000412,0.000481,9705,62593,0.00
20170920,0.000471,0.001164,0.000441,0.000545,3398,54405,0.00
20170919,0.000666,0.000678,0.000430,0.000472,288,76888,0.00
20170918,0.000427,0.000669,0.000427,0.000664,79,49269,0.00
20170917,0.000443,0.000489,0.000361,0.000427,53,51205,0.00
20170916,0.000506,0.000542,0.000365,0.000443,148,58490,0.00
20170915,0.000374,0.000545,0.000341,0.000507,87,43180,0.00
20170914,0.000627,0.000653,0.000371,0.000371,354,72409,0.00
20170913,0.000638,0.000665,0.000550,0.000625,44,73720,0.00
20170912,0.000553,0.000694,0.000523,0.000641,195,63929,0.00
20170911,0.000602,0.000670,0.000549,0.000553,23,69480,0.00
20170910,0.000678,0.000773,0.000601,0.000603,116,78321,0.00
20170909,0.000602,0.000801,0.000586,0.000680,138,69515,0.00
20170908,0.000782,0.000809,0.000541,0.000600,311,90284,0.00
20170907,0.000471,0.000882,0.000445,0.000767,1490,54348,0.00
20170906,0.000456,0.000553,0.000428,0.000471,53,52703,0.00
20170905,0.000471,0.000559,0.000314,0.000456,183,54399,0.00
20170904,0.000597,0.000601,0.000446,0.000469,183,68924,0.00
20170903,0.000605,0.000635,0.000497,0.000597,167,69841,0.00
20170902,0.000578,0.000649,0.000441,0.000605,146,66734,0.00
20170901,0.000537,0.000644,0.000516,0.000577,95,62061,0.00
20170831,0.000572,0.000720,0.000532,0.000538,161,66114,0.00
20170830,0.000559,0.000610,0.000498,0.000572,41,64617,0.00
20170829,0.000539,0.000652,0.000470,0.000560,376,62220,0.00
20170828,0.000576,0.000612,0.000471,0.000548,173,66500,0.00
20170827,0.000616,0.000676,0.000508,0.000611,124,71129,0.00
20170826,0.000710,0.000710,0.000522,0.000645,392,81957,0.00
20170825,0.000687,0.000711,0.000594,0.000708,122,79326,0.00
20170824,0.000622,0.001548,0.000575,0.000688,1609,71883,0.00
20170823,0.000658,0.000704,0.000604,0.000622,31,76056,0.00
20170822,0.000696,0.000791,0.000630,0.000660,16,80332,0.00
20170821,0.000632,0.000703,0.000628,0.000694,16,73021,0.00
20170820,0.000777,0.000777,0.000616,0.000635,50,89795,0.00
20170819,0.000726,0.000862,0.000658,0.000781,82,83866,0.00
20170818,0.000823,0.000893,0.000700,0.000727,22,95070,0.00
20170817,0.000824,0.000940,0.000758,0.000826,277,95125,0.00
20170816,0.000719,0.000899,0.000711,0.000824,81,82990,0.00
20170815,0.000695,0.000725,0.000669,0.000718,74,80329,0.00
20170814,0.000721,0.000749,0.000683,0.000694,21,83308,0.00
20170813,0.000663,0.000845,0.000663,0.000721,444,76575,0.00
20170812,0.000720,0.000797,0.000618,0.000664,402,83199,0.00
20170811,0.000664,0.000722,0.000570,0.000721,169,76688,0.00
20170810,0.000693,0.000703,0.000578,0.000664,185,79989,0.00
20170809,0.000604,0.000697,0.000452,0.000692,558,69727,0.00
20170808,0.000657,0.000737,0.000586,0.000604,185,75849,0.00
20170807,0.000616,0.000733,0.000579,0.000656,600,71182,0.00
20170806,0.000793,0.000803,0.000607,0.000617,747,91592,0.00
20170805,0.000559,0.000793,0.000559,0.000793,543,64621,0.00
20170804,0.000613,0.000632,0.000534,0.000560,57,70792,0.00
20170803,0.000580,0.000616,0.000530,0.000613,14,66959,0.00
20170802,0.000661,0.000674,0.000556,0.000579,282,76377,0.00
20170801,0.000700,0.000716,0.000524,0.000661,72,80793,0.00
