date,open,high,low,close,volume,marketcap,average
20180110,46.10,53.33,44.40,53.33,236,79666,48.86
20180109,45.29,48.71,45.14,46.04,83,78256,46.92
20180108,50.11,50.29,43.95,45.41,62,86585,47.12
20180107,49.60,51.54,34.00,50.18,421,85715,42.77
20180106,50.92,51.26,31.13,49.64,3328,87993,41.20
20180105,28.69,51.31,28.22,50.88,3737,49573,39.77
20180104,24.04,35.85,23.90,28.68,2337,41537,29.88
20180103,19.66,23.95,14.87,23.91,413,33978,19.41
20180102,16.60,20.15,16.03,19.73,697,28689,18.09
20180101,17.47,21.66,9.61,16.61,604,30187,15.63
20171231,15.89,17.80,15.73,17.40,17,27453,16.77
20171230,18.12,18.13,8.55,16.06,112,31306,13.34
20171229,12.86,18.35,10.09,18.16,459,22219,14.22
20171228,10.72,12.73,9.52,12.73,92,18514,11.12
20171227,10.93,12.63,10.23,10.74,14,18880,11.43
20171226,11.12,12.89,10.84,10.92,34,19214,11.87
20171225,8.13,11.29,7.66,11.13,134,14049,9.47
20171224,8.43,9.76,7.33,8.05,132,14559,8.54
20171223,9.22,10.47,8.30,8.34,2,15930,9.39
20171222,9.27,9.91,6.75,9.13,83,16016,8.33
20171221,9.60,11.64,8.94,9.24,70,16583,10.29
20171220,12.16,12.16,9.18,9.57,120,21002,10.67
20171219,13.14,13.19,11.77,12.17,19,22708,12.48
20171218,13.14,13.26,12.55,13.13,11,22702,12.91
20171217,11.34,13.55,11.12,13.10,69,19594,12.34
20171216,10.28,11.43,10.15,11.34,5,17753,10.79
20171215,11.44,12.46,10.15,10.26,150,19757,11.30
20171214,11.30,11.77,9.44,11.42,67,19519,10.61
20171213,11.92,12.08,11.00,11.34,8,20592,11.54
20171212,11.66,12.25,11.39,11.91,92,20139,11.82
20171211,10.52,12.12,9.36,11.62,72,18169,10.74
20171210,8.72,10.94,8.43,10.59,59,15066,9.68
20171209,9.43,9.57,7.86,8.69,101,16294,8.71
20171208,10.38,11.76,8.17,9.44,118,17925,9.96
20171207,9.54,10.35,8.46,10.35,13,16470,9.41
20171206,6.79,9.57,6.79,9.55,12,11736,8.18
20171205,9.31,9.34,6.69,6.81,5,16074,8.02
20171204,10.01,10.32,9.21,9.29,66,17293,9.77
20171203,9.09,10.54,9.03,9.98,13,15705,9.79
20171202,9.64,9.88,8.94,9.08,2,16649,9.41
20171201,8.89,9.65,8.42,9.65,41,15361,9.04
20171130,8.36,9.09,8.01,8.94,2,14431,8.55
20171129,8.25,9.72,7.73,8.23,2,14240,8.73
20171128,8.85,8.89,8.15,8.25,48,15287,8.52
20171127,7.73,8.08,7.73,7.89,2,13358,7.91
20171126,7.87,8.13,7.41,7.73,81,13599,7.77
20171125,7.74,7.88,7.69,7.88,63,13361,7.79
20171124,7.24,7.51,7.10,7.36,35,12497,7.30
20171123,9.84,9.85,7.25,7.25,40,16998,8.55
20171120,9.93,10.20,9.82,10.13,242,17156,10.01
20171119,9.71,10.02,9.55,9.94,629,16776,9.79
20171118,6.30,9.81,6.11,9.73,372,10885,7.96
20171117,6.36,9.90,6.24,6.33,48,10986,8.07
20171116,5.84,9.12,5.80,6.37,97,10089,7.46
20171115,8.26,8.53,5.51,5.81,80,14271,7.02
20171114,8.11,8.30,8.07,8.26,220,13997,8.19
20171113,9.36,10.72,9.28,10.28,17,16157,10.00
20171112,7.84,10.26,7.62,9.34,197,13530,8.94
20171111,8.10,8.39,7.68,7.84,24,13983,8.04
20171110,13.39,13.77,7.95,8.13,17,23117,10.86
20171109,7.39,13.65,7.10,13.35,348,12753,10.38
20171108,8.90,9.30,4.14,7.39,52,15359,6.72
20171107,8.50,13.96,8.47,8.92,433,14669,11.21
20171106,9.02,9.06,8.48,8.51,22,15574,8.77
