date,open,high,low,close,volume,marketcap,average
20180110,0.047526,0.066890,0.043410,0.066890,3019,494992,0.06
20180109,0.038865,0.047463,0.038735,0.047463,335,404783,0.04
20180108,0.026076,0.039084,0.023603,0.038971,279,271586,0.03
20180107,0.034555,0.039162,0.025898,0.026112,705,359895,0.03
20180106,0.039573,0.039835,0.034484,0.034580,85,412160,0.04
20180105,0.030101,0.039813,0.029692,0.039541,43,313513,0.03
20180104,0.030422,0.036043,0.029449,0.030095,466,316848,0.03
20180103,0.028913,0.031173,0.028895,0.030256,54,301134,0.03
20180102,0.026868,0.029155,0.025940,0.029016,90,279835,0.03
20180101,0.027823,0.027823,0.025565,0.026870,15,289782,0.03
20171231,0.024793,0.028342,0.024547,0.027716,38,258228,0.03
20171230,0.029830,0.029840,0.020695,0.025064,30,310684,0.03
20171229,0.022943,0.030215,0.021991,0.029905,7,238954,0.03
20171228,0.030256,0.030357,0.022166,0.022708,24,315124,0.03
20171227,0.028032,0.031699,0.027809,0.030320,25,291955,0.03
20171226,0.027943,0.029486,0.025482,0.028011,18,291036,0.03
20171225,0.022398,0.031165,0.019990,0.027972,92,233283,0.03
20171224,0.023224,0.023224,0.019981,0.022168,6,241886,0.02
20171223,0.020822,0.024680,0.020530,0.022971,3,216870,0.02
20171222,0.024670,0.024913,0.017970,0.020628,81,256939,0.02
20171221,0.024230,0.027297,0.022266,0.024584,104,252365,0.02
20171220,0.026757,0.027086,0.023174,0.024167,164,278685,0.03
20171219,0.032710,0.032828,0.025898,0.026784,145,340686,0.03
20171218,0.028726,0.040973,0.027702,0.032683,46,299191,0.03
20171217,0.028241,0.034515,0.018088,0.028639,351,294139,0.03
20171216,0.037236,0.037415,0.023842,0.028237,3,387826,0.03
20171215,0.027830,0.037367,0.027824,0.037184,151,289855,0.03
20171214,0.022957,0.028215,0.022698,0.027788,402,239104,0.03
20171213,0.108348,0.110245,0.022868,0.023031,522,1128470,0.07
20171212,0.054531,0.109948,0.054019,0.108257,607,567951,0.08
20171211,0.027200,0.061657,0.027081,0.054356,2122,283297,0.04
20171210,0.025113,0.028055,0.022786,0.027398,623,261555,0.03
20171209,0.029137,0.030135,0.016747,0.025011,1316,303470,0.02
20171208,0.031749,0.037028,0.023082,0.029144,1124,330674,0.03
20171207,0.030086,0.037560,0.028156,0.029112,946,313353,0.03
20171206,0.027263,0.030152,0.023385,0.030138,157,283949,0.03
20171205,0.025187,0.027521,0.024836,0.027323,52,262328,0.03
20171204,0.026306,0.026711,0.023683,0.025138,479,273981,0.03
20171203,0.080713,0.082643,0.024027,0.026219,25,840642,0.05
20171202,0.037518,0.081562,0.036978,0.080635,78,390755,0.06
20171201,0.024632,0.046872,0.023319,0.037549,25,256544,0.04
20171130,0.020759,0.025989,0.019527,0.024754,42,216206,0.02
20171129,0.026517,0.026573,0.019205,0.020445,19,276187,0.02
20171128,0.021072,0.026656,0.020971,0.026544,9,219466,0.02
20171127,0.023325,0.024982,0.020506,0.021017,2,242936,0.02
20171126,0.022915,0.024130,0.019513,0.023321,94,238668,0.02
20171125,0.041228,0.041296,0.019505,0.022923,1274,429402,0.03
20171124,0.022338,0.044580,0.022260,0.041312,18,232654,0.03
20171123,0.021281,0.024112,0.021031,0.022128,124,221646,0.02
20171122,0.023125,0.024088,0.020419,0.022831,2901,240854,0.02
20171121,0.023991,0.024005,0.020452,0.023069,3388,249870,0.02
20171120,0.022850,0.025954,0.022523,0.023250,595,237991,0.02
20171119,0.021195,0.023871,0.021006,0.022861,390,220746,0.02
20171118,0.022785,0.025159,0.019785,0.021234,171,237310,0.02
20171117,0.022429,0.024472,0.021792,0.022872,1964,233605,0.02
20171116,0.020785,0.023613,0.020344,0.023082,399,216478,0.02
20171115,0.022597,0.024006,0.019915,0.020676,186,235350,0.02
20171114,0.017469,0.020460,0.015265,0.015380,149,181948,0.02
20171113,0.018200,0.022666,0.017266,0.017433,205,189553,0.02
20171112,0.019720,0.019950,0.017164,0.018173,2,205386,0.02
20171111,0.023097,0.023975,0.019318,0.019734,23,240566,0.02
20171110,0.025092,0.025850,0.022664,0.023180,36,261341,0.02
20171109,0.008184,0.029806,0.007988,0.025018,166,85233,0.02
20171108,0.022004,0.024251,0.008189,0.008192,120,229178,0.02
20171107,0.024194,0.025682,0.021674,0.022073,127,251983,0.02
20171106,0.023291,0.026250,0.022405,0.024233,31,242586,0.02
20171105,0.024995,0.027928,0.022983,0.023240,1481,260328,0.03
20171104,0.022051,0.028452,0.021546,0.025042,1169,229671,0.02
20171103,0.021648,0.023001,0.021407,0.022109,3,225468,0.02
20171102,0.020922,0.022856,0.020922,0.021676,39,217905,0.02
20171101,0.020427,0.022168,0.016634,0.020894,2423,212755,0.02
20171031,0.021041,0.021546,0.016339,0.016508,781,219144,0.02
20171030,0.021628,0.023945,0.020609,0.021068,520,225263,0.02
20171029,0.028238,0.030363,0.021039,0.022126,760,294102,0.03
20171028,0.027837,0.028552,0.027402,0.028276,4,289933,0.03
20171027,0.027668,0.028541,0.026804,0.027762,5,288169,0.03
20171026,0.028505,0.029636,0.026351,0.027662,17,296885,0.03
20171025,0.025162,0.028780,0.024545,0.028508,2467,262071,0.03
20171024,0.030738,0.030738,0.026374,0.027363,791,320142,0.03
20171023,0.032408,0.032631,0.028418,0.030805,3049,337543,0.03
20171022,0.033500,0.033794,0.028518,0.031623,1224,348906,0.03
20171021,0.033329,0.036723,0.032876,0.033489,52,347125,0.03
20171020,0.032801,0.034587,0.030467,0.033399,1269,341634,0.03
20171019,0.034235,0.035247,0.029697,0.032792,3804,356561,0.03
20171018,0.033338,0.034217,0.023877,0.034217,4832,347227,0.03
20171017,0.034155,0.034252,0.032717,0.033336,19,355728,0.03
20171016,0.035782,0.036203,0.033554,0.034149,42,372682,0.03
20171015,0.037195,0.040204,0.032856,0.035778,5191,387399,0.04
20171014,0.036692,0.039052,0.032970,0.034518,5781,382155,0.04
20171013,0.034809,0.042176,0.026157,0.037245,5435,362543,0.03
20171012,0.026310,0.049501,0.025375,0.036019,5251,274029,0.04
20171011,0.027197,0.027521,0.020672,0.025751,857,283262,0.02
20171010,0.027143,0.031492,0.027002,0.027201,932,282703,0.03
20171009,0.031661,0.031796,0.025867,0.027145,2199,329755,0.03
20171008,0.028883,0.031723,0.025061,0.031654,1661,300828,0.03
20171007,0.020251,0.031658,0.020219,0.029362,4113,210918,0.03
20171006,0.030258,0.033508,0.024399,0.026934,2304,315149,0.03
20171005,0.031070,0.033238,0.028215,0.030259,3058,323598,0.03
20171004,0.030822,0.031761,0.028223,0.031041,3618,321022,0.03
20171003,0.027355,0.031839,0.025024,0.030751,4307,284912,0.03
20171002,0.028191,0.032002,0.024135,0.026224,3209,293620,0.03
20171001,0.034309,0.034463,0.022928,0.028204,1190,357335,0.03
20170930,0.031387,0.034290,0.029951,0.034290,4303,326903,0.03
20170929,0.030357,0.033461,0.028430,0.031301,4561,316174,0.03
20170928,0.031767,0.040248,0.017154,0.028734,4590,330861,0.03
20170927,0.027691,0.033587,0.025928,0.031934,5734,288405,0.03
20170926,0.034072,0.034117,0.016159,0.029895,5474,354871,0.03
20170925,0.030658,0.034435,0.030658,0.033430,6263,319311,0.03
20170924,0.034287,0.034287,0.030576,0.031704,2002,357109,0.03
20170923,0.032840,0.035160,0.030456,0.033196,3175,342041,0.03
20170922,0.030426,0.034693,0.030399,0.032025,3732,316894,0.03
20170921,0.034656,0.038476,0.030229,0.030461,50,360947,0.03
20170920,0.037566,0.038831,0.034745,0.034827,122,391260,0.04
20170919,0.038528,0.038854,0.033437,0.037616,4720,401278,0.04
20170918,0.036288,0.039650,0.033536,0.038435,3320,377949,0.04
20170917,0.033356,0.037312,0.031643,0.036360,2,347407,0.03
20170916,0.035535,0.037179,0.032668,0.033378,9,370107,0.03
20170915,0.030997,0.036638,0.028557,0.035628,5,322846,0.03
20170914,0.036290,0.036774,0.030758,0.030758,7,377967,0.03
20170913,0.035176,0.038445,0.033626,0.036292,2417,366365,0.04
20170912,0.039566,0.041239,0.033567,0.035976,3179,412089,0.04
20170911,0.036562,0.040069,0.036303,0.039528,17,380801,0.04
20170910,0.043617,0.043617,0.036509,0.036624,3,454279,0.04
20170909,0.036683,0.043818,0.029349,0.043729,26,382062,0.04
20170908,0.036574,0.041639,0.035124,0.036612,2544,380926,0.04
20170907,0.036153,0.039333,0.035456,0.036566,3992,376546,0.04
20170906,0.035933,0.039278,0.034707,0.037187,3632,374248,0.04
20170905,0.037039,0.037448,0.031739,0.035892,4803,385775,0.03
20170904,0.040555,0.040679,0.033442,0.036848,6569,422389,0.04
20170903,0.041047,0.042407,0.034662,0.040126,5519,427515,0.04
20170902,0.044107,0.044641,0.036824,0.041021,561,459390,0.04
20170901,0.035617,0.044075,0.035208,0.044053,5277,370963,0.04
20170831,0.041162,0.042582,0.036917,0.038834,3322,428712,0.04
20170830,0.039371,0.041335,0.038184,0.041234,440,410059,0.04
20170829,0.038359,0.041278,0.038179,0.039424,2108,399515,0.04
20170828,0.041565,0.041565,0.037374,0.039432,4387,432910,0.04
20170827,0.036821,0.041898,0.036616,0.041609,1,383502,0.04
20170826,0.038468,0.040297,0.034631,0.036830,372,400651,0.04
20170825,0.038139,0.039923,0.036695,0.038394,6464,397232,0.04
20170824,0.037054,0.039375,0.034550,0.039195,5693,385932,0.04
20170823,0.038562,0.039152,0.026317,0.036423,2247,401634,0.03
20170822,0.038319,0.039116,0.034699,0.038641,1357,399101,0.04
20170821,0.039106,0.040149,0.037098,0.038190,2227,407297,0.04
20170820,0.037144,0.040650,0.036604,0.039255,1872,386863,0.04
20170819,0.039421,0.040148,0.032561,0.038066,5444,410580,0.04
20170818,0.041268,0.043280,0.037074,0.039455,2186,429814,0.04
20170817,0.042566,0.044416,0.040878,0.041394,127,443340,0.04
20170816,0.040051,0.042613,0.022572,0.042606,70,417140,0.03
20170815,0.040430,0.043241,0.035640,0.040009,2384,421088,0.04
20170814,0.035057,0.042374,0.031026,0.040847,5978,365125,0.04
20170813,0.032616,0.040705,0.032484,0.037562,6595,339706,0.04
20170812,0.033110,0.037621,0.030166,0.034444,5273,344851,0.03
