date,open,high,low,close,volume,marketcap,average
20180110,0.001022,0.001039,0.000684,0.000750,2926,,0.00
20180109,0.000904,0.001079,0.000752,0.001021,1893,,0.00
20180108,0.000651,0.000910,0.000629,0.000906,4987,,0.00
20180107,0.000688,0.000688,0.000332,0.000652,1505,,0.00
20180106,0.000679,0.000689,0.000494,0.000689,798,,0.00
20180105,0.000304,0.000685,0.000299,0.000679,1530,,0.00
20180104,0.000456,0.000464,0.000289,0.000455,584,,0.00
20180103,0.000445,0.000464,0.000302,0.000454,990,,0.00
20180102,0.000270,0.000456,0.000261,0.000447,1023,,0.00
20180101,0.000140,0.000280,0.000135,0.000270,59,,0.00
20171231,0.000254,0.000285,0.000128,0.000139,626,,0.00
20171230,0.000290,0.000290,0.000122,0.000257,89,,0.00
20171229,0.000289,0.000303,0.000144,0.000291,421,,0.00
20171228,0.000155,0.000291,0.000138,0.000286,25,,0.00
20171227,0.000317,0.000331,0.000147,0.000155,401,,0.00
20171226,0.000279,0.000322,0.000150,0.000317,927,,0.00
20171225,0.000282,0.000290,0.000265,0.000279,74,,0.00
20171224,0.000292,0.000292,0.000251,0.000279,1552,,0.00
20171223,0.000276,0.000313,0.000136,0.000289,554,,0.00
20171222,0.000157,0.000297,0.000134,0.000273,27,,0.00
20171221,0.000165,0.000341,0.000152,0.000157,21,,0.00
20171220,0.000176,0.000178,0.000158,0.000164,21,,0.00
20171219,0.000382,0.000384,0.000176,0.000176,197,,0.00
20171218,0.000191,0.000386,0.000183,0.000382,78,,0.00
20171217,0.000198,0.000198,0.000189,0.000191,12,,0.00
20171216,0.000176,0.000196,0.000174,0.000195,38,,0.00
20171215,0.000166,0.000181,0.000166,0.000176,38,,0.00
20171214,0.000164,0.000171,0.000162,0.000166,109,,0.00
20171213,0.000173,0.000175,0.000159,0.000164,134,,0.00
20171212,0.000168,0.000348,0.000164,0.000173,340,,0.00
20171211,0.000152,0.000175,0.000152,0.000168,218,,0.00
20171210,0.000150,0.000313,0.000132,0.000154,1068,,0.00
20171209,0.000163,0.000165,0.000135,0.000150,710,,0.00
20171208,0.000174,0.000176,0.000141,0.000163,8,,0.00
20171207,0.000137,0.000173,0.000136,0.000173,357,,0.00
20171206,0.000234,0.000257,0.000117,0.000138,153,,0.00
20171205,0.000233,0.000238,0.000230,0.000235,322,,0.00
20171204,0.000337,0.000348,0.000223,0.000233,13,,0.00
20171203,0.000219,0.000336,0.000212,0.000336,189,,0.00
20171202,0.000218,0.000224,0.000215,0.000218,47,,0.00
20171201,0.000200,0.000219,0.000189,0.000218,7,,0.00
20171130,0.000295,0.000321,0.000184,0.000201,1,,0.00
20171129,0.000397,0.000417,0.000273,0.000290,294,,0.00
20171128,0.000293,0.000399,0.000193,0.000398,270,,0.00
20171127,0.000280,0.000292,0.000190,0.000292,171,,0.00
20171126,0.000175,0.000381,0.000175,0.000279,265,,0.00
20171125,0.000164,0.000258,0.000163,0.000175,78,,0.00
20171124,0.000161,0.000167,0.000158,0.000165,34,,0.00
20171123,0.000247,0.000248,0.000161,0.000161,1065,,0.00
20171122,0.000243,0.000249,0.000242,0.000247,924,,0.00
20171121,0.000247,0.000251,0.000234,0.000243,1618,,0.00
20171120,0.000322,0.000330,0.000241,0.000247,1497,,0.00
20171119,0.000234,0.000389,0.000231,0.000322,77946,,0.00
20171118,0.000231,0.000389,0.000224,0.000234,87600,,0.00
20171117,0.000235,0.000319,0.000227,0.000231,240,,0.00
20171116,0.000219,0.000301,0.000214,0.000236,240,,0.00
20171115,0.000264,0.000366,0.000216,0.000218,476,,0.00
20171114,0.000327,0.000336,0.000257,0.000264,661,,0.00
20171113,0.000235,0.000393,0.000192,0.000326,11754,,0.00
20171112,0.000254,0.000322,0.000221,0.000234,194,,0.00
20171111,0.000394,0.000399,0.000249,0.000255,2437,,0.00
20171110,0.000285,0.000440,0.000261,0.000396,1777,,0.00
20171109,0.000224,0.000568,0.000219,0.000284,11684,,0.00
20171108,0.000285,0.000314,0.000217,0.000224,393,,0.00
20171107,0.000278,0.000361,0.000278,0.000286,740,,0.00
20171106,0.000296,0.000428,0.000218,0.000279,918,,0.00
20171105,0.000148,0.000304,0.000146,0.000295,100,,0.00
20171104,0.000215,0.000218,0.000144,0.000148,52,,0.00
20171103,0.000281,0.000282,0.000143,0.000216,319,,0.00
20171102,0.000269,0.000366,0.000206,0.000281,361,,0.00
20171101,0.000387,0.000394,0.000259,0.000269,4181,,0.00
20171031,0.000429,0.000512,0.000366,0.000387,1333,,0.00
20171030,0.000493,0.000494,0.000362,0.000430,57942,,0.00
20171029,0.000458,0.000538,0.000343,0.000495,68907,,0.00
20171028,0.000288,0.000803,0.000227,0.000459,138056,,0.00
20171027,0.000235,0.000347,0.000232,0.000287,695,,0.00
20171026,0.000287,0.000419,0.000228,0.000235,1544,,0.00
20171025,0.000221,0.000287,0.000215,0.000287,513,,0.00
20171024,0.000293,0.000403,0.000219,0.000221,632,,0.00
20171023,0.000598,0.000655,0.000237,0.000294,4817,,0.00
20171022,0.000418,0.000660,0.000416,0.000599,16264,,0.00
