date,open,high,low,close,volume,marketcap,average
20180110,0.732425,0.837972,0.665908,0.778177,204253,16714800,0.75
20180109,0.646928,0.840512,0.646928,0.773055,246859,14754700,0.74
20180108,0.821907,0.867045,0.591745,0.693662,390655,18734700,0.73
20180107,0.387410,0.873345,0.364655,0.870109,793018,8826270,0.62
20180106,0.311483,0.413032,0.295280,0.387730,87898,7092210,0.35
20180105,0.336103,0.350226,0.277049,0.309128,89216,7648120,0.31
20180104,0.340484,0.361386,0.301432,0.327430,101071,7743060,0.33
20180103,0.334707,0.378514,0.304001,0.338668,121655,7608190,0.34
20180102,0.303596,0.349827,0.282879,0.335465,157103,6897630,0.32
20180101,0.299540,0.321763,0.278183,0.303643,50856,6801160,0.30
20171231,0.312390,0.344226,0.273096,0.298520,74436,7089040,0.31
20171230,0.328556,0.410159,0.290017,0.315739,140769,7451680,0.35
20171229,0.211738,0.442302,0.206523,0.324297,329330,4799660,0.32
20171228,0.195695,0.228705,0.175443,0.211523,79908,4433150,0.20
20171227,0.179511,0.207648,0.171959,0.196134,70588,4064320,0.19
20171226,0.173178,0.191507,0.169250,0.179405,67905,3918280,0.18
20171225,0.163988,0.182228,0.162540,0.173353,39595,3708290,0.17
20171224,0.178782,0.185625,0.151008,0.162340,39046,4040600,0.17
20171223,0.159082,0.213020,0.156849,0.176788,36393,3593150,0.18
20171222,0.180715,0.183833,0.132485,0.157577,46310,4079200,0.16
20171221,0.203151,0.216132,0.166034,0.180108,91901,4583440,0.19
20171220,0.208263,0.208263,0.178742,0.202624,117987,4696540,0.19
20171219,0.227873,0.228687,0.186922,0.208448,48307,5136020,0.21
20171218,0.227348,0.227696,0.194867,0.227696,76737,5120890,0.21
20171217,0.267259,0.277498,0.209069,0.226696,47959,6016530,0.24
20171216,0.217899,0.298695,0.200563,0.266229,48872,4902810,0.25
20171215,0.191689,0.225116,0.188757,0.217654,41312,4310760,0.21
20171214,0.213079,0.225039,0.189065,0.193790,72463,4790010,0.21
20171213,0.197590,0.240955,0.196725,0.213609,70981,4440210,0.22
20171212,0.237290,0.240167,0.195363,0.197624,60765,5330000,0.22
20171211,0.193760,0.256282,0.184591,0.236530,80162,4350300,0.22
20171210,0.217810,0.221524,0.138392,0.200524,47204,4887160,0.18
20171209,0.227443,0.294054,0.156300,0.217174,77102,5100960,0.23
20171208,0.210738,0.240382,0.172083,0.227832,55056,4723460,0.21
20171207,0.216034,0.263868,0.152994,0.225533,69390,4839870,0.21
20171206,0.222626,0.250323,0.208578,0.216407,79660,4985150,0.23
20171205,0.217266,0.262461,0.202863,0.223118,66178,4861980,0.23
20171204,0.221202,0.229392,0.198039,0.216840,37529,4947390,0.21
20171203,0.216402,0.245280,0.197768,0.220400,49890,4837170,0.22
20171202,0.214825,0.240976,0.212785,0.216230,43012,4799360,0.23
20171201,0.186181,0.220228,0.175669,0.215079,27150,4157410,0.20
20171130,0.178660,0.210199,0.167561,0.188150,35585,3987040,0.19
20171129,0.177368,0.208339,0.153204,0.175959,43725,3955830,0.18
20171128,0.195879,0.203001,0.177374,0.177542,41739,4366150,0.19
20171127,0.185050,0.221627,0.163762,0.195374,47110,4122740,0.19
20171126,0.194825,0.224947,0.173804,0.184999,28431,4338100,0.20
20171125,0.205062,0.220490,0.192667,0.194888,36899,4563410,0.21
20171124,0.214637,0.221586,0.198958,0.205479,26162,4773790,0.21
20171123,0.243529,0.270506,0.203650,0.214932,54783,5413030,0.24
20171122,0.210634,0.295032,0.199444,0.243586,103242,4678880,0.25
20171121,0.195273,0.214066,0.170504,0.208602,45859,4335090,0.19
20171120,0.213005,0.221815,0.171109,0.195255,61191,4725850,0.20
20171119,0.210346,0.231159,0.203884,0.211393,44706,4663910,0.22
20171118,0.207635,0.227916,0.197413,0.210989,35374,4601050,0.21
20171117,0.265171,0.271114,0.198793,0.198793,102937,5872360,0.23
20171116,0.226611,0.273888,0.209562,0.265581,74292,5015280,0.24
20171115,0.289394,0.308036,0.208505,0.225362,200610,6400830,0.26
20171114,0.388042,0.415857,0.273262,0.280966,441641,8577420,0.34
20171113,0.208256,0.379428,0.208256,0.379428,368420,4600550,0.29
20171112,0.221638,0.235057,0.188297,0.207882,84401,4893670,0.21
