date,open,high,low,close,volume,marketcap,average
20180110,0.043813,0.062993,0.041067,0.062993,11,307435,0.05
20180109,0.039909,0.045404,0.039582,0.043756,137,280033,0.04
20180108,0.043806,0.043971,0.037744,0.040018,0,307381,0.04
20180107,0.034749,0.044427,0.032098,0.043868,0,243825,0.04
20180106,0.045857,0.046161,0.032943,0.034775,161,321761,0.04
20180105,0.043722,0.046852,0.036408,0.045820,9,306777,0.04
20180104,0.045480,0.046212,0.037786,0.043713,142,319113,0.04
20180103,0.044507,0.046386,0.043869,0.045233,27,312283,0.05
20180102,0.043204,0.045601,0.041178,0.044666,12,303139,0.04
20180101,0.044740,0.044771,0.041317,0.043208,344,313912,0.04
20171231,0.053401,0.056563,0.042432,0.044568,370,374673,0.05
20171230,0.060882,0.060903,0.050398,0.053984,133,427161,0.06
20171229,0.060619,0.063376,0.059190,0.061036,3,425309,0.06
20171228,0.065167,0.065443,0.050038,0.059998,1,457213,0.06
20171227,0.079185,0.081139,0.062194,0.065304,9,555559,0.07
20171226,0.072434,0.080698,0.072138,0.079128,2,508191,0.08
20171225,0.072114,0.086808,0.067914,0.072508,38,505937,0.08
20171224,0.091064,0.091064,0.063501,0.071372,40,638885,0.08
20171223,0.062605,0.138204,0.029911,0.090070,49,439218,0.08
20171222,0.059709,0.067309,0.025181,0.062019,276,418899,0.05
20171221,0.050274,0.060203,0.030900,0.059503,49,352699,0.05
20171220,0.052856,0.069103,0.048081,0.050143,317,370811,0.06
20171219,0.072707,0.072968,0.051154,0.052908,1424,510070,0.06
20171218,0.076336,0.076336,0.061342,0.072646,270,535522,0.07
20171217,0.077907,0.079329,0.072839,0.076106,35,546532,0.08
20171216,0.070587,0.078512,0.069696,0.077897,68,495179,0.07
20171215,0.074644,0.081838,0.069725,0.070488,102,523633,0.08
20171214,0.080895,0.083055,0.073730,0.074532,527,567474,0.08
20171213,0.077742,0.085861,0.074097,0.081155,26,545350,0.08
20171212,0.080816,0.092670,0.076757,0.077677,450,566905,0.08
20171211,0.073186,0.084020,0.072865,0.080557,140,513372,0.08
20171210,0.075188,0.085364,0.066191,0.073718,42,527410,0.08
20171209,0.074814,0.079180,0.067165,0.074884,65,524779,0.07
20171208,0.080182,0.081378,0.064777,0.074889,116,562426,0.07
20171207,0.048488,0.083198,0.047867,0.079994,7480,340105,0.07
20171206,0.075821,0.076653,0.043294,0.048571,173,531820,0.06
20171205,0.081594,0.083181,0.035119,0.075990,339,572302,0.06
20171204,0.056209,0.081434,0.055951,0.081434,77,394244,0.07
20171203,0.085267,0.091560,0.052941,0.056023,116,598046,0.07
20171202,0.076190,0.086165,0.075095,0.085186,32,534374,0.08
20171201,0.079945,0.080830,0.067542,0.076255,222,560694,0.07
20171130,0.078629,0.083854,0.067491,0.080343,46,551457,0.08
20171129,0.084388,0.099518,0.072744,0.077440,18,591830,0.09
20171128,0.076092,0.084827,0.075357,0.084472,376,533644,0.08
20171127,0.082927,0.086389,0.067403,0.075895,389,581575,0.08
20171126,0.075655,0.084689,0.069836,0.082912,1291,530569,0.08
20171125,0.073890,0.078563,0.073472,0.075681,14,518179,0.08
20171124,0.068476,0.082748,0.067170,0.074039,141,480204,0.07
20171123,0.074027,0.082383,0.068569,0.068569,854,519124,0.08
20171122,0.072215,0.086190,0.071587,0.074050,67,506415,0.08
20171121,0.073349,0.082093,0.069386,0.072040,88,514354,0.08
20171120,0.086466,0.088473,0.073111,0.073335,78,606331,0.08
20171119,0.070082,0.087200,0.069268,0.086507,91,491431,0.08
20171118,0.069181,0.070753,0.067066,0.070212,200,485099,0.07
20171117,0.074524,0.086500,0.064471,0.069447,535,522560,0.08
20171116,0.079603,0.082119,0.073095,0.074647,637,558160,0.08
20171115,0.087141,0.091255,0.070815,0.079188,2005,610999,0.08
20171114,0.070468,0.087139,0.064587,0.087081,2290,494083,0.08
20171113,0.062935,0.072572,0.062445,0.070319,15,148619,0.07
