date,open,high,low,close,volume,marketcap,average
20180110,14.54,14.68,12.59,13.14,35351900,792632000,13.63
20180109,14.44,16.27,13.62,14.54,52787400,787175000,14.95
20180108,13.17,16.58,11.26,14.64,85218400,718074000,13.92
20180107,12.59,13.98,12.10,13.13,45933200,686038000,13.04
20180106,11.03,13.45,10.77,12.53,41980300,601296000,12.11
20180105,12.93,13.45,10.74,11.06,43428800,705070000,12.09
20180104,11.65,13.91,11.47,12.92,59457600,635369000,12.69
20180103,11.95,12.78,11.10,11.53,44618100,651912000,11.94
20180102,12.45,12.75,11.79,11.94,45439100,673909000,12.27
20180101,12.86,13.07,11.64,12.41,35137200,697227000,12.36
20171231,12.18,13.49,12.14,12.81,33189700,661143000,12.82
20171230,14.36,14.73,11.74,12.39,40654100,779372000,13.23
20171229,16.68,17.74,14.28,14.33,66210600,905906000,16.01
20171228,16.04,16.85,13.18,16.36,130469000,862960000,15.02
20171227,12.61,15.02,11.89,15.02,42588800,678343000,13.46
20171226,11.90,12.87,10.42,12.75,32470100,640325000,11.64
20171225,10.06,12.65,9.87,11.87,34627100,541472000,11.26
20171224,10.10,10.27,8.73,9.95,13424700,543720000,9.50
20171223,8.89,10.91,8.83,10.02,17854100,460273000,9.87
20171222,11.25,11.25,6.55,8.76,27288000,579611000,8.90
20171221,9.12,11.28,8.88,11.28,33123300,470384000,10.08
20171220,10.20,10.20,8.66,9.08,27937400,526042000,9.43
20171219,11.17,11.67,9.75,10.11,36828800,569346000,10.71
20171218,9.95,11.39,9.38,11.16,32649100,506984000,10.39
20171217,10.19,10.51,9.85,9.96,17546300,519983000,10.18
20171216,9.01,10.63,8.74,10.17,23375500,459718000,9.69
20171215,9.38,9.38,8.17,9.06,25707100,478509000,8.78
20171214,7.63,9.52,7.54,9.45,24991300,389285000,8.53
20171213,7.67,8.02,7.23,7.65,16650600,391145000,7.62
20171212,7.40,7.99,7.24,7.68,20261300,373749000,7.62
20171211,7.27,8.29,7.23,7.36,15579400,367340000,7.76
20171210,8.08,8.08,7.06,7.28,14546100,408553000,7.57
20171209,7.77,8.54,7.44,8.07,19052200,392636000,7.99
20171208,7.04,8.04,6.56,7.75,20075900,356246000,7.30
20171207,7.44,8.65,6.71,7.04,31185000,376578000,7.68
20171206,6.38,8.15,5.60,7.48,35772100,323762000,6.88
20171205,6.68,6.75,6.23,6.39,13171800,338931000,6.49
20171204,5.58,6.83,5.52,6.71,19911800,283357000,6.17
20171203,5.07,5.74,5.05,5.56,12708800,257036000,5.39
20171202,4.60,5.56,4.60,5.18,16700600,233160000,5.08
20171201,4.38,4.66,4.11,4.58,7879480,217661000,4.38
20171130,3.61,4.37,3.39,4.37,8971200,179775000,3.88
20171129,4.21,4.64,3.53,3.55,7243310,208328000,4.08
20171128,4.33,4.40,4.10,4.23,6433560,213329000,4.25
20171127,4.41,4.61,4.20,4.35,6660970,215699000,4.41
20171126,3.92,4.60,3.83,4.37,6857590,191937000,4.21
20171125,3.65,3.92,3.57,3.92,4452600,178604000,3.75
20171124,3.61,3.71,3.45,3.65,4521800,176742000,3.58
20171123,3.67,3.74,3.47,3.62,5002100,179844000,3.61
20171122,3.69,3.76,3.48,3.67,4335110,180485000,3.62
20171121,3.75,3.81,3.46,3.66,4021460,183684000,3.63
20171120,3.63,3.85,3.53,3.74,5253100,177773000,3.69
20171119,3.94,4.03,3.36,3.57,7020010,192781000,3.70
20171118,3.37,4.06,3.34,3.95,4922050,164922000,3.70
20171117,3.56,3.74,3.24,3.37,4069920,173996000,3.49
20171116,3.82,3.90,3.50,3.59,5030580,187189000,3.70
20171115,3.88,3.98,3.76,3.84,4302840,190015000,3.87
20171114,3.96,4.08,3.74,3.87,4635890,194348000,3.91
20171113,3.45,3.97,3.45,3.95,4445720,161456000,3.71
20171112,3.88,3.89,2.92,3.42,5216980,181196000,3.41
20171111,3.78,4.37,3.71,3.89,6157120,176728000,4.04
20171110,4.14,4.26,3.59,3.81,6291400,193321000,3.92
20171109,3.66,4.24,3.48,4.19,10186400,171178000,3.86
20171108,3.13,4.09,2.94,3.67,10930800,146252000,3.51
20171107,2.79,3.26,2.79,3.14,6463600,130316000,3.02
20171106,2.59,3.06,2.48,2.84,6400980,121071000,2.77
20171105,2.35,2.64,2.35,2.60,3216540,110083000,2.50
20171104,2.57,2.68,2.34,2.34,3843900,120223000,2.51
20171103,2.30,2.70,2.22,2.58,4608760,107618000,2.46
20171102,2.26,2.61,2.16,2.30,4052270,105729000,2.38
20171101,2.66,2.67,2.14,2.25,4220950,124172000,2.41
20171031,2.68,2.90,2.59,2.65,4393950,125514000,2.75
20171030,2.95,2.99,2.65,2.71,3316740,138111000,2.82
20171029,2.85,3.07,2.78,2.97,3768150,133098000,2.92
20171028,2.94,3.03,2.77,2.85,3545970,137541000,2.90
20171027,3.04,3.10,2.89,2.92,3240800,142242000,3.00
20171026,3.27,3.36,2.95,3.04,5668710,152880000,3.16
20171025,3.05,3.32,2.81,3.29,6644420,142405000,3.06
20171024,3.06,3.45,2.85,3.05,6991420,143132000,3.15
20171023,3.56,3.84,2.75,3.07,13532400,166425000,3.29
20171022,2.51,3.47,2.51,3.47,5401130,117315000,2.99
20171021,2.75,2.81,2.40,2.53,5154440,150237000,2.60
20171020,2.97,3.02,2.61,2.76,4634470,162640000,2.81
20171019,2.96,3.04,2.89,2.98,3695910,161803000,2.96
20171018,3.08,3.19,2.74,2.96,4956180,168367000,2.96
20171017,3.46,3.51,2.86,3.05,6084920,189382000,3.18
20171016,3.00,4.08,2.84,3.43,5613960,164118000,3.46
20171015,2.94,3.17,2.70,2.96,1371840,160713000,2.94
20171014,3.27,3.44,2.88,2.95,1515720,178682000,3.16
20171013,3.58,3.58,2.84,3.26,2599040,195851000,3.21
20171012,3.86,3.87,3.17,3.59,2160950,210884000,3.52
20171011,3.33,4.04,3.27,3.83,3229530,181908000,3.66
20171010,3.05,3.34,2.74,3.32,2384720,166755000,3.04
20171009,3.45,3.49,3.03,3.07,2942420,188748000,3.26
20171008,3.35,3.79,3.24,3.47,2501230,182975000,3.52
20171007,3.98,3.98,3.09,3.33,3388420,217867000,3.54
20171006,4.22,4.54,3.77,4.05,2282420,230475000,4.16
20171005,4.25,4.28,3.77,4.19,3646930,232177000,4.03
20171004,5.40,5.41,3.88,4.24,4136630,198035000,4.64
20171003,6.52,6.60,4.94,5.41,5546400,238819000,5.77
20171002,7.27,7.39,6.38,6.53,13543300,247626000,6.88
20171001,5.78,7.69,4.92,7.28,15741400,191963000,6.30
20170930,4.18,6.29,4.18,5.68,6410870,32679300,5.23
20170929,6.91,8.48,3.52,4.34,4174650,53970200,6.00
