date,open,high,low,close,volume,marketcap,average
20180110,93.60,93.63,76.39,88.34,735707,94520400,85.01
20180109,92.19,100.38,90.55,96.85,1186450,93095800,95.47
20180108,99.35,103.52,78.91,98.91,1193350,100325000,91.22
20180107,115.26,115.26,97.87,103.06,1327180,116387000,106.56
20180106,122.28,122.28,92.49,116.91,3054110,123482000,107.38
20180105,141.41,141.41,87.47,111.98,12395200,142797000,114.44
20180104,85.56,102.54,75.24,93.35,2435910,86398200,88.89
20180103,93.07,93.07,79.62,88.63,1494180,93976700,86.34
20180102,89.68,97.53,78.71,95.02,4788920,90559100,88.12
20180101,85.41,103.39,75.61,81.12,5964630,86246100,89.50
20171231,75.47,85.18,69.79,81.12,1110060,76211600,77.49
20171230,91.85,91.85,65.85,78.54,1717830,92745500,78.85
20171229,91.90,101.64,86.38,92.08,4437700,92794500,94.01
20171228,87.26,107.39,67.26,107.39,3551780,88109400,87.33
20171227,95.84,117.64,81.82,89.91,11133800,96778100,99.73
20171226,98.03,111.96,71.31,85.99,5215820,98983900,91.63
20171225,121.38,133.27,90.33,96.00,10949200,122561000,111.80
20171224,41.62,176.43,41.62,121.83,57597300,42026300,109.03
20171223,28.24,45.72,27.37,40.45,535162,28519100,36.55
20171222,34.79,35.00,21.98,27.98,165581,35124300,28.49
20171221,33.13,40.85,32.02,34.66,592970,33451100,36.44
20171220,33.48,37.52,29.55,33.04,558138,33805300,33.54
20171219,35.58,36.93,32.26,33.51,400934,35927200,34.59
20171218,33.58,35.55,31.84,35.55,309959,33905000,33.70
20171217,34.13,34.25,32.05,33.48,263729,34456700,33.15
20171216,32.57,34.58,31.29,34.12,137433,32883500,32.94
20171215,31.85,33.38,30.42,31.83,206471,32154800,31.90
20171214,32.35,33.94,30.90,31.96,255377,32664000,32.42
20171213,32.85,37.59,30.87,32.45,868013,33166000,34.23
20171212,31.09,36.14,29.50,33.16,908103,31393500,32.82
20171211,29.11,37.65,28.48,31.41,521781,29388600,33.06
20171210,30.23,31.11,25.81,29.32,127499,30518300,28.46
20171209,33.34,33.55,27.10,30.10,196852,33658900,30.32
20171208,38.64,38.64,28.48,33.37,1219590,38841200,33.56
20171207,24.86,45.88,21.75,45.88,3561070,24988500,33.81
20171206,21.79,32.11,20.85,25.44,2936510,21902400,26.48
20171205,21.79,23.90,20.35,21.84,414094,21904500,22.12
20171204,24.78,24.78,19.28,22.15,918918,24910000,22.03
20171203,17.57,19.63,15.93,19.63,170614,17659700,17.78
20171202,18.87,18.87,16.96,17.56,143849,18966700,17.91
20171201,18.19,22.37,15.83,18.89,801357,18280000,19.10
20171130,13.90,25.65,11.88,18.28,2078640,13966600,18.77
20171129,16.80,27.44,13.23,13.69,692604,16880800,20.34
20171128,16.95,17.70,16.43,16.80,67194,17038600,17.06
20171127,16.40,17.52,15.97,16.91,118790,16486900,16.75
20171126,15.25,16.99,15.09,16.40,228993,15327200,16.04
20171125,14.69,15.74,14.68,15.26,27587,14765600,15.21
20171124,15.16,15.75,13.86,14.72,150160,15235000,14.80
20171123,13.66,15.47,13.66,15.33,92846,13729100,14.57
20171122,12.96,14.71,12.87,13.66,44423,13024200,13.79
20171121,14.06,15.53,12.42,12.93,98556,14128400,13.97
20171120,13.77,14.29,13.61,14.06,21118,13840300,13.95
20171119,13.32,13.97,13.25,13.88,24241,13381600,13.61
20171118,13.31,13.65,13.06,13.34,44010,13378700,13.36
20171117,13.69,17.27,13.06,13.36,294094,13756500,15.16
20171116,13.41,13.97,12.79,13.71,25635,13474900,13.38
20171115,12.96,13.51,12.80,13.34,43620,13017700,13.16
20171114,13.05,13.60,12.25,12.95,112498,13109700,12.93
20171113,10.98,17.97,10.90,13.18,571738,11037000,14.43
20171112,12.69,12.69,10.59,10.97,23238,12751400,11.64
20171111,13.42,14.37,12.21,12.70,42074,13483700,13.29
20171110,15.84,16.22,13.22,13.71,52873,15911900,14.72
20171109,16.61,16.62,14.94,15.88,121031,16690300,15.78
20171108,14.13,18.31,13.72,16.48,95052,14199200,16.02
20171107,12.98,14.68,12.78,14.18,60909,13043500,13.73
20171106,13.82,13.82,12.35,12.73,46509,13889000,13.09
20171105,13.35,14.01,13.19,13.79,23661,13415600,13.60
20171104,14.49,14.75,13.21,13.38,46451,14561900,13.98
20171103,13.41,16.09,12.58,14.53,75492,13472600,14.34
20171102,14.16,15.19,11.55,13.43,79546,14229800,13.37
20171101,14.63,15.99,13.87,14.15,124354,14696700,14.93
20171031,16.64,18.07,14.29,14.64,205474,16716900,16.18
20171030,17.42,18.98,16.65,17.02,126994,17505000,17.81
20171029,20.33,21.70,17.20,17.53,218112,20428400,19.45
20171028,24.00,24.33,19.29,20.36,435391,24108200,21.81
20171027,24.87,35.32,22.51,23.71,2614070,24985600,28.91
20171026,15.60,45.52,14.96,26.30,4550220,15669100,30.24
20171025,15.36,16.65,13.87,16.20,72031,15430400,15.26
20171024,13.64,19.68,13.04,15.32,336274,13697200,16.36
20171023,13.47,18.12,12.40,13.67,19953,13533000,15.26
20171022,14.45,14.69,13.08,13.49,25285,14518500,13.88
20171021,14.43,15.26,13.49,14.45,9373,14493300,14.38
20171020,15.45,16.37,14.43,14.46,39820,15522200,15.40
20171019,14.92,17.94,14.78,15.45,70109,14984800,16.36
20171018,13.35,21.33,12.85,14.91,434359,13413000,17.09
20171017,13.33,20.99,12.70,13.35,339869,13387000,16.84
20171016,14.64,15.16,12.58,13.33,29970,14706200,13.87
20171015,17.41,18.10,14.08,14.64,15411,17482500,16.09
20171014,12.85,20.23,12.33,17.37,110947,12906800,16.28
20171013,14.26,15.16,12.19,12.85,6811,14324100,13.68
20171012,12.96,14.94,12.32,14.22,35823,13016000,13.63
20171011,11.81,13.50,11.54,12.95,24427,11861300,12.52
20171010,13.26,13.43,11.57,11.81,6709,13315100,12.50
20171009,13.81,14.12,13.20,13.26,17307,13868900,13.66
20171008,13.80,14.07,13.60,13.80,21247,13860900,13.84
20171007,14.82,14.83,13.57,13.84,10980,14885100,14.20
20171006,14.36,15.32,13.91,14.56,7491,14422400,14.62
20171005,14.34,14.50,13.80,14.36,6772,14396600,14.15
20171004,14.71,14.89,14.07,14.32,7160,14769000,14.48
20171003,15.37,15.81,14.24,14.66,11943,15435800,15.03
20171002,15.03,15.43,14.64,15.37,5019,15093200,15.04
20171001,15.21,15.49,14.81,15.04,8668,15278100,15.15
