date,open,high,low,close,volume,marketcap,average
20180110,7.07,7.17,6.58,7.15,8892300,427688000,6.88
20180109,7.17,7.47,6.87,7.05,8149570,433968000,7.17
20180108,7.56,7.79,6.82,7.19,11000400,457622000,7.30
20180107,7.62,7.89,7.27,7.57,8722460,460988000,7.58
20180106,7.37,7.78,7.19,7.59,9164570,446070000,7.49
20180105,6.94,8.14,6.81,7.36,39867200,420057000,7.47
20180104,6.61,7.13,6.23,7.10,13928300,400223000,6.68
20180103,6.34,6.70,6.20,6.57,13506000,383947000,6.45
20180102,5.42,6.43,5.36,6.34,16686400,327954000,5.89
20180101,5.42,5.83,5.14,5.44,12758900,328004000,5.48
20171231,5.04,5.54,4.75,5.38,8431380,305256000,5.14
20171230,5.54,5.54,5.01,5.07,4986310,335102000,5.28
20171229,5.18,5.65,5.04,5.52,5485770,313673000,5.35
20171228,5.72,5.81,5.00,5.17,5121120,346246000,5.40
20171227,5.99,6.17,5.61,5.77,7843130,362419000,5.89
20171226,5.98,6.12,5.87,5.99,5363700,361739000,6.00
20171225,6.27,6.29,5.62,5.98,7330400,379643000,5.96
20171224,6.68,6.68,5.31,6.08,14507900,404080000,5.99
20171223,4.10,6.83,4.10,6.66,78286700,248124000,5.46
20171222,4.05,4.42,3.45,4.13,17960700,244842000,3.94
20171221,4.46,4.66,3.88,4.04,16297700,270015000,4.27
20171220,4.67,4.87,4.26,4.47,9593440,282901000,4.56
20171219,4.48,5.05,4.44,4.66,22549400,271386000,4.75
20171218,4.32,4.52,4.05,4.46,12217200,261445000,4.29
20171217,4.63,4.78,4.33,4.37,8830240,280166000,4.55
20171216,4.05,4.68,4.02,4.62,12949500,245412000,4.35
20171215,4.21,4.29,3.54,4.05,20015600,254591000,3.92
20171214,4.11,4.49,4.04,4.22,15687600,248794000,4.27
20171213,3.75,4.58,3.54,4.10,27740300,227017000,4.06
20171212,3.66,4.07,3.41,3.75,26836800,221362000,3.74
20171211,3.19,4.22,3.18,3.66,55078900,193079000,3.70
20171210,2.80,3.20,2.33,3.17,15447300,169416000,2.77
