date,open,high,low,close,volume,marketcap,average
20180110,0.132692,0.134826,0.109625,0.130399,98137,16677500,0.12
20180109,0.131406,0.145557,0.125482,0.132524,108061,16515900,0.14
20180108,0.137051,0.142420,0.118514,0.133935,118773,17225400,0.13
20180107,0.169556,0.184803,0.137243,0.137243,98443,21309300,0.16
20180106,0.190745,0.190745,0.157986,0.169661,116069,23970500,0.17
20180105,0.181516,0.230190,0.138270,0.192515,193408,22808900,0.18
20180104,0.211719,0.226131,0.174698,0.181534,193708,26602300,0.20
20180103,0.171477,0.283282,0.157384,0.209674,471224,21544100,0.22
20180102,0.150876,0.187670,0.139825,0.163594,146613,18954400,0.16
20180101,0.226138,0.226138,0.142724,0.149281,182325,28407300,0.18
20171231,0.240003,0.252103,0.161370,0.230883,297559,30147000,0.21
20171230,0.149473,0.247903,0.135575,0.231271,436570,18773800,0.19
20171229,0.136299,0.151259,0.117350,0.149817,169957,17117700,0.13
20171228,0.129029,0.133524,0.106555,0.133389,151619,16203400,0.12
20171227,0.104715,0.128059,0.093074,0.127913,198195,13148900,0.11
20171226,0.081560,0.104715,0.079095,0.103293,64689,10240600,0.09
20171225,0.076793,0.090002,0.071667,0.083595,45388,9641290,0.08
20171224,0.081977,0.086172,0.069116,0.076024,34606,10291400,0.08
20171223,0.076115,0.090189,0.074159,0.081076,62549,9554710,0.08
20171222,0.082060,0.086319,0.060193,0.075391,48430,10300200,0.07
20171221,0.083159,0.092273,0.080342,0.081779,92987,10437400,0.09
20171220,0.086479,0.088134,0.075107,0.084952,36052,10853100,0.08
20171219,0.082258,0.092829,0.079445,0.086848,43006,10322600,0.09
20171218,0.112666,0.112666,0.068224,0.082652,168918,14137400,0.09
20171217,0.089694,0.115597,0.085913,0.112317,132430,11254000,0.10
20171216,0.077029,0.090978,0.075276,0.089289,83484,9664180,0.08
20171215,0.066423,0.078562,0.066120,0.078497,79757,8332820,0.07
20171214,0.065732,0.068921,0.063209,0.067120,42714,8245450,0.07
20171213,0.068137,0.078643,0.062707,0.066632,37958,8546510,0.07
20171212,0.066989,0.078172,0.062866,0.068410,69822,8401830,0.07
