date,open,high,low,close,volume,marketcap,average
20180110,0.115914,0.143723,0.109414,0.112398,115877,,0.13
20180109,0.124981,0.129433,0.093249,0.115865,88707,,0.11
20180108,0.100454,0.126367,0.077587,0.125338,115719,,0.10
20180107,0.090563,0.108440,0.074945,0.099551,51222,,0.09
20180106,0.077489,0.110829,0.077076,0.090599,37167,,0.09
20180105,0.075678,0.078492,0.058748,0.077114,43209,,0.07
20180104,0.075513,0.079641,0.063086,0.075991,16045,,0.07
20180103,0.060308,0.085554,0.059980,0.075393,10256,,0.07
20180102,0.075609,0.103002,0.057732,0.060029,36669,,0.08
20180101,0.081532,0.091482,0.073166,0.075433,17077,,0.08
20171231,0.083307,0.089489,0.075860,0.081635,18468,,0.08
20171230,0.081350,0.085363,0.068046,0.084040,4885,,0.08
20171229,0.107721,0.107721,0.063982,0.081378,33673,,0.09
20171228,0.059233,0.108277,0.055204,0.107075,113840,,0.08
20171227,0.067835,0.075595,0.056660,0.059331,8198,,0.07
20171226,0.072639,0.075685,0.058515,0.067681,17279,,0.07
20171225,0.060850,0.074098,0.047309,0.072612,12873,,0.06
20171224,0.063647,0.063647,0.044687,0.060551,33808,,0.05
20171223,0.066026,0.071074,0.055447,0.062903,10580,,0.06
20171222,0.055411,0.070838,0.039321,0.065486,5101,,0.06
20171221,0.071940,0.079996,0.053576,0.055202,15650,,0.07
20171220,0.073348,0.087048,0.048111,0.071864,24120,,0.07
20171219,0.078772,0.100728,0.070184,0.073427,34977,,0.09
20171218,0.057459,0.079863,0.049623,0.078958,36599,,0.06
20171217,0.055574,0.058589,0.049201,0.057535,27323,,0.05
20171216,0.047922,0.062933,0.047589,0.055419,9204,,0.06
20171215,0.048594,0.053477,0.043481,0.047833,4374,,0.05
20171214,0.056090,0.059136,0.046215,0.048549,9671,,0.05
20171213,0.052858,0.058514,0.043109,0.056119,18042,,0.05
20171212,0.046282,0.054409,0.036113,0.052821,21435,,0.05
20171211,0.043791,0.050543,0.042053,0.046580,3260,,0.05
20171210,0.047485,0.050103,0.043155,0.043742,8888,,0.05
20171209,0.054305,0.054606,0.043112,0.047333,13166,,0.05
20171208,0.046480,0.054392,0.041214,0.054306,4559,,0.05
