date,open,high,low,close,volume,marketcap,average
20180110,0.031542,0.044569,0.029091,0.032734,90481,,0.04
20180109,0.031559,0.046176,0.020906,0.031508,49668,,0.03
20180108,0.032716,0.046187,0.018379,0.031646,37409,,0.03
20180107,0.036393,0.046361,0.022269,0.032634,49179,,0.03
20180106,0.032151,0.048420,0.019532,0.036414,152311,,0.03
20180105,0.030048,0.032836,0.015704,0.020588,32551,,0.02
20180104,0.027906,0.030008,0.015476,0.028670,43692,,0.02
20180103,0.027392,0.029188,0.015773,0.027801,15847,,0.02
20180102,0.014413,0.029351,0.014413,0.027386,20877,,0.02
20180101,0.017031,0.026964,0.013220,0.014407,20275,,0.02
20171231,0.017362,0.026443,0.013660,0.017144,40468,,0.02
20171230,0.017876,0.027731,0.015089,0.019985,13132,,0.02
20171229,0.017064,0.029737,0.014888,0.017901,6422,,0.02
20171228,0.018034,0.030061,0.014213,0.016928,19189,,0.02
20171227,0.015289,0.030194,0.014993,0.018005,43233,,0.02
20171226,0.016824,0.025401,0.010468,0.015267,11577,,0.02
20171225,0.018889,0.029047,0.016823,0.016824,6140,,0.02
20171224,0.027447,0.027447,0.013191,0.018768,6134,,0.02
20171223,0.013700,0.029705,0.013648,0.026189,2717,,0.02
20171222,0.013487,0.028351,0.011274,0.013576,6062,,0.02
20171221,0.023427,0.028415,0.013198,0.013440,25398,,0.02
20171220,0.021986,0.029821,0.015606,0.023370,8726,,0.02
20171219,0.020289,0.030806,0.017904,0.022009,16011,,0.02
20171218,0.014250,0.035766,0.009137,0.020297,48576,,0.02
20171217,0.013291,0.014563,0.007775,0.009695,7814,,0.01
20171216,0.010247,0.013280,0.007735,0.013251,5628,,0.01
20171215,0.007908,0.012442,0.006862,0.010232,1707,,0.01
20171214,0.013610,0.013610,0.007933,0.008512,1375,,0.01
20171213,0.014433,0.014691,0.006933,0.013620,13304,,0.01
20171212,0.015278,0.015356,0.008723,0.014422,3283,,0.01
20171211,0.010065,0.014264,0.010012,0.013583,3177,,0.01
20171210,0.011127,0.013760,0.009507,0.010152,1768,,0.01
20171209,0.010370,0.015278,0.007725,0.011083,863,,0.01
20171208,0.013333,0.013750,0.006796,0.010374,1923,,0.01
20171207,0.013675,0.014805,0.008287,0.011200,6805,,0.01
20171206,0.017588,0.023375,0.011688,0.013701,13544,,0.02
20171205,0.011070,0.020590,0.010665,0.017626,6332,,0.02
20171204,0.011495,0.017771,0.007894,0.011043,11964,,0.01
20171203,0.010736,0.021630,0.010651,0.011250,3220,,0.02
20171202,0.012283,0.019450,0.008002,0.010726,9538,,0.01
20171201,0.019671,0.019776,0.010617,0.012294,7650,,0.02
20171130,0.017146,0.021524,0.012327,0.018970,10368,,0.02
20171129,0.019167,0.022405,0.012163,0.015379,6673,,0.02
20171128,0.030486,0.030486,0.013351,0.019182,27340,,0.02
20171127,0.029637,0.039940,0.020785,0.030429,40759,,0.03
20171126,0.016998,0.042353,0.016998,0.034649,93829,,0.03
20171125,0.013942,0.020926,0.011086,0.017004,22826,,0.02
20171124,0.016005,0.016892,0.011243,0.011747,13561,,0.01
20171123,0.018815,0.030049,0.009662,0.015938,108427,,0.02
20171122,0.028152,0.031926,0.017108,0.018820,274610,,0.02
20171121,0.097319,0.111953,0.025180,0.031720,1580350,,0.07
20171120,0.089343,0.111297,0.067696,0.097307,237051,,0.09
20171119,0.109999,0.129984,0.071419,0.089394,85260,,0.10
20171118,0.090563,0.138593,0.075514,0.117861,53632,,0.11
20171117,0.117670,0.261403,0.070172,0.070172,188914,,0.17
20171116,0.095049,0.118162,0.093395,0.117863,32828,,0.11
