date,open,high,low,close,volume,marketcap,average
20180110,0.002483,0.003613,0.001961,0.002550,10818,173793,0.00
20180109,0.002108,0.002456,0.001728,0.002334,8207,147587,0.00
20180108,0.001791,0.002546,0.001709,0.002114,7055,125394,0.00
20180107,0.001376,0.002907,0.000679,0.001794,9741,96334,0.00
20180106,0.001698,0.002215,0.000996,0.001377,4109,118888,0.00
20180105,0.002581,0.002581,0.001590,0.001697,5017,180656,0.00
20180104,0.002890,0.003200,0.001646,0.002580,23199,202303,0.00
20180103,0.004747,0.005949,0.002389,0.002874,78911,332321,0.00
20180102,0.000810,0.006571,0.000810,0.004467,812626,56706,0.00
20180101,0.000699,0.000824,0.000646,0.000810,50,48935,0.00
20171231,0.000890,0.000997,0.000696,0.000696,330,62301,0.00
20171230,0.001015,0.001015,0.000743,0.000900,360,71029,0.00
20171229,0.001013,0.001317,0.000707,0.001017,238,70891,0.00
20171228,0.001552,0.001710,0.000689,0.001002,1442,108611,0.00
20171227,0.000633,0.001821,0.000628,0.001710,345137,44344,0.00
20171226,0.000557,0.000645,0.000555,0.000633,60,39003,0.00
20171225,0.000704,0.000706,0.000531,0.000558,63,49304,0.00
20171224,0.000730,0.000730,0.000628,0.000697,73,51122,0.00
20171223,0.000689,0.000783,0.000680,0.000722,1,48264,0.00
20171222,0.000629,0.000741,0.000511,0.000683,45,43997,0.00
20171221,0.000659,0.000823,0.000606,0.000626,47,46153,0.00
20171220,0.000529,0.000713,0.000504,0.000658,74,36999,0.00
20171219,0.000765,0.000768,0.000512,0.000529,185,53574,0.00
20171218,0.000574,0.000772,0.000548,0.000765,103,40177,0.00
20171217,0.000575,0.000977,0.000570,0.000572,112,40265,0.00
20171216,0.000529,0.000574,0.000523,0.000573,7,37058,0.00
20171215,0.000498,0.000542,0.000498,0.000529,504,34834,0.00
20171214,0.000491,0.000512,0.000486,0.000497,30,34389,0.00
20171213,0.000518,0.000525,0.000478,0.000493,124,36280,0.00
20171212,0.000504,0.000533,0.000493,0.000518,57,35253,0.00
20171211,0.000457,0.000525,0.000455,0.000521,4,32019,0.00
20171210,0.000451,0.000472,0.000397,0.000461,3,31579,0.00
20171209,0.000813,0.000825,0.000406,0.000449,34,56923,0.00
20171208,0.000694,0.000814,0.000441,0.000814,501,48595,0.00
20171207,0.000687,0.000742,0.000452,0.000693,527,48076,0.00
20171206,0.000585,0.000689,0.000585,0.000688,5,40953,0.00
20171205,0.000583,0.000596,0.000575,0.000586,18,40797,0.00
20171204,0.000337,0.000582,0.000327,0.000582,757,23608,0.00
20171203,0.000437,0.000473,0.000318,0.000336,7,30609,0.00
20171202,0.000327,0.000442,0.000322,0.000437,18,22857,0.00
20171201,0.000300,0.000329,0.000294,0.000327,33,20978,0.00
20171130,0.000491,0.000535,0.000450,0.000482,1,34400,0.00
20171129,0.000496,0.000543,0.000413,0.000484,203,34748,0.00
20171128,0.000488,0.000597,0.000483,0.000497,384,34144,0.00
20171127,0.000466,0.000487,0.000466,0.000487,129,32612,0.00
20171126,0.000437,0.000476,0.000437,0.000466,10,30612,0.00
20171125,0.000328,0.000437,0.000327,0.000437,421,22988,0.00
20171124,0.000241,0.000334,0.000237,0.000329,241,16878,0.00
20171123,0.000329,0.000331,0.000241,0.000241,322,23031,0.00
20171122,0.000406,0.000409,0.000324,0.000329,101,28399,0.00
20171121,0.000330,0.000419,0.000327,0.000405,92,23076,0.00
20171120,0.000322,0.000413,0.000320,0.000330,1011,22522,0.00
20171119,0.000389,0.000391,0.000312,0.000322,2,27254,0.00
20171118,0.000389,0.000393,0.000387,0.000390,13,27252,0.00
20171117,0.000471,0.000482,0.000454,0.000464,23,32948,0.00
20171116,0.000365,0.000473,0.000357,0.000471,67,25561,0.00
20171115,0.000331,0.000435,0.000331,0.000363,169,23141,0.00
20171114,0.000327,0.000464,0.000325,0.000330,2616,22858,0.00
20171113,0.000294,0.000336,0.000291,0.000326,71,20548,0.00
20171112,0.000382,0.000382,0.000277,0.000293,33,26717,0.00
20171111,0.000263,0.000477,0.000263,0.000382,426,18410,0.00
20171110,0.000285,0.000434,0.000263,0.000264,127,19961,0.00
20171109,0.000299,0.000436,0.000283,0.000284,40,20909,0.00
20171108,0.000356,0.000471,0.000288,0.000299,791,24907,0.00
20171107,0.000348,0.000361,0.000348,0.000357,91,24356,0.00
20171106,0.000296,0.000358,0.000209,0.000349,41,20701,0.00
20171105,0.000295,0.000304,0.000292,0.000295,1,20655,0.00
20171104,0.000215,0.000302,0.000210,0.000296,141,15051,0.00
20171103,0.000281,0.000297,0.000213,0.000216,73,19665,0.00
20171102,0.000269,0.000439,0.000269,0.000281,133,18840,0.00
20171101,0.000322,0.000393,0.000261,0.000269,126,22554,0.00
20171031,0.000368,0.000432,0.000308,0.000322,476,25737,0.00
20171030,0.000369,0.000370,0.000305,0.000369,446,25859,0.00
20171029,0.000344,0.000379,0.000286,0.000372,422,24057,0.00
20171028,0.000115,0.000348,0.000115,0.000344,1069,8069,0.00
20171027,0.000119,0.000119,0.000114,0.000115,2,8326,0.00
20171026,0.000115,0.000116,0.000114,0.000115,46,8028,0.00
20171025,0.000166,0.000166,0.000109,0.000115,48,11588,0.00
20171024,0.000171,0.000173,0.000165,0.000165,55,11964,0.00
20171023,0.000179,0.000182,0.000174,0.000177,13,12557,0.00
20171022,0.000301,0.000303,0.000174,0.000180,15,21048,0.00
20171021,0.000303,0.000306,0.000301,0.000301,1,21182,0.00
20171020,0.000171,0.000183,0.000169,0.000180,4,11980,0.00
20171019,0.000168,0.000172,0.000166,0.000171,21,11733,0.00
20171018,0.000224,0.000277,0.000154,0.000168,151,15682,0.00
20171017,0.000289,0.000290,0.000221,0.000224,69,20227,0.00
20171016,0.000228,0.000289,0.000223,0.000289,145,15937,0.00
20171015,0.000234,0.000235,0.000218,0.000228,162,16384,0.00
20171014,0.000226,0.000290,0.000224,0.000234,23,15836,0.00
20171013,0.000218,0.000293,0.000216,0.000226,272,15234,0.00
20171012,0.000241,0.000242,0.000193,0.000217,105,16892,0.00
20171011,0.000238,0.000243,0.000191,0.000241,294,16670,0.00
20171010,0.000239,0.000291,0.000236,0.000238,110,16752,0.00
20171009,0.000276,0.000278,0.000230,0.000239,95,19332,0.00
20171008,0.000222,0.000276,0.000221,0.000276,84,15553,0.00
20171007,0.000175,0.000305,0.000174,0.000223,344,12247,0.00
20171006,0.000259,0.000262,0.000173,0.000175,82,18159,0.00
20171005,0.000253,0.000262,0.000208,0.000259,109,17730,0.00
20171004,0.000173,0.000254,0.000168,0.000253,107,12095,0.00
20171003,0.000264,0.000266,0.000171,0.000172,237,18492,0.00
20171002,0.000220,0.000266,0.000219,0.000264,141,15379,0.00
20171001,0.000304,0.000306,0.000218,0.000220,256,21290,0.00
20170930,0.000209,0.000305,0.000208,0.000304,43,14602,0.00
20170929,0.000377,0.000379,0.000208,0.000209,213,26420,0.00
20170928,0.000337,0.000426,0.000214,0.000378,1377,23562,0.00
20170927,0.000194,0.000543,0.000163,0.000337,4842,13610,0.00
20170926,0.000118,0.000235,0.000118,0.000195,593,8260,0.00
20170925,0.000147,0.000152,0.000113,0.000118,305,10283,0.00
20170924,0.000152,0.000187,0.000146,0.000147,80,10608,0.00
20170923,0.000144,0.000191,0.000143,0.000152,161,10100,0.00
