date,open,high,low,close,volume,marketcap,average
20180110,5.28,5.83,3.76,3.87,608,3817490,4.79
20180109,4.21,5.33,4.21,5.28,2111,3046710,4.77
20180108,4.14,4.55,3.60,4.23,207,2992990,4.08
20180107,3.72,4.10,3.71,4.10,3744,2691590,3.90
20180106,6.18,6.38,3.66,3.72,896,4467520,5.02
20180105,6.11,6.57,5.97,6.15,49,4417160,6.27
20180104,6.11,6.43,3.11,6.14,42,4415030,4.77
20180103,5.60,6.15,5.49,6.10,445,4048450,5.82
20180102,5.70,6.57,1.09,5.57,5390,4117580,3.83
20180101,4.97,6.15,4.85,5.68,287,3590130,5.50
20171231,4.88,5.32,4.65,4.97,4105,3527920,4.99
20171230,5.64,5.64,4.69,4.92,2201,4075030,5.17
20171229,5.57,5.88,4.46,5.64,1043,4023540,5.17
20171228,5.74,6.10,4.28,5.35,6513,4148330,5.19
20171227,4.30,5.75,3.59,5.75,1423,3111830,4.67
20171226,3.70,4.31,2.83,4.29,4307,2678180,3.57
20171225,3.99,4.24,3.67,3.70,185,2883820,3.96
20171224,4.24,4.24,3.59,3.97,6607,3067560,3.92
20171223,6.60,7.11,4.15,4.19,3019,4773250,5.63
20171222,4.75,7.08,2.95,6.55,327,3433880,5.02
20171221,4.80,5.05,4.59,4.73,450,3467220,4.82
20171220,4.89,6.46,4.33,4.79,513,3535050,5.39
20171219,5.12,8.23,4.56,4.90,6368,3704020,6.39
20171218,4.66,5.17,4.44,5.14,3258,3369860,4.80
20171217,3.48,4.74,3.47,4.67,803,2516040,4.11
20171216,4.56,4.61,3.41,3.47,5498,3294540,4.01
20171215,2.78,4.56,2.46,4.55,1912,2007460,3.51
20171214,4.14,4.43,2.73,2.77,2040,2990530,3.58
20171213,3.99,4.57,3.60,4.14,103,2887430,4.08
20171212,3.11,4.02,3.03,3.99,1641,2247300,3.52
20171211,2.58,3.31,2.58,3.13,695,1867850,2.95
20171210,3.08,3.08,2.55,2.58,347,2225000,2.81
