date,open,high,low,close,volume,marketcap,average
20180110,1.07,1.15,1.01,1.04,7180,7524910,1.08
20180109,1.02,1.18,0.944102,1.07,13035,7198180,1.06
20180108,1.06,1.53,0.932590,1.03,6107,7456250,1.23
20180107,0.825128,1.59,0.823095,1.05,36472,5808300,1.21
20180106,0.847420,0.907909,0.820319,0.825458,41581,5763540,0.86
20180105,0.787049,0.915417,0.778495,0.803918,6280,5352940,0.85
20180104,0.802323,0.832369,0.748016,0.790310,3840,5456830,0.79
20180103,0.706464,0.824729,0.695281,0.801045,14316,4804860,0.76
20180102,0.612435,0.801323,0.612435,0.703197,22698,4134720,0.71
20180101,0.551727,0.677614,0.528657,0.611009,619,3724860,0.60
20171231,0.590088,0.641369,0.504452,0.552427,12259,3983850,0.57
20171230,0.673818,0.673818,0.557574,0.595282,2781,4549140,0.62
20171229,0.613505,0.698178,0.593663,0.674050,3607,4141950,0.65
20171228,0.629412,0.657181,0.579877,0.609828,13177,4249340,0.62
20171227,0.648203,0.722171,0.602011,0.630458,34153,4376200,0.66
20171226,0.617432,0.858804,0.617127,0.646728,2497,4166480,0.74
20171225,0.608498,0.691918,0.569901,0.617205,5715,4106200,0.63
20171224,0.565754,0.611213,0.523593,0.605512,410,3817760,0.57
20171223,0.488592,0.634353,0.485614,0.559141,3295,3297060,0.56
20171222,0.683962,0.687108,0.422697,0.484598,39,4615430,0.55
20171221,0.687431,0.731583,0.661311,0.681380,866,4576970,0.70
20171220,0.700879,0.765126,0.620904,0.686697,1170,4666510,0.69
20171219,0.672722,0.726337,0.656201,0.701632,21676,4477700,0.69
20171218,0.617689,0.680435,0.590220,0.674756,24063,4111390,0.64
20171217,0.583282,0.695739,0.583282,0.618502,16820,3882380,0.64
20171216,0.649157,0.679975,0.566720,0.582251,4452,4320850,0.62
20171215,0.638668,0.668093,0.548265,0.647787,8536,4251030,0.61
20171214,0.520544,0.696884,0.515337,0.638070,6214,3464790,0.61
20171213,0.571291,0.627239,0.476916,0.520815,96959,3802560,0.55
20171212,0.446525,0.585842,0.435341,0.570900,45281,2894710,0.51
20171211,0.368374,0.449408,0.367944,0.449408,6244,2339390,0.41
20171210,0.399358,0.413539,0.366624,0.367960,3054,2500210,0.39
20171209,0.380591,0.445154,0.380591,0.398081,1711,2382720,0.41
20171208,0.380292,0.408190,0.360662,0.380601,3397,2380850,0.38
20171207,0.381105,0.392419,0.350727,0.379740,4926,2385940,0.37
20171206,0.382463,0.406265,0.374716,0.382435,727,2394440,0.39
20171205,0.392233,0.401987,0.382265,0.383136,4288,2455600,0.39
20171204,0.416742,0.424484,0.384022,0.392032,794,2609050,0.40
20171203,0.407400,0.483458,0.377106,0.415975,2047,2550550,0.43
20171202,0.415704,0.432194,0.368449,0.407262,2714,2602540,0.40
20171201,0.390495,0.448347,0.334674,0.415715,1669,2444720,0.39
20171130,0.385244,0.413168,0.355028,0.391465,5402,2411850,0.38
20171129,0.419648,0.459837,0.372195,0.380373,20486,,0.42
20171128,0.427530,0.453869,0.380785,0.419312,41159,,0.42
20171127,0.414097,0.454086,0.395027,0.428116,5878,,0.42
20171126,0.509021,0.509021,0.380327,0.414200,2579,,0.44
20171125,0.534128,0.711897,0.414050,0.509005,3077,,0.56
20171124,0.502075,0.623089,0.381935,0.534216,4375,,0.50
20171123,0.379872,0.631556,0.377720,0.504600,6880,,0.50
