date,open,high,low,close,volume,marketcap,average
20180110,1.01,1.09,0.796262,0.905425,19081,,0.94
20180109,1.10,1.20,0.867527,1.01,10647,,1.03
20180108,0.558053,1.20,0.557815,1.10,18074,,0.88
20180107,0.434802,0.553033,0.433731,0.553033,19037,,0.49
20180106,0.339012,0.436841,0.336281,0.434976,10715,,0.39
20180105,0.274322,0.343406,0.263834,0.337376,5704,,0.30
20180104,0.275527,0.288697,0.247883,0.275459,3303,,0.27
20180103,0.239513,0.353347,0.239445,0.275088,6341,,0.30
20180102,0.181462,0.346846,0.181462,0.238405,2402,,0.26
20180101,0.187338,0.343057,0.177691,0.181040,6252,,0.26
20171231,0.229089,0.423921,0.179305,0.187575,7199,,0.30
20171230,0.161220,0.232931,0.144501,0.230794,6181,,0.19
20171229,0.172353,0.201697,0.158978,0.161276,2397,,0.18
20171228,0.173997,0.194898,0.146724,0.171320,1810,,0.17
20171227,0.154513,0.221675,0.152374,0.174286,4764,,0.19
20171226,0.145278,0.221261,0.145206,0.157906,5184,,0.18
20171225,0.177140,0.186173,0.117195,0.145225,6155,,0.15
20171224,0.116687,0.176271,0.100891,0.176271,2372,,0.14
20171223,0.105642,0.262261,0.105642,0.115323,2651,,0.18
20171222,0.233518,0.234592,0.078641,0.104778,4993,,0.16
20171221,0.190053,0.249775,0.114806,0.232637,6114,,0.18
