date,open,high,low,close,volume,marketcap,average
20180110,169.40,233.75,158.66,175.11,50157,808540,196.20
20180109,216.62,216.77,169.03,169.21,1725,1033940,192.90
20180108,162.68,230.31,129.52,218.81,13204,776461,179.92
20180107,156.84,173.49,155.15,162.49,4931,748591,164.32
20180106,157.45,196.97,152.88,174.62,1859,751492,174.93
20180105,174.53,187.18,146.73,157.03,37608,833051,166.95
20180104,199.61,206.12,156.07,175.35,5072,952738,181.09
20180103,176.78,201.81,162.81,201.05,3175,843767,182.31
20180102,180.62,217.51,148.59,176.87,4549,862103,183.05
20180101,167.87,196.82,167.87,179.99,24430,801246,182.34
20171231,169.24,185.66,159.26,168.19,14163,807771,172.46
20171230,160.06,185.03,151.15,169.97,70355,763958,168.09
20171229,174.24,190.79,156.98,159.35,12263,831650,173.88
20171228,180.56,202.05,160.12,199.91,70561,861801,181.09
20171227,184.83,203.58,159.18,180.34,5115,882209,181.38
20171226,183.77,198.32,160.00,184.81,597,877148,179.16
20171225,169.77,212.10,164.25,184.23,1548,810310,188.18
20171224,158.19,195.93,153.44,169.20,44622,755051,174.69
20171223,182.00,264.26,160.17,160.17,45410,868663,212.21
20171222,166.82,216.48,143.99,181.66,155208,796227,180.24
20171221,181.36,255.62,160.50,165.95,31386,865646,208.06
20171220,179.76,225.57,149.35,181.06,104272,857984,187.46
20171219,184.38,192.66,158.19,180.08,23291,880061,175.43
20171218,202.03,208.67,168.51,184.51,20502,964302,188.59
20171217,209.00,232.73,162.69,201.97,63542,997571,197.71
20171216,179.81,202.90,154.71,167.83,35598,858259,178.81
20171215,205.13,209.92,165.90,179.67,24280,979065,187.91
20171214,183.79,204.02,162.94,203.40,140313,877215,183.48
20171213,187.43,224.70,165.52,182.58,95877,894578,195.11
20171212,170.88,192.70,166.92,186.93,8903,815628,179.81
20171211,174.84,186.75,159.97,170.28,990,834523,173.36
20171210,165.69,177.94,148.62,173.88,3497,790860,163.28
20171209,170.62,193.32,159.13,164.54,7096,814374,176.22
20171208,169.29,189.14,152.98,169.59,4491,808021,171.06
20171207,159.18,174.69,151.03,169.63,2636,759772,162.86
20171206,164.07,206.57,148.90,159.23,24241,783127,177.74
20171205,182.65,182.65,160.88,164.28,8264,871769,171.76
20171204,162.59,200.65,159.00,182.76,4172,776036,179.82
20171203,161.82,174.78,159.68,161.98,1581,772375,167.23
20171202,172.23,175.51,156.13,161.75,9908,822069,165.82
20171201,176.10,178.09,159.51,171.93,1115,840517,168.80
20171130,165.66,219.57,156.76,177.40,3627,790681,188.16
20171122,142.10,147.04,136.74,139.31,9939,678260,141.89
20171121,149.45,166.76,140.28,141.90,10124,713333,153.52
20171120,161.87,178.29,148.11,148.97,20803,772613,163.20
20171119,162.18,168.26,158.08,161.38,3665,774080,163.17
20171118,169.82,176.09,159.87,162.40,46419,810562,167.98
20171117,151.51,176.25,144.57,169.85,10923,723144,160.41
20171116,166.51,169.92,151.53,155.85,17941,794738,160.72
20171115,176.02,181.75,160.61,165.80,7806,840155,171.18
20171114,160.18,178.90,157.38,177.02,94,764551,168.14
20171113,165.90,170.00,149.96,161.83,961,791820,159.98
20171111,166.46,179.21,162.79,173.46,1902,794510,171.00
20171110,171.25,173.50,156.93,166.22,1824,817375,165.22
20171109,167.62,193.96,156.28,171.28,11608,800034,175.12
20171108,181.06,191.39,162.10,167.52,8938,864223,176.75
20171107,162.85,183.90,162.03,181.09,6725,777262,172.97
20171106,161.41,166.26,155.71,162.92,11532,770403,160.99
20171105,162.29,167.09,157.67,161.46,564,774590,162.38
20171104,162.74,166.37,155.03,162.16,7783,776773,160.70
20171103,159.63,174.30,151.32,163.13,415,761909,162.81
20171102,154.29,186.82,147.40,159.15,2478,736420,167.11
20171101,165.63,174.97,153.78,153.84,516,790545,164.38
20171031,160.50,185.85,156.95,166.54,7144,766080,171.40
20171030,157.81,163.08,156.58,160.75,67,753245,159.83
20171029,152.98,171.88,152.98,158.42,227,730181,162.43
20171028,158.27,160.19,152.53,152.57,38,755413,156.36
20171027,164.69,171.87,155.22,158.43,573,786042,163.55
20171026,160.00,168.54,154.50,164.93,1078,763692,161.52
20171025,157.32,184.17,150.76,160.13,88,750894,167.46
20171024,156.75,166.34,153.32,157.31,686,748189,159.83
20171023,158.60,203.28,155.19,156.71,40,756989,179.24
20171022,191.40,204.28,157.22,158.25,6,913526,180.75
20171021,160.19,195.25,155.94,193.39,333,764587,175.59
20171020,161.43,167.73,129.13,161.20,2799,770482,148.43
20171019,158.98,167.56,154.59,161.50,728,758791,161.07
20171018,163.41,169.96,152.85,159.63,411,779945,161.41
20171017,164.00,171.12,157.33,163.35,72,782792,164.23
