date,open,high,low,close,volume,marketcap,average
20180110,0.192341,0.286769,0.185244,0.286769,518,50361,0.24
20180109,0.197585,0.232507,0.189390,0.192089,132,51734,0.21
20180108,0.243949,0.244863,0.191736,0.198125,1032,63873,0.22
20180107,0.239115,0.250519,0.230437,0.244290,152,62608,0.24
20180106,0.206865,0.239933,0.204095,0.239291,129,54164,0.22
20180105,0.151356,0.208451,0.149887,0.206700,349,39630,0.18
20180104,0.138418,0.187863,0.134937,0.151326,188,36242,0.16
20180103,0.135005,0.140548,0.133368,0.137664,657,35349,0.14
20180102,0.142035,0.147078,0.126667,0.135486,10,37189,0.14
20180101,0.099407,0.144470,0.097392,0.142046,267,26028,0.12
20171231,0.098792,0.102697,0.090035,0.099024,9,25867,0.10
20171230,0.102775,0.104679,0.088501,0.099870,10,26910,0.10
20171229,0.092303,0.104102,0.077221,0.103034,100,24168,0.09
20171228,0.090828,0.092913,0.086934,0.091357,2,23782,0.09
20171227,0.100882,0.105481,0.093775,0.096461,47,26414,0.10
20171226,0.073270,0.102700,0.072970,0.100809,51,19184,0.09
20171225,0.089311,0.090736,0.070359,0.073345,91,23384,0.08
20171224,0.093189,0.093189,0.065096,0.088393,9,24400,0.08
20171223,0.087840,0.099032,0.075308,0.092171,12,22999,0.09
20171222,0.079351,0.094441,0.064460,0.087018,9,20777,0.08
20171221,0.082581,0.087107,0.076492,0.079077,7,21622,0.08
20171220,0.112936,0.112936,0.078980,0.082365,165,29570,0.10
20171219,0.122646,0.123085,0.109300,0.113048,3,32113,0.12
20171218,0.122635,0.123680,0.117135,0.122542,56,32110,0.12
20171217,0.112965,0.126720,0.110717,0.122265,61,29578,0.12
20171216,0.112940,0.113843,0.101059,0.112950,8,29571,0.11
20171215,0.083104,0.114530,0.083088,0.112781,65,21759,0.10
20171214,0.107423,0.108359,0.082694,0.082979,183,28127,0.10
20171213,0.122314,0.123587,0.104541,0.107769,9,32026,0.11
20171212,0.151025,0.153167,0.122143,0.122212,59,39543,0.14
20171211,0.105662,0.151865,0.097527,0.150541,303,27665,0.12
20171210,0.090225,0.109306,0.079430,0.106430,27,23624,0.09
20171209,0.099047,0.100514,0.081265,0.089861,23,25934,0.09
20171208,0.123223,0.125061,0.090539,0.099147,56,32264,0.11
20171207,0.097975,0.122934,0.093350,0.122934,26,25653,0.11
20171206,0.071258,0.073783,0.071258,0.073783,4,18658,0.07
20171205,0.070987,0.072575,0.069995,0.071416,8,18587,0.07
20171204,0.068462,0.070847,0.066310,0.070847,5,17926,0.07
20171203,0.066574,0.072087,0.064482,0.068236,3,17431,0.07
20171202,0.066286,0.068177,0.065332,0.066511,3,17356,0.07
20171201,0.060815,0.066730,0.059709,0.066342,5,15923,0.06
20171130,0.059857,0.065110,0.059472,0.061880,6,15672,0.06
20171129,0.068205,0.074674,0.055377,0.058951,1956,17858,0.07
20171128,0.071461,0.071754,0.067991,0.068273,2,18711,0.07
20171127,0.064012,0.066835,0.064012,0.065449,3,16760,0.07
20171126,0.065209,0.065372,0.063351,0.064000,3,17074,0.06
20171124,0.057867,0.060040,0.056763,0.059669,2,15151,0.06
20171123,0.059249,0.059701,0.055905,0.057946,31,15513,0.06
20171120,0.055338,0.056867,0.054677,0.056368,4,14489,0.06
20171119,0.053038,0.055808,0.052985,0.055364,8,13887,0.05
20171118,0.050579,0.051347,0.049033,0.050939,1,13243,0.05
20171117,0.051467,0.051815,0.050088,0.050773,1,13476,0.05
20171115,0.043504,0.045693,0.043504,0.045589,3,11391,0.04
20171114,0.043038,0.044291,0.042287,0.043475,3,11269,0.04
20171113,0.038630,0.043825,0.038329,0.042947,4,10115,0.04
20171112,0.039439,0.042345,0.036433,0.038574,15,10326,0.04
