date,open,high,low,close,volume,marketcap,average
20180110,0.000024,0.000024,0.000012,0.000020,761258,45196100,0.00
20180109,0.000030,0.000032,0.000022,0.000024,1167010,55966100,0.00
20180108,0.000027,0.000040,0.000023,0.000030,1858220,50744900,0.00
20180107,0.000031,0.000033,0.000022,0.000029,1717100,57503300,0.00
20180106,0.000008,0.000036,0.000008,0.000029,3475600,13882900,0.00
20180105,0.000005,0.000008,0.000004,0.000008,417142,8084260,0.00
20180104,0.000004,0.000005,0.000004,0.000005,117096,7257050,0.00
20180103,0.000005,0.000005,0.000003,0.000004,81384,8030360,0.00
20180102,0.000005,0.000005,0.000004,0.000005,161052,8964960,0.00
20180101,0.000004,0.000005,0.000003,0.000004,170701,6217380,0.00
20171231,0.000002,0.000005,0.000002,0.000004,132072,4144230,0.00
20171230,0.000003,0.000003,0.000002,0.000002,34917,4248830,0.00
20171229,0.000002,0.000002,0.000002,0.000002,33954,3003910,0.00
20171228,0.000001,0.000002,0.000001,0.000002,15478,2450310,0.00
20171227,0.000002,0.000002,0.000001,0.000002,7023,2630670,0.00
20171226,0.000001,0.000002,0.000001,0.000002,8362,2311320,0.00
20171225,0.000002,0.000002,0.000001,0.000001,14527,3101570,0.00
20171224,0.000002,0.000002,0.000001,0.000002,10282,2634590,0.00
20171223,0.000001,0.000002,0.000001,0.000002,9873,1714210,0.00
20171222,0.000001,0.000001,8.2e-07,0.000001,6122,1850180,0.00
20171221,0.000002,0.000002,9.4e-07,0.000001,15126,2353150,0.00
20171220,0.000001,0.000002,0.000001,0.000002,16833,2066750,0.00
20171219,0.000002,0.000002,0.000001,0.000001,9961,2567420,0.00
20171218,0.000001,0.000002,0.000001,0.000002,21237,1926540,0.00
20171217,0.000001,0.000003,0.000001,0.000002,44831,2098830,0.00
20171216,8.2e-07,0.000002,7.5e-07,0.000002,66761,1193390,0.00
20171215,8.9e-07,0.000001,7.4e-07,8.2e-07,12363,1300250,0.00
20171214,0.000001,0.000002,9.1e-07,0.000001,21750,1549060,0.00
20171213,0.000001,0.000002,6.7e-07,0.000001,14500,1877320,0.00
20171212,6.7e-07,0.000002,5.3e-07,8.2e-07,40398,951431,0.00
20171211,1.3e-07,0.000002,1.3e-07,6.5e-07,53961,183166,0.00
20171210,1e-07,1.5e-07,9.7e-08,1.3e-07,384,145752,0.00
20171209,1.1e-07,1.3e-07,1e-07,1e-07,1262,154838,0.00
20171208,1.3e-07,1.4e-07,9.4e-08,1.1e-07,622,175881,0.00
20171207,1.4e-07,1.6e-07,1.2e-07,1.3e-07,519,190634,0.00
20171206,1.5e-07,1.6e-07,1.2e-07,1.4e-07,400,199375,0.00
20171205,1.2e-07,1.8e-07,1.1e-07,1.5e-07,1676,157945,0.00
20171204,1.4e-07,1.4e-07,9.6e-08,1.2e-07,573,181823,0.00
20171203,1.6e-07,1.6e-07,1.1e-07,1.4e-07,633,210982,0.00
20171202,1.6e-07,1.7e-07,8.9e-08,1.6e-07,785,208183,0.00
20171201,1.5e-07,2e-07,8.1e-08,1.6e-07,1818,191559,0.00
20171130,2e-07,2.2e-07,1.5e-07,1.6e-07,190,248276,0.00
20171129,2.3e-07,2.6e-07,1.9e-07,2e-07,595,292981,0.00
20171128,2e-07,2.3e-07,1.9e-07,2.3e-07,898,246938,0.00
20171127,2.5e-07,2.7e-07,1.8e-07,2e-07,1125,297415,0.00
20171126,3.4e-07,3.4e-07,2.3e-07,2.4e-07,883,406483,0.00
20171125,3e-07,3.5e-07,2.6e-07,3.4e-07,959,353708,0.00
