date,open,high,low,close,volume,marketcap,average
20180110,0.000146,0.000150,0.000137,0.000150,3206,418652,0.00
20180109,0.000151,0.000154,0.000144,0.000146,4175,431707,0.00
20180108,0.000163,0.000163,0.000142,0.000151,1139,466826,0.00
20180107,0.000172,0.000172,0.000159,0.000163,5462,493129,0.00
20180106,0.000170,0.000173,0.000164,0.000172,3240,486864,0.00
20180105,0.000152,0.000171,0.000149,0.000170,60,435184,0.00
20180104,0.000152,0.000155,0.000144,0.000152,1307,436033,0.00
20180103,0.000150,0.000152,0.000150,0.000151,30,429690,0.00
20180102,0.000135,0.000139,0.000130,0.000138,7,387032,0.00
20180101,0.000140,0.000140,0.000129,0.000135,7,400789,0.00
20171231,0.000132,0.000142,0.000131,0.000139,119,378552,0.00
20171230,0.000145,0.000145,0.000124,0.000127,2,415537,0.00
20171229,0.000145,0.000151,0.000141,0.000145,4,414727,0.00
20171228,0.000155,0.000156,0.000136,0.000143,6,444781,0.00
20171227,0.000158,0.000166,0.000147,0.000155,3,453984,0.00
20171226,0.000139,0.000161,0.000139,0.000158,18,399308,0.00
20171225,0.000141,0.000145,0.000133,0.000139,28,403817,0.00
20171224,0.000146,0.000146,0.000126,0.000139,1,418709,0.00
20171223,0.000138,0.000155,0.000137,0.000144,83,395296,0.00
20171222,0.000146,0.000150,0.000114,0.000137,2,418934,0.00
20171221,0.000165,0.000174,0.000156,0.000156,3,472510,0.00
20171220,0.000176,0.000178,0.000158,0.000164,3,505060,0.00
20171219,0.000182,0.000185,0.000171,0.000176,4,521842,0.00
20171217,0.000195,0.000200,0.000189,0.000194,2,558320,0.00
20171216,0.000176,0.000196,0.000174,0.000195,2,505866,0.00
20171215,0.000174,0.000181,0.000173,0.000176,79,498555,0.00
20171208,0.000174,0.000175,0.000172,0.000175,2,497511,0.00
20171207,0.000140,0.000173,0.000136,0.000173,2,402274,0.00
20171206,0.000117,0.000125,0.000117,0.000125,2,335415,0.00
20171205,0.000116,0.000119,0.000115,0.000117,14,332826,0.00
20171203,0.000109,0.000118,0.000106,0.000111,17,313369,0.00
20171202,0.000110,0.000110,0.000109,0.000109,16,315759,0.00
20171126,0.000087,0.000095,0.000087,0.000093,1,250722,0.00
20171125,0.000087,0.000087,0.000087,0.000087,1,249554,0.00
20171122,0.000081,0.000083,0.000081,0.000082,7,232599,0.00
20171121,0.000082,0.000083,0.000080,0.000081,6,236250,0.00
20171120,0.000080,0.000083,0.000079,0.000082,5,230572,0.00
20171119,0.000078,0.000081,0.000078,0.000080,1,223220,0.00
20171118,0.000076,0.000079,0.000075,0.000078,16,218312,0.00
20171112,0.000064,0.000064,0.000055,0.000059,1,182350,0.00
20171111,0.000065,0.000065,0.000063,0.000064,1,185512,0.00
20171110,0.000071,0.000073,0.000068,0.000069,8,204356,0.00
20171109,0.000071,0.000072,0.000071,0.000071,8,202098,0.00
20171106,0.000074,0.000074,0.000070,0.000071,7,211939,0.00
20171105,0.000075,0.000075,0.000073,0.000074,7,215136,0.00
20171103,0.000070,0.000075,0.000069,0.000074,4,201330,0.00
20171102,0.000072,0.000073,0.000068,0.000070,4,205239,0.00
20171030,0.000062,0.000062,0.000060,0.000061,2,176495,0.00
20171029,0.000057,0.000063,0.000057,0.000062,3,164197,0.00
20171028,0.000058,0.000059,0.000057,0.000057,8,167345,0.00
20171022,0.000060,0.000061,0.000058,0.000059,2,172389,0.00
20171021,0.000060,0.000062,0.000059,0.000060,5,172144,0.00
20171020,0.000057,0.000061,0.000056,0.000060,7,163528,0.00
20171019,0.000056,0.000057,0.000056,0.000057,38,161842,0.00
20171017,0.000058,0.000058,0.000055,0.000056,1,165663,0.00
20171016,0.000057,0.000058,0.000056,0.000058,30,163164,0.00
20171015,0.000059,0.000059,0.000055,0.000057,1,167733,0.00
