date,open,high,low,close,volume,marketcap,average
20180110,1.16,1.24,0.867957,1.24,82837,6015960,1.05
20180109,1.05,1.29,0.933460,1.16,27223,5464870,1.11
20180108,1.05,1.05,0.953746,1.05,42684,5466590,1.00
20180107,1.04,1.11,1.00,1.05,19342,5397540,1.06
20180106,0.962595,1.05,0.888676,1.04,30030,5005510,0.97
20180105,0.610919,0.983912,0.592123,0.961801,24435,3176790,0.79
20180104,0.675987,0.902220,0.607076,0.610635,10314,3515150,0.75
20180103,0.943023,1.03,0.708824,0.711154,487,4903730,0.87
20180102,0.503764,0.945744,0.503764,0.944789,4574,2619580,0.72
20180101,0.929506,0.929506,0.503803,0.503803,5310,4833450,0.72
20171231,0.689313,0.956044,0.549420,0.929544,5151,3584440,0.75
20171230,0.883812,0.902578,0.576821,0.694469,2802,4595840,0.74
20171229,1.06,1.10,0.832731,0.886203,4501,5512370,0.97
20171228,1.02,1.08,0.879317,1.05,2482,5295960,0.98
20171227,0.846210,1.13,0.734106,1.02,1612,4426450,0.93
20171226,0.862612,1.13,0.660641,0.845097,7175,4512250,0.90
20171225,0.857481,0.890016,0.815048,0.864204,10993,4485410,0.85
20171224,0.571888,0.894997,0.529398,0.853977,2529,2991500,0.71
20171223,0.962145,1.16,0.564742,0.574214,500,5032900,0.86
20171222,0.955868,1.07,0.649036,0.949751,1036,5000060,0.86
20171221,0.701401,1.01,0.591172,0.953327,32259,3668970,0.80
20171220,0.901467,0.908584,0.656780,0.702104,4240,4715500,0.78
20171219,0.853990,0.933551,0.563189,0.902742,25763,4467150,0.75
20171218,0.714910,0.853889,0.270912,0.853138,51127,3623820,0.56
20171217,0.916533,0.929139,0.242266,0.712722,34993,4645830,0.59
20171216,0.882075,0.935754,0.682977,0.916423,95346,4471160,0.81
20171215,0.876763,0.932526,0.659609,0.881454,23150,4444240,0.80
20171214,0.745858,0.886183,0.661483,0.874620,64564,3780690,0.77
20171213,0.909163,0.926976,0.735312,0.745163,6807,4608470,0.83
20171212,0.798135,0.920208,0.685222,0.909212,721,4045680,0.80
20171211,0.804688,0.823617,0.634368,0.797669,7658,4078900,0.73
20171210,0.569044,0.852094,0.499464,0.806994,2842,2884440,0.68
20171209,0.595539,0.621283,0.533189,0.567224,1751,3018730,0.58
20171208,0.643634,0.644716,0.490876,0.596467,12662,3262520,0.57
20171207,0.563245,0.650905,0.549437,0.642989,2285,2855040,0.60
20171206,0.466714,0.563302,0.466543,0.563302,5827,2365740,0.51
20171205,0.543913,0.550358,0.465429,0.466939,9400,2757050,0.51
20171204,0.416265,0.602961,0.413387,0.542543,3756,2110010,0.51
20171203,0.547580,0.605162,0.409839,0.417651,195287,2775640,0.51
20171202,0.507750,0.580852,0.417541,0.547012,164032,2573740,0.50
20171201,0.532444,0.579995,0.391476,0.503487,32369,2698920,0.49
20171130,0.440699,0.539742,0.387377,0.534929,9131,2233860,0.46
20171129,0.503626,0.564201,0.383534,0.444006,152793,2552840,0.47
20171128,0.586935,0.586935,0.487954,0.502988,2042,2975120,0.54
20171127,0.477293,0.624079,0.442575,0.586003,13786,2419360,0.53
20171126,0.473402,0.497153,0.458996,0.475891,2376,2399630,0.48
20171125,0.471164,0.517673,0.412815,0.472450,2239,2388290,0.47
20171124,0.522164,0.530665,0.428624,0.471745,7124,2646800,0.48
20171123,0.425310,0.534966,0.425310,0.521889,15618,2155860,0.48
20171122,0.362176,0.454192,0.335558,0.425554,13682,1835840,0.39
20171121,0.466296,0.466961,0.356373,0.360587,1606,2363620,0.41
20171120,0.332874,0.485859,0.330240,0.466366,1346,1687310,0.41
20171119,0.518011,0.521149,0.329734,0.333062,8971,2625750,0.43
20171118,0.550188,0.558250,0.446088,0.518919,956,2788860,0.50
20171117,0.416512,0.623186,0.379051,0.551834,12380,2111260,0.50
20171116,0.420003,0.465331,0.353132,0.417493,2203,2128960,0.41
20171115,0.364634,0.434187,0.291073,0.418673,3808,1848300,0.36
20171114,0.435970,0.445562,0.361701,0.364386,6587,2209890,0.40
20171113,0.373290,0.478300,0.364850,0.436206,1249,1892170,0.42
20171112,0.403131,0.403131,0.349944,0.372553,2123,2043430,0.38
20171111,0.469658,0.492170,0.395037,0.403111,6906,2380660,0.44
20171110,0.439051,0.474625,0.248198,0.470951,9477,2225510,0.36
20171109,0.445192,0.463424,0.428595,0.435552,8440,2256640,0.45
20171108,0.414330,0.449931,0.400854,0.445898,10651,2100200,0.43
20171107,0.345363,0.420346,0.336668,0.417956,11701,1750610,0.38
20171106,0.362130,0.392445,0.345794,0.346112,8691,1835600,0.37
20171105,0.481857,0.485662,0.355612,0.359674,11384,2442490,0.42
20171104,0.483350,0.498742,0.463592,0.484213,8768,2450060,0.48
20171103,0.388899,0.492864,0.382479,0.485488,19149,1971290,0.44
20171102,0.409117,0.447541,0.370615,0.385036,13033,2073780,0.41
20171101,0.422613,0.432162,0.361254,0.412016,14306,2142190,0.40
20171031,0.440270,0.457867,0.416765,0.422745,11187,2231690,0.44
20171030,0.471810,0.479121,0.429671,0.441184,14175,2391560,0.45
20171029,0.601288,0.614704,0.419625,0.473526,27188,3047880,0.52
20171028,0.485006,0.608949,0.480812,0.602755,12342,2458450,0.54
20171027,0.614155,0.621464,0.455443,0.483904,22983,3113100,0.54
20171026,0.594705,0.644979,0.591046,0.614812,13063,3014510,0.62
20171025,0.564992,0.599025,0.517396,0.597450,15519,2863900,0.56
20171024,0.573237,0.592414,0.562476,0.563637,10449,2905690,0.58
20171023,0.609848,0.609945,0.547568,0.571658,7662,3091270,0.58
20171022,0.611247,0.617703,0.590891,0.610744,7025,3098360,0.60
20171021,0.643501,0.653031,0.596191,0.611400,10682,3261850,0.62
20171020,0.668349,0.682083,0.599817,0.645607,14243,3387800,0.64
20171019,0.626126,0.674774,0.574162,0.668758,18144,3173780,0.62
20171018,0.609273,0.633967,0.556550,0.626206,21566,3084930,0.60
20171017,0.452283,0.614638,0.440732,0.609023,19546,2290040,0.53
20171016,0.431577,0.459721,0.410847,0.453260,11435,2185200,0.44
20171015,0.460500,0.472206,0.418371,0.430086,10557,2331640,0.45
20171014,0.460365,0.519863,0.433292,0.460014,9283,2330960,0.48
20171013,0.443819,0.480456,0.442846,0.460304,9814,2247180,0.46
20171012,0.465979,0.473793,0.433649,0.446920,8894,2359610,0.45
20171011,0.458445,0.483987,0.457251,0.465701,8159,2321460,0.47
20171010,0.491089,0.503925,0.436471,0.457590,6981,2486770,0.47
20171009,0.555493,0.564979,0.418531,0.491662,17572,2812890,0.49
20171008,0.562646,0.577711,0.472500,0.555417,12953,2849120,0.53
20171007,0.644927,0.646244,0.486858,0.563906,18309,3265770,0.57
20171006,0.595917,0.649579,0.592268,0.644979,8647,3017590,0.62
20171005,0.574190,0.596380,0.551402,0.596380,7160,2907570,0.57
20171004,0.583726,0.609093,0.551547,0.573910,12157,2955860,0.58
20171003,0.622204,0.636590,0.569236,0.582746,13507,3150700,0.60
20171002,0.549294,0.625861,0.537430,0.622539,12360,2781500,0.58
