date,open,high,low,close,volume,marketcap,average
20180110,0.434928,0.434928,0.352576,0.404646,72705600,1509410000,0.39
20180109,0.470436,0.488145,0.420942,0.432166,62261600,1632640000,0.45
20180108,0.525523,0.525523,0.417209,0.467121,83150200,1823820000,0.47
20180107,0.525844,0.582010,0.498793,0.529438,101042000,1824930000,0.54
20180106,0.494368,0.531425,0.455094,0.527821,93250500,1715690000,0.49
20180105,0.539346,0.592207,0.471851,0.500948,165755000,1871790000,0.53
20180104,0.653740,0.675945,0.517209,0.521857,230243000,2268800000,0.60
20180103,0.314431,0.675779,0.314431,0.665023,594459000,1091230000,0.50
20180102,0.257715,0.324791,0.248276,0.317330,126276000,894397000,0.29
20180101,0.244548,0.298031,0.237418,0.255234,148184000,848701000,0.27
20171231,0.156639,0.234530,0.155628,0.224669,69855800,543612000,0.20
20171230,0.166939,0.179945,0.148980,0.158488,51062900,579361000,0.16
20171229,0.146214,0.177727,0.145973,0.169577,48170200,507433000,0.16
20171228,0.154496,0.154496,0.131968,0.145046,28484400,536175000,0.14
20171227,0.140176,0.167829,0.135370,0.157495,60464100,486480000,0.15
20171226,0.141902,0.144642,0.133395,0.139532,25278200,492468000,0.14
20171225,0.140301,0.145707,0.129764,0.141716,25580000,486913000,0.14
20171224,0.146348,0.146348,0.122442,0.139564,16645600,507898000,0.13
20171223,0.142776,0.157339,0.136804,0.145725,19481000,495501000,0.15
20171222,0.178541,0.180141,0.104723,0.139998,34209900,619624000,0.14
20171221,0.186045,0.197555,0.169158,0.178546,30463400,645668000,0.18
20171220,0.209063,0.212079,0.165274,0.187443,45051500,725549000,0.19
20171219,0.177677,0.221405,0.175661,0.200635,52049700,616624000,0.20
20171218,0.167856,0.178796,0.164151,0.176968,36666100,582542000,0.17
20171217,0.119289,0.195791,0.115233,0.165482,128434000,413990000,0.16
20171216,0.072162,0.125745,0.072162,0.121985,83148700,250436000,0.10
20171215,0.076486,0.076486,0.064838,0.072295,20971500,265443000,0.07
20171214,0.062589,0.077620,0.062035,0.075456,30173000,217215000,0.07
20171213,0.063927,0.067685,0.058330,0.062666,17604700,221857000,0.06
20171212,0.063384,0.064576,0.058488,0.063635,18127000,219975000,0.06
20171211,0.055131,0.062953,0.055131,0.062898,22472600,191331000,0.06
20171210,0.059381,0.059381,0.045493,0.052374,15046900,206080000,0.05
20171209,0.063138,0.066246,0.057574,0.059394,13767400,219119000,0.06
20171208,0.055793,0.065482,0.049758,0.063043,22371700,193628000,0.06
20171207,0.065601,0.066549,0.055451,0.055791,18380600,227665000,0.06
20171206,0.072235,0.073980,0.063621,0.065809,20846600,250691000,0.07
20171205,0.076318,0.076318,0.071055,0.072761,17193400,264861000,0.07
20171204,0.074413,0.079118,0.069998,0.076227,20127500,258248000,0.07
20171203,0.075054,0.079680,0.070827,0.074194,24985300,260475000,0.08
20171202,0.066502,0.079028,0.066502,0.075293,49889500,230794000,0.07
20171201,0.049179,0.068213,0.048491,0.067138,22086700,170675000,0.06
20171130,0.045642,0.054911,0.045160,0.049490,19484400,158401000,0.05
20171129,0.053928,0.074753,0.042654,0.043419,50373800,187156000,0.06
20171128,0.039328,0.053713,0.036552,0.053713,11868900,136487000,0.05
20171127,0.036021,0.040256,0.035810,0.039327,7607620,125010000,0.04
20171126,0.035256,0.037348,0.033020,0.036010,4167220,122355000,0.04
20171125,0.031590,0.035323,0.031289,0.035323,2780840,109632000,0.03
20171124,0.031770,0.032799,0.029204,0.031571,3649790,110257000,0.03
20171123,0.035480,0.036236,0.031725,0.031725,3272790,123134000,0.03
20171122,0.035109,0.039210,0.032842,0.035135,6115370,121845000,0.04
20171121,0.033935,0.037379,0.030649,0.035053,6707380,117770000,0.03
20171120,0.028768,0.034496,0.028486,0.034065,6326260,99840100,0.03
20171119,0.028817,0.029672,0.028356,0.028774,1966110,100009000,0.03
20171118,0.027600,0.029278,0.027587,0.028896,2630650,95786700,0.03
20171117,0.028685,0.028685,0.027414,0.027737,2033730,99550000,0.03
20171116,0.030009,0.030853,0.027754,0.028752,3161400,104144000,0.03
20171115,0.028286,0.030313,0.028286,0.029994,2911890,98166500,0.03
20171114,0.028177,0.028591,0.027190,0.028262,1993910,97788900,0.03
20171113,0.026348,0.028338,0.025727,0.028095,1907080,91440500,0.03
20171112,0.028631,0.028804,0.024861,0.026124,3201060,99363500,0.03
20171111,0.029264,0.030503,0.028369,0.028730,2102750,101560000,0.03
20171110,0.032878,0.033384,0.029020,0.029462,2646500,114101000,0.03
20171109,0.031750,0.035668,0.031485,0.032822,3237960,110189000,0.03
20171108,0.030055,0.032597,0.029621,0.031712,2875290,104304000,0.03
20171107,0.029303,0.030821,0.029145,0.030111,2258890,101696000,0.03
20171106,0.031127,0.031212,0.029197,0.029197,2313630,108025000,0.03
20171105,0.031288,0.032246,0.030819,0.031060,2305140,108584000,0.03
20171104,0.030283,0.032085,0.029976,0.031048,2622370,105098000,0.03
20171103,0.032412,0.033565,0.029640,0.030324,4693610,112486000,0.03
20171102,0.043022,0.043372,0.031085,0.032605,8275120,149307000,0.04
20171101,0.040426,0.045774,0.039679,0.042265,7462620,140297000,0.04
20171031,0.037788,0.041939,0.037685,0.040273,4344070,131143000,0.04
20171030,0.037647,0.038575,0.036098,0.037637,2666950,130654000,0.04
20171029,0.036921,0.038941,0.034615,0.037485,4638100,128135000,0.04
20171028,0.034120,0.040257,0.033647,0.036815,5564870,118413000,0.04
20171027,0.029697,0.035528,0.029697,0.033832,4504730,103061000,0.03
20171026,0.028444,0.029689,0.027967,0.029673,2524840,98716000,0.03
20171025,0.026684,0.028417,0.025413,0.028362,2677510,92605500,0.03
20171024,0.025219,0.028666,0.024092,0.026817,2305600,87521100,0.03
20171023,0.025612,0.026747,0.023301,0.025327,1781260,88884800,0.03
20171022,0.025894,0.026583,0.024905,0.025774,1432060,89863300,0.03
20171021,0.026775,0.026820,0.024857,0.025799,1511950,92920800,0.03
20171020,0.027438,0.027918,0.026446,0.026795,1425160,95224700,0.03
20171019,0.028833,0.029112,0.026562,0.027402,2075060,100063000,0.03
20171018,0.027116,0.028935,0.025202,0.028819,1658160,94105900,0.03
20171017,0.028851,0.029080,0.026917,0.027146,1521100,100126000,0.03
20171016,0.029494,0.029789,0.027441,0.028829,2145970,102358000,0.03
20171015,0.026445,0.029673,0.024033,0.029382,1748810,91777400,0.03
20171014,0.024932,0.027287,0.024622,0.026617,1030100,86525100,0.03
20171013,0.026133,0.026884,0.024321,0.024997,1702500,90693500,0.03
20171012,0.026496,0.028187,0.025269,0.026112,2200490,91952300,0.03
20171011,0.023372,0.026700,0.023293,0.026457,1307350,81112200,0.02
20171010,0.022901,0.028860,0.022054,0.023348,1741170,79477600,0.03
20171009,0.024785,0.024816,0.022090,0.022970,1822000,86015200,0.02
20171008,0.027265,0.027417,0.023576,0.024731,1529830,94621600,0.03
20171007,0.028265,0.029151,0.026901,0.027238,1041620,98091700,0.03
20171006,0.027366,0.028737,0.027366,0.028313,1178510,94972600,0.03
20171005,0.027318,0.027944,0.026278,0.027321,1362430,94808200,0.03
20171004,0.027359,0.028062,0.026588,0.027554,1452180,94950300,0.03
20171003,0.030258,0.031116,0.026206,0.027222,1966990,105011000,0.03
20171002,0.031491,0.031589,0.029114,0.029902,2272790,109290000,0.03
20171001,0.030651,0.032855,0.029993,0.031567,2076910,106372000,0.03
20170930,0.027612,0.030873,0.027608,0.030619,1101880,95828300,0.03
20170929,0.028760,0.029208,0.026319,0.027514,1392230,99810600,0.03
20170928,0.029306,0.030202,0.027878,0.028793,2452520,101707000,0.03
20170927,0.027341,0.031716,0.027139,0.029112,6734420,94886100,0.03
20170926,0.023438,0.027928,0.023342,0.027296,3457510,81342300,0.03
20170925,0.021839,0.023584,0.021687,0.023343,781467,75790400,0.02
20170924,0.022445,0.022763,0.021711,0.021889,826610,77894600,0.02
20170923,0.021333,0.022855,0.021094,0.022487,869073,74034500,0.02
20170922,0.021156,0.022058,0.020542,0.021342,1173930,73421300,0.02
20170921,0.023768,0.024468,0.020821,0.021265,1304980,82485300,0.02
20170920,0.024214,0.024908,0.023272,0.023876,1865680,84035200,0.02
20170919,0.029177,0.029177,0.023694,0.024189,2937340,101259000,0.03
20170918,0.021719,0.029292,0.021719,0.029292,3417560,75375300,0.03
20170917,0.021466,0.022337,0.020087,0.021799,1746130,74497500,0.02
20170916,0.021943,0.022606,0.019901,0.021437,1879180,76154300,0.02
20170915,0.019859,0.022864,0.016075,0.021755,2521070,68920100,0.02
20170914,0.026384,0.026983,0.019745,0.019790,1721860,91564300,0.02
20170913,0.028405,0.028545,0.024557,0.026371,1880030,98578700,0.03
20170912,0.028675,0.030760,0.027502,0.028436,2734640,99517800,0.03
20170911,0.029360,0.030101,0.028196,0.028615,2069680,101895000,0.03
20170910,0.030791,0.031601,0.027488,0.029410,2373310,106860000,0.03
20170909,0.030888,0.031715,0.029218,0.031109,2524890,107197000,0.03
20170908,0.037649,0.037649,0.028983,0.030796,4653740,130661000,0.03
20170907,0.039948,0.040021,0.035976,0.037892,5490620,138638000,0.04
20170906,0.031045,0.041750,0.028647,0.040333,9953750,107741000,0.04
20170905,0.029908,0.031869,0.025217,0.031053,5825530,103796000,0.03
20170904,0.039594,0.039594,0.027089,0.029523,9710210,137412000,0.03
20170903,0.041243,0.041978,0.036952,0.039323,6755000,143132000,0.04
20170902,0.047577,0.047675,0.040137,0.041257,8260080,165116000,0.04
20170901,0.048009,0.048507,0.046649,0.047526,7175300,166616000,0.05
20170831,0.047192,0.049791,0.045627,0.048105,7463400,163779000,0.05
20170830,0.049473,0.049827,0.042816,0.046585,9555330,171696000,0.05
20170829,0.048965,0.052672,0.048639,0.049473,10873400,169930000,0.05
20170828,0.051619,0.051891,0.047593,0.048966,7486210,179144000,0.05
20170827,0.050470,0.051533,0.049893,0.051373,6815440,175157000,0.05
20170826,0.050976,0.051474,0.049837,0.050515,5512320,176911000,0.05
20170825,0.052722,0.052963,0.050250,0.050952,5922650,182970000,0.05
20170824,0.051287,0.053213,0.049911,0.052740,8706810,177990000,0.05
20170823,0.049952,0.053124,0.049889,0.051593,8995140,173357000,0.05
20170822,0.051049,0.051142,0.046337,0.050045,5745640,177165000,0.05
20170821,0.054946,0.055899,0.050010,0.051012,9409920,190691000,0.05
20170820,0.054544,0.055908,0.052646,0.055248,6738530,189293000,0.05
20170819,0.054679,0.057561,0.048092,0.055106,12062400,189763000,0.05
