date,open,high,low,close,volume,marketcap,average
20180110,7.84,7.84,6.39,7.07,1892090,43801100,7.12
20180109,7.84,8.47,7.44,7.82,2726680,42822600,7.96
20180108,8.41,8.89,6.87,7.72,3625550,44902500,7.88
20180107,8.20,8.93,7.78,8.42,4273490,42831400,8.36
20180106,7.60,8.90,6.82,8.04,4057590,38737700,7.86
20180105,8.81,9.12,7.42,7.61,2760940,43768800,8.27
20180104,10.17,10.19,8.74,9.02,3616820,49334900,9.46
20180103,9.91,11.29,9.31,10.25,4377180,47295300,10.30
20180102,8.61,10.97,8.48,10.37,8672010,40617100,9.73
20180101,7.62,9.14,7.28,8.48,5135520,35560000,8.21
20171231,7.07,7.81,6.87,7.67,1054890,32663700,7.34
20171230,9.01,9.01,6.73,7.15,2013500,41203600,7.87
20171229,8.00,8.92,7.50,8.37,2509390,36123700,8.21
20171228,8.96,9.00,7.09,7.92,1524880,39896800,8.04
20171227,9.36,9.50,8.57,9.07,1385380,41038100,9.04
20171226,9.93,10.13,8.92,9.54,2257980,42899300,9.53
20171225,9.68,9.89,8.84,9.88,2208790,41232200,9.37
20171224,10.53,11.55,8.09,9.85,3363970,44215700,9.82
20171223,9.06,10.57,8.47,9.50,3203610,37524800,9.52
20171222,13.41,13.62,6.57,9.00,3999570,54819500,10.09
20171221,13.36,15.38,12.21,13.35,4847670,53886600,13.80
20171220,13.68,13.73,9.68,13.62,8696960,54428200,11.71
20171219,13.25,16.17,12.05,13.76,6265100,52119600,14.11
20171218,11.30,14.59,10.92,13.25,7178960,43946400,12.75
20171217,11.15,11.87,10.74,11.29,3632490,42946600,11.30
20171216,10.56,11.64,10.30,11.12,3107160,40311300,10.97
20171215,10.18,11.06,8.47,10.63,3777910,38496800,9.77
20171214,5.38,10.49,5.16,10.40,3052290,20156400,7.83
20171213,5.61,6.05,5.15,5.36,205400,20832900,5.60
20171212,6.56,6.76,5.60,5.60,298090,24184500,6.18
20171211,7.21,9.05,6.52,6.55,812923,26347200,7.79
20171210,5.49,14.04,4.70,7.16,952096,19916100,9.37
20171209,7.87,7.93,5.40,5.53,940336,28348600,6.67
20171208,5.90,9.84,5.23,7.86,5879620,21090500,7.54
20171207,3.42,8.11,3.37,5.60,2066390,12137400,5.74
20171206,2.68,3.75,2.58,2.96,8587180,9471100,3.17
20171205,2.37,3.08,2.23,2.70,2987790,8301900,2.66
20171204,2.30,2.45,2.19,2.36,733829,8026170,2.32
20171203,2.35,2.59,2.14,2.29,2604120,8151060,2.37
20171202,1.52,2.54,1.51,2.37,4818630,5237290,2.02
20171201,1.28,1.58,1.25,1.51,992520,4398140,1.42
20171130,1.25,1.40,1.20,1.30,659341,4271990,1.30
20171129,1.54,1.58,1.22,1.23,607306,5239010,1.40
20171128,1.68,1.76,1.53,1.55,842989,5697830,1.65
20171127,1.59,1.96,1.59,1.67,1572120,5361180,1.77
20171126,1.66,1.66,1.47,1.61,810629,5563380,1.56
20171125,1.27,1.96,1.27,1.67,5825160,4236750,1.61
20171124,1.38,1.38,1.21,1.27,622332,4582910,1.29
20171123,1.67,1.67,1.32,1.38,1565610,5558420,1.50
20171122,0.951158,3.02,0.948523,1.68,23440900,3148030,1.98
20171121,0.996940,1.01,0.927019,0.955665,71780,3301490,0.97
20171120,0.963122,1.01,0.960025,0.993967,65953,3180470,0.99
20171119,0.999690,1.01,0.959847,0.963691,86577,3287890,0.98
20171118,0.962804,1.02,0.945909,1.00,75786,3155700,0.98
20171117,0.980650,1.02,0.935540,0.966505,142659,3201590,0.98
20171116,1.02,1.03,0.966462,0.982261,80687,3347690,1.00
20171115,1.04,1.07,0.985610,1.01,189783,3417190,1.03
20171114,1.04,1.08,0.961523,1.03,237208,3460790,1.02
20171113,0.959516,1.04,0.936024,1.03,143273,3191290,0.99
20171112,0.983027,0.993885,0.882796,0.959533,203401,3263720,0.94
20171111,0.955173,0.997614,0.930355,0.988044,153323,3162790,0.96
20171110,1.01,1.04,0.908239,0.958877,219703,3348340,0.97
20171109,1.01,1.19,0.967973,1.01,982169,3376230,1.08
20171108,0.986674,1.02,0.945493,1.00,150815,3284600,0.98
20171107,0.950980,1.01,0.950980,0.989767,71927,3164360,0.98
20171106,0.978100,1.01,0.937369,0.940267,98937,3257480,0.97
