date,open,high,low,close,volume,marketcap,average
20180110,5.95,5.95,4.84,5.34,14512500,1464940000,5.39
20180109,6.00,6.32,5.73,5.94,12146200,1476630000,6.03
20180108,6.37,6.41,5.22,6.02,15712500,1568750000,5.81
20180107,7.00,7.00,6.18,6.41,19933800,1721670000,6.59
20180106,5.70,6.97,5.25,6.63,29704000,1402840000,6.11
20180105,6.55,7.08,5.52,5.81,32859900,1611020000,6.30
20180104,8.12,8.12,6.56,6.56,42666400,1998250000,7.34
20180103,6.51,8.57,6.09,8.03,81599700,1606260000,7.33
20180102,3.98,7.14,3.97,6.69,118530000,982775000,5.55
20180101,3.02,4.51,2.86,4.01,32488100,744499000,3.68
20171231,2.69,3.04,2.61,3.01,4329760,664074000,2.83
20171230,3.18,3.24,2.54,2.73,6092660,783634000,2.89
20171229,2.92,3.16,2.74,3.15,6234230,719370000,2.95
20171228,3.23,3.26,2.64,2.89,6388540,796384000,2.95
20171227,3.42,3.42,3.04,3.26,5684460,842849000,3.23
20171226,3.48,3.71,3.16,3.43,10614600,856171000,3.44
20171225,3.40,3.43,3.07,3.36,7338120,835606000,3.25
20171224,3.30,3.77,2.78,3.40,12293700,811021000,3.27
20171223,2.99,3.59,2.80,3.15,10846800,736443000,3.19
20171222,3.64,3.79,2.07,2.94,14457100,894782000,2.93
20171221,3.44,4.17,3.31,3.65,22309900,846290000,3.74
20171220,2.88,3.70,2.43,3.42,20406500,708089000,3.07
20171219,2.87,3.37,2.63,2.92,16961200,706191000,3.00
20171218,2.33,2.94,2.21,2.90,10902600,573063000,2.58
20171217,2.11,2.42,2.10,2.31,7228050,518769000,2.26
20171216,1.97,2.26,1.97,2.12,5782550,484278000,2.11
20171215,2.04,2.08,1.80,1.96,4929700,502442000,1.94
20171214,1.76,2.10,1.76,2.04,6859390,432859000,1.93
20171213,1.86,1.88,1.69,1.78,3287560,458352000,1.78
20171212,1.72,1.87,1.66,1.85,3830320,423130000,1.77
20171211,1.68,1.79,1.68,1.72,3618120,413124000,1.73
20171210,1.67,1.92,1.31,1.67,6084930,411814000,1.61
20171209,1.90,1.94,1.54,1.67,3380210,468625000,1.74
20171208,2.14,2.16,1.61,1.94,11425200,526228000,1.89
20171207,1.29,2.15,1.27,2.05,26993700,318547000,1.71
20171206,1.45,1.48,1.26,1.28,6209470,358357000,1.37
20171205,1.43,1.62,1.42,1.46,7781870,352273000,1.52
20171204,1.22,1.46,1.19,1.43,6588640,302094000,1.32
20171203,1.20,1.31,1.15,1.22,4982820,295348000,1.23
20171202,1.09,1.22,1.05,1.20,2454140,269323000,1.14
20171201,1.00,1.10,0.971877,1.08,1529000,246689000,1.04
20171130,0.958366,1.07,0.903074,1.00,1492280,236304000,0.99
20171129,1.16,1.22,0.906742,0.935901,3862430,285058000,1.06
20171128,1.18,1.25,1.12,1.15,4156370,290308000,1.19
20171127,1.10,1.28,1.08,1.18,4560590,271941000,1.18
20171126,1.04,1.12,1.00,1.10,2047930,256573000,1.06
20171125,0.944530,1.09,0.943787,1.05,4683450,233107000,1.02
20171124,0.955235,0.958427,0.904336,0.945050,1479690,235691000,0.93
20171123,0.997885,1.03,0.935986,0.959156,2615650,246293000,0.98
20171122,0.887593,1.20,0.887593,1.01,17039100,219024000,1.04
20171121,0.906709,0.931927,0.861888,0.891775,1054310,223686000,0.90
20171120,0.909170,0.933533,0.894166,0.908268,957215,224234000,0.91
