date,open,high,low,close,volume,marketcap,average
20180110,0.005404,0.005549,0.005065,0.005549,124,100643,0.01
20180109,0.005723,0.005863,0.005115,0.005397,30,106586,0.01
20180108,0.005700,0.005746,0.005270,0.005738,74,106158,0.01
20180107,0.006537,0.006537,0.001838,0.005708,521,121751,0.00
20180106,0.003736,0.006556,0.003623,0.006542,515,69592,0.01
20180105,0.005769,0.005769,0.003136,0.003733,42,107445,0.00
20180104,0.005780,0.005873,0.005460,0.005768,7,107654,0.01
20180103,0.003857,0.005760,0.003186,0.005749,92,71842,0.00
20180102,0.002970,0.006026,0.002059,0.003871,1279,55322,0.00
20180101,0.002928,0.003021,0.002924,0.002971,4,54530,0.00
20171231,0.002797,0.003119,0.002769,0.003079,1,52098,0.00
20171230,0.003002,0.003002,0.002556,0.002828,5,55912,0.00
20171229,0.003328,0.003479,0.003281,0.003359,7,61975,0.00
20171228,0.003258,0.003428,0.001797,0.003293,134,60687,0.00
20171227,0.003167,0.003312,0.002061,0.003265,22,58993,0.00
20171226,0.001811,0.003228,0.001803,0.003165,125,33727,0.00
20171225,0.001871,0.001871,0.001752,0.001813,81,34839,0.00
20171224,0.002775,0.002775,0.002388,0.002599,8,51689,0.00
20171223,0.002620,0.002975,0.002583,0.002745,9,48798,0.00
20171222,0.002828,0.002856,0.002175,0.002596,1,52678,0.00
20171221,0.002967,0.003130,0.002726,0.002819,27,55260,0.00
20171220,0.002995,0.002995,0.002207,0.002959,7,55785,0.00
20171219,0.002679,0.003139,0.002486,0.002998,15,49891,0.00
20171218,0.002701,0.002701,0.002588,0.002676,3,50311,0.00
20171216,0.003706,0.003795,0.003659,0.003773,2,69021,0.00
20171215,0.002156,0.004145,0.002156,0.003701,4,40163,0.00
20171214,0.002146,0.002218,0.002111,0.002153,9,39972,0.00
20171213,0.002246,0.002276,0.002072,0.002177,22,41830,0.00
20171212,0.002189,0.004084,0.002137,0.002244,116,40766,0.00
20171211,0.001982,0.002254,0.001973,0.002182,11,36917,0.00
20171210,0.001955,0.002050,0.001721,0.001997,60,36410,0.00
20171209,0.001952,0.002008,0.001761,0.001947,112,36350,0.00
20171208,0.003471,0.003523,0.001690,0.001954,262,64649,0.00
20171207,0.003846,0.004010,0.002831,0.003463,20,71633,0.00
20171206,0.003159,0.003858,0.003159,0.003853,18,58840,0.00
20171205,0.002737,0.003189,0.002670,0.003166,964,50983,0.00
20171202,0.002503,0.002575,0.002467,0.002529,37,46626,0.00
20171201,0.002398,0.002822,0.002271,0.002506,57,44669,0.00
20171130,0.002261,0.002484,0.002246,0.002410,41,42104,0.00
20171129,0.002423,0.002631,0.002091,0.002226,11,45132,0.00
20171128,0.002244,0.002295,0.002222,0.002290,2,41790,0.00
20171127,0.002143,0.002242,0.002143,0.002238,31,39915,0.00
20171126,0.002056,0.002189,0.002033,0.002143,68,38292,0.00
20171125,0.002052,0.002120,0.002041,0.002109,11,38228,0.00
20171124,0.001977,0.002072,0.001953,0.002057,15,36817,0.00
20171121,0.001978,0.002009,0.001871,0.001931,23,36839,0.00
20171120,0.001850,0.001988,0.001828,0.001978,62,34456,0.00
20171119,0.001781,0.001866,0.001779,0.001851,1,33173,0.00
20171114,0.001371,0.001411,0.001350,0.001384,9,25544,0.00
20171113,0.001349,0.001376,0.001332,0.001369,9,25130,0.00
20171111,0.001381,0.001430,0.001379,0.001410,1,25716,0.00
20171110,0.001568,0.001682,0.001355,0.001386,8,29211,0.00
20171109,0.001643,0.001643,0.001551,0.001564,13,30598,0.00
20171108,0.001637,0.001734,0.001576,0.001645,3,30484,0.00
20171107,0.001614,0.001642,0.001611,0.001642,16,30064,0.00
20171102,0.001615,0.001755,0.001615,0.001696,2,30077,0.00
20171101,0.001534,0.001616,0.001431,0.001613,72,28576,0.00
20171031,0.002022,0.002038,0.002011,0.002022,1,37663,0.00
20171030,0.002155,0.002161,0.001992,0.002029,1,40136,0.00
20171029,0.002023,0.002213,0.002018,0.002168,1,37678,0.00
20171028,0.001960,0.001996,0.001940,0.001943,19,36497,0.00
20171027,0.001998,0.002013,0.001938,0.001954,28,37203,0.00
20171026,0.001950,0.002035,0.001937,0.002021,1,36313,0.00
20171025,0.001886,0.001953,0.001871,0.001950,1,35136,0.00
20171024,0.001408,0.001408,0.001336,0.001362,4,26219,0.00
20171023,0.002033,0.002048,0.001359,0.001411,4,37864,0.00
20171022,0.002045,0.002063,0.001954,0.002036,5,38082,0.00
20171021,0.002042,0.002106,0.002007,0.002044,42,38028,0.00
20171020,0.002038,0.002078,0.002025,0.002046,14,37963,0.00
20171017,0.001387,0.001391,0.001329,0.001343,29,25832,0.00
20171016,0.002106,0.002117,0.001356,0.001387,33,39224,0.00
20171015,0.002034,0.002127,0.002026,0.002106,3,37888,0.00
20171013,0.002067,0.002233,0.002054,0.002148,1,38507,0.00
20171012,0.001645,0.002061,0.001644,0.002061,2,30636,0.00
20171011,0.001619,0.001653,0.001606,0.001646,0,30160,0.00
20171010,0.001683,0.001725,0.001608,0.001620,18,31337,0.00
20171009,0.001749,0.001851,0.001732,0.001831,0,32576,0.00
