date,open,high,low,close,volume,marketcap,average
20180110,0.291690,0.333124,0.216539,0.255266,12161,1231440,0.27
20180109,0.174122,0.366505,0.162458,0.291339,30254,734972,0.26
20180108,0.183042,0.233451,0.137657,0.174597,18656,772542,0.19
20180107,0.202500,0.202500,0.154134,0.189992,10733,854544,0.18
20180106,0.226124,0.235230,0.189574,0.202951,6796,952560,0.21
20180105,0.148642,0.302028,0.145863,0.167494,9040,626144,0.22
20180104,0.150173,0.152157,0.138309,0.148586,2827,632578,0.15
20180103,0.128739,0.166414,0.122003,0.149398,2958,542277,0.14
20180102,0.135005,0.161092,0.129119,0.129119,2538,568644,0.15
20180101,0.159456,0.159456,0.121376,0.135004,1278,671603,0.14
20171231,0.121966,0.160502,0.096990,0.158909,1921,513688,0.13
20171230,0.128391,0.136819,0.107995,0.123223,2198,540693,0.12
20171229,0.114889,0.154707,0.100000,0.128712,5215,483791,0.13
20171228,0.120753,0.121057,0.102687,0.113955,1196,508466,0.11
20171227,0.097518,0.128444,0.096212,0.120959,2242,410622,0.11
20171226,0.103819,0.123124,0.094885,0.097439,4045,437127,0.11
20171225,0.112798,0.130249,0.098479,0.103916,3190,474915,0.11
20171224,0.099705,0.111918,0.081908,0.109788,765,419778,0.10
20171223,0.088829,0.103740,0.085486,0.098747,172,373978,0.09
20171222,0.102027,0.103208,0.071462,0.088003,351,429517,0.09
20171221,0.110973,0.136611,0.098846,0.101776,369,467178,0.12
20171220,0.135760,0.135760,0.099175,0.110720,551,571511,0.12
20171219,0.141257,0.141976,0.129369,0.135735,103,594636,0.14
20171218,0.128592,0.141115,0.123912,0.141115,501,541306,0.13
20171217,0.126364,0.133311,0.120281,0.128708,916,531919,0.13
20171216,0.123089,0.162683,0.121700,0.125536,1981,517932,0.14
20171215,0.124411,0.135021,0.088809,0.122955,313,523481,0.11
20171214,0.113422,0.144808,0.110756,0.124284,112,477228,0.13
20171213,0.116853,0.126319,0.092340,0.113678,137,491651,0.11
20171212,0.122645,0.140262,0.110292,0.116706,260,516007,0.13
20171211,0.111141,0.224037,0.082085,0.122200,592,467577,0.15
20171210,0.168734,0.168734,0.091034,0.111971,297,709861,0.13
20171209,0.143702,0.169174,0.103406,0.168407,364,604540,0.14
20171208,0.117549,0.168905,0.106001,0.143805,698,494501,0.14
20171207,0.112231,0.132010,0.105713,0.117320,349,472119,0.12
20171206,0.096131,0.112105,0.091125,0.112105,53,404381,0.10
20171205,0.093826,0.102712,0.093826,0.096720,47,394668,0.10
20171204,0.092078,0.093642,0.086450,0.093642,64,387305,0.09
20171203,0.088260,0.105388,0.086831,0.091714,141,371236,0.10
20171202,0.087845,0.089468,0.083240,0.088074,195,369477,0.09
20171201,0.090764,0.101791,0.085803,0.087920,2166,381735,0.09
20171130,0.084615,0.097035,0.070186,0.091215,153,355859,0.08
20171129,0.090096,0.099309,0.078248,0.083341,786,378905,0.09
20171128,0.084233,0.094292,0.080126,0.090185,2018,354236,0.09
20171127,0.079016,0.093849,0.079016,0.084016,176,332284,0.09
20171126,0.083508,0.092875,0.078726,0.079001,759,351165,0.09
20171125,0.073618,0.083800,0.072343,0.083606,106,309569,0.08
20171124,0.079071,0.085428,0.073550,0.073767,422,332491,0.08
