date,open,high,low,close,volume,marketcap,average
20180110,1.72,2.54,1.52,1.54,2247,,2.03
20180109,1.71,2.14,1.07,1.72,1337,,1.60
20180108,2.20,2.20,0.959197,1.72,3179,,1.58
20180107,1.11,2.56,0.825765,2.21,3806,,1.69
20180106,1.55,2.55,1.07,1.10,289,,1.81
20180105,1.78,2.17,1.02,1.55,266,,1.59
20180104,2.31,2.31,1.77,1.78,177,,2.04
20180103,2.76,2.76,0.957519,2.34,634,,1.86
20180102,1.28,2.93,1.17,2.77,123,,2.05
20180101,1.41,1.41,1.11,1.28,3459,,1.26
20171231,1.10,1.48,1.07,1.41,431,,1.27
20171230,1.21,1.27,0.755111,1.11,208,,1.01
20171229,1.43,1.45,0.920447,1.21,1494,,1.19
20171228,2.33,2.33,0.880716,1.41,954,,1.61
20171227,3.05,3.31,1.35,2.35,325,,2.33
20171226,3.44,3.74,2.21,3.06,42,,2.98
20171225,3.58,3.75,3.26,3.44,286,,3.50
20171224,3.60,3.93,3.12,3.54,110,,3.53
20171223,3.96,4.28,3.55,3.60,10,,3.92
20171222,2.45,2.77,1.60,2.56,0,,2.19
20171221,2.35,2.85,1.94,2.42,4415,,2.40
20171220,1.64,2.49,1.38,2.35,1728,,1.94
20171219,1.72,1.85,1.51,1.64,2630,,1.68
20171218,1.64,2.27,1.52,1.72,28,,1.90
20171217,1.37,1.74,1.36,1.64,350,,1.55
20171216,1.39,1.41,1.33,1.37,3,,1.37
20171215,1.40,1.42,1.21,1.36,2,,1.31
20171214,1.36,1.43,1.33,1.40,2,,1.38
20171213,1.34,1.55,1.22,1.36,85,,1.39
20171212,1.26,1.37,1.22,1.32,1,,1.29
20171211,1.11,1.39,1.11,1.26,2,,1.25
20171210,1.21,1.23,0.867975,1.13,3,,1.05
20171209,1.31,1.38,1.01,1.21,4,,1.19
20171208,1.44,1.47,1.13,1.32,97,,1.30
20171207,0.945620,1.46,0.679666,1.43,11644,,1.07
20171206,0.812365,1.12,0.741602,0.931441,51922,,0.93
20171205,0.897703,0.899130,0.813719,0.816170,12,,0.86
20171204,0.857486,1.01,0.696452,0.888765,9035,,0.85
20171203,0.733679,0.980506,0.665659,0.866100,2341,,0.82
20171202,0.458039,0.799821,0.449971,0.728294,69648,,0.62
20171201,0.358508,0.459472,0.334955,0.459472,23319,,0.40
20171130,0.321312,0.375911,0.301869,0.360425,48845,,0.34
20171129,0.392552,0.445228,0.315676,0.321154,1,,0.38
20171128,0.308338,0.400817,0.288058,0.390942,21747,,0.34
20171127,0.256508,0.426307,0.256508,0.311628,28380,,0.34
20171126,0.229687,0.311476,0.198173,0.254033,3821,,0.25
20171125,0.214245,0.275664,0.214245,0.228599,2287,,0.24
20171124,0.202015,0.253018,0.177085,0.213375,10674,,0.22
20171123,0.252310,0.252310,0.203975,0.203975,17560,,0.23
20171122,0.270476,0.281755,0.237239,0.250360,13768,,0.26
20171121,0.180494,0.269713,0.180494,0.251862,8304,,0.23
20171120,0.153894,0.194449,0.149886,0.180499,6178,,0.17
20171119,0.156380,0.160059,0.151399,0.155335,4937,,0.16
20171118,0.139886,0.151429,0.138047,0.151429,2224,,0.14
20171117,0.136853,0.141143,0.135783,0.139271,6514,,0.14
20171116,0.132709,0.144234,0.131179,0.139063,6491,,0.14
20171115,0.135739,0.139241,0.132550,0.137991,3802,,0.14
20171114,0.127884,0.136538,0.124775,0.134166,1807,,0.13
20171113,0.124222,0.131840,0.122598,0.127338,3357,,0.13
20171112,0.132812,0.134109,0.117290,0.120287,3140,,0.13
20171111,0.128047,0.139462,0.119458,0.136259,2968,,0.13
20171110,0.142392,0.144037,0.122945,0.128898,3682,,0.13
20171109,0.129618,0.150492,0.129400,0.142841,2800,,0.14
20171108,0.121511,0.129394,0.115874,0.127963,3871,,0.12
20171107,0.115475,0.118351,0.112648,0.117549,4619,,0.12
20171106,0.110955,0.117674,0.110558,0.111398,6597,,0.11
20171105,0.112271,0.117168,0.110176,0.114220,1616,,0.11
20171104,0.113126,0.116237,0.111517,0.113333,2442,,0.11
20171103,0.118067,0.140537,0.112739,0.115181,4744,,0.13
20171102,0.110347,0.128307,0.102397,0.122460,3695,,0.12
20171101,0.115799,0.117606,0.110667,0.112375,796,,0.11
20171031,0.117346,0.118580,0.115538,0.116610,11090,,0.12
20171030,0.118592,0.119312,0.116282,0.117024,4825,,0.12
20171029,0.116459,0.121991,0.115673,0.119015,3781,,0.12
20171028,0.119300,0.120738,0.110790,0.110804,4689,,0.12
20171027,0.121219,0.121219,0.116232,0.118684,6826,,0.12
20171026,0.123490,0.125830,0.118808,0.120200,1771,,0.12
20171025,0.123630,0.123630,0.118756,0.121678,1409,,0.12
20171024,0.122665,0.130920,0.120970,0.122239,1074,,0.13
20171023,0.121899,0.121899,0.113210,0.116498,2933,,0.12
20171022,0.123544,0.128664,0.119917,0.122249,696,,0.12
20171021,0.125367,0.126677,0.116793,0.124427,1527,,0.12
20171020,0.130296,0.133245,0.124836,0.126137,2102,,0.13
20171019,0.126377,0.131958,0.122476,0.130229,1008,,0.13
20171018,0.132581,0.134047,0.122902,0.133511,1327,,0.13
20171017,0.135457,0.138091,0.131606,0.134224,1946,,0.13
20171016,0.134591,0.149853,0.129898,0.138360,4211,,0.14
20171015,0.140618,0.140618,0.129575,0.134311,1647,,0.14
20171014,0.110372,0.148793,0.109512,0.137571,8675,,0.13
20171013,0.109240,0.111161,0.102296,0.111161,5545,,0.11
20171012,0.131477,0.134328,0.103085,0.109640,2637,,0.12
20171011,0.131663,0.135222,0.125031,0.133539,3791,,0.13
20171010,0.133137,0.141153,0.129169,0.133120,822,,0.14
20171009,0.136272,0.139113,0.121213,0.125408,2186,,0.13
20171008,0.164003,0.164180,0.134794,0.137781,3549,,0.15
20171007,0.132586,0.169413,0.132127,0.160108,2296,,0.15
20171006,0.127620,0.141134,0.124502,0.132632,4244,,0.13
20171005,0.124025,0.128573,0.119864,0.126317,2677,,0.12
20171004,0.133578,0.134269,0.124744,0.126377,3895,,0.13
20171003,0.141871,0.141901,0.126375,0.133735,2322,,0.13
20171002,0.144022,0.220945,0.137643,0.142366,5166,,0.18
20171001,0.150868,0.231283,0.143821,0.146323,7982,,0.19
20170930,0.140285,0.151663,0.138518,0.151663,1033,,0.15
20170929,0.137705,0.145258,0.132125,0.141200,5615,,0.14
20170928,0.152524,0.157253,0.135435,0.144779,8857,,0.15
20170927,0.131112,0.147459,0.130813,0.147459,1162,,0.14
20170926,0.130197,0.136974,0.125225,0.131622,2349,,0.13
20170925,0.121124,0.128020,0.120028,0.127193,7716,,0.12
20170924,0.122052,0.122052,0.118023,0.119215,4966,,0.12
20170923,0.116754,0.126911,0.115478,0.123362,678,,0.12
20170922,0.119922,0.121713,0.109907,0.117641,1455,,0.12
20170921,0.134759,0.134919,0.115384,0.118226,1460,,0.13
20170920,0.133460,0.143120,0.131340,0.133664,900,,0.14
20170919,0.145002,0.145242,0.134662,0.138520,1559,,0.14
20170918,0.143195,0.156591,0.143195,0.151822,2433,,0.15
20170917,0.134532,0.146569,0.116714,0.137357,625,,0.13
20170916,0.140182,0.142402,0.124531,0.135052,1980,,0.13
20170915,0.122880,0.145542,0.090020,0.137402,2542,,0.12
20170914,0.155220,0.155220,0.117523,0.117863,1872,,0.14
20170913,0.169255,0.169255,0.144240,0.154780,1176,,0.16
20170912,0.169156,0.188340,0.163643,0.169414,945,,0.18
20170911,0.178500,0.179870,0.162082,0.169496,1901,,0.17
20170910,0.183184,0.183220,0.153137,0.178500,2351,,0.17
