date,open,high,low,close,volume,marketcap,average
20180110,0.206089,0.222088,0.151416,0.161204,15622000,502468000,0.19
20180109,0.146408,0.246579,0.143471,0.211249,30800100,356959000,0.20
20180108,0.137468,0.163401,0.126285,0.148054,10739500,335125000,0.14
20180107,0.151302,0.168795,0.135759,0.138766,7030130,367606000,0.15
20180106,0.175205,0.185289,0.147311,0.151370,7577750,425682000,0.17
20180105,0.147360,0.211928,0.132436,0.179656,19192400,358028000,0.17
20180104,0.095074,0.154594,0.087777,0.144899,10084300,230994000,0.12
20180103,0.098882,0.103928,0.090534,0.093791,7173600,240247000,0.10
20180102,0.066600,0.101463,0.066274,0.098712,21009200,161813000,0.08
20180101,0.062706,0.074348,0.051035,0.067488,4057350,152352000,0.06
20171231,0.043232,0.072469,0.043232,0.061238,5270940,104872000,0.06
20171230,0.050716,0.053515,0.039020,0.046059,1116000,123027000,0.05
20171229,0.039057,0.056605,0.036399,0.053627,2808230,94745100,0.05
20171228,0.032558,0.041773,0.032558,0.038674,1766170,78979500,0.04
20171227,0.028207,0.034014,0.025718,0.034014,1094110,68424100,0.03
20171226,0.027852,0.032575,0.020987,0.028179,1116930,67562400,0.03
20171225,0.023844,0.028324,0.021563,0.027888,426157,,0.02
20171224,0.023298,0.026789,0.019748,0.024863,482241,,0.02
20171223,0.023323,0.025613,0.020573,0.023048,294605,,0.02
20171222,0.026214,0.027799,0.018022,0.023106,188377,,0.02
20171221,0.025360,0.030191,0.016309,0.026098,902528,,0.02
20171220,0.016186,0.031434,0.014483,0.016157,330757,,0.02
