date,open,high,low,close,volume,marketcap,average
20180110,0.812041,0.917523,0.672452,0.829851,185058,2842140,0.79
20180109,1.08,1.10,0.667967,0.810600,301348,3784690,0.88
20180108,0.771695,1.37,0.771695,1.08,275838,2700930,1.07
20180107,0.560385,1.11,0.470780,0.933852,204717,1961350,0.79
20180106,0.399754,1.15,0.391142,0.560756,110498,1399140,0.77
20180105,0.261896,0.428133,0.259609,0.399238,37958,916635,0.34
20180104,0.130505,0.380425,0.113151,0.262075,69895,456767,0.25
20180103,0.095558,0.129827,0.082864,0.129364,23060,334454,0.11
20180102,0.064661,0.109734,0.058803,0.086655,50183,226314,0.08
20180101,0.047946,0.066925,0.046464,0.064637,28723,167811,0.06
20171231,0.063148,0.068224,0.045468,0.047825,10153,221019,0.06
20171230,0.069163,0.078366,0.054688,0.063810,29537,242071,0.07
20171229,0.057647,0.082082,0.051790,0.069322,7614,201766,0.07
20171228,0.062833,0.084784,0.053954,0.057106,6495,219915,0.07
20171227,0.063050,0.086323,0.059342,0.062955,16946,220676,0.07
20171226,0.068963,0.112827,0.050963,0.062973,18959,241371,0.08
20171225,0.048900,0.115487,0.039102,0.069017,36336,171150,0.08
20171224,0.043135,0.048998,0.033884,0.048416,1453,150973,0.04
20171223,0.058367,0.062315,0.026190,0.042644,1411,204284,0.04
20171222,0.076020,0.076768,0.030639,0.057821,1134,266069,0.05
20171221,0.088468,0.091304,0.053935,0.075757,2071,309638,0.07
20171220,0.047759,0.089995,0.042902,0.088355,2486,167156,0.07
20171219,0.054455,0.079020,0.043283,0.047809,455,190591,0.06
20171218,0.066733,0.106768,0.054132,0.054503,6282,233565,0.08
20171217,0.047324,0.066953,0.030629,0.066727,2116,165635,0.05
20171216,0.040242,0.047624,0.029216,0.047241,3936,140848,0.04
20171215,0.030416,0.040627,0.028701,0.040183,1349,106454,0.03
20171214,0.031212,0.054740,0.030362,0.030437,2538,109242,0.04
20171213,0.036361,0.038123,0.025213,0.031284,1517,127264,0.03
20171212,0.029621,0.037364,0.019713,0.036335,657,103672,0.03
20171211,0.028342,0.032684,0.027338,0.029643,2062,99198,0.03
20171210,0.024575,0.032565,0.021956,0.028365,589,86013,0.03
20171209,0.035875,0.036395,0.022171,0.024477,1216,125562,0.03
20171208,0.026059,0.038900,0.023017,0.035910,7645,91207,0.03
20171207,0.029473,0.036057,0.022789,0.025998,806,103155,0.03
20171206,0.036646,0.038660,0.025459,0.029525,1905,128263,0.03
20171205,0.038467,0.039035,0.024650,0.036726,3577,134635,0.03
20171204,0.035766,0.039779,0.023326,0.038394,5926,125181,0.03
20171203,0.034967,0.040406,0.029333,0.035545,8214,122385,0.03
20171202,0.034584,0.044448,0.031961,0.034935,59524,121044,0.04
20171201,0.031846,0.046862,0.024412,0.034612,122344,111460,0.04
20171130,0.041785,0.044771,0.022670,0.031934,27909,146248,0.03
20171129,0.043760,0.055252,0.035016,0.041156,172842,153161,0.05
20171128,0.049244,0.085556,0.042725,0.056646,200959,172352,0.06
20171127,0.068484,0.087380,0.045711,0.056167,251587,239695,0.07
20171126,0.075589,0.084349,0.057247,0.068493,3627,264560,0.07
20171125,0.085738,0.095629,0.071847,0.075600,10005,300085,0.08
20171124,0.087357,0.105686,0.070979,0.085851,22887,305748,0.09
20171123,0.064809,0.118663,0.060397,0.087666,82611,226833,0.09
20171122,0.058174,0.070205,0.046566,0.064661,24333,203610,0.06
20171121,0.106925,0.117455,0.048326,0.058100,29579,374239,0.08
20171120,0.075867,0.138045,0.065716,0.107094,79536,,0.10
20171119,0.090608,0.096489,0.048295,0.075948,93337,,0.07
