date,open,high,low,close,volume,marketcap,average
20180110,0.167419,0.180104,0.110752,0.145767,490,,0.15
20180109,0.130662,0.168834,0.130662,0.167347,323,,0.15
20180108,0.134216,0.140983,0.111531,0.131035,33,,0.13
20180107,0.119744,0.128848,0.119449,0.125562,178,,0.12
20180106,0.150134,0.151477,0.119046,0.119792,216,,0.14
20180105,0.146626,0.157655,0.145014,0.149409,109,,0.15
20180104,0.141586,0.154304,0.135184,0.147233,107,,0.14
20180103,0.142154,0.145659,0.013566,0.141361,430,,0.08
20180102,0.136096,0.157623,0.011733,0.141497,30,,0.08
20180101,0.010377,0.152470,0.010267,0.135780,130,,0.08
20171231,0.104133,0.140666,0.010316,0.010390,29,,0.08
20171230,0.118326,0.158852,0.099982,0.105050,99,,0.13
20171229,0.165172,0.165998,0.106636,0.154074,1445,,0.14
20171228,0.125870,0.164182,0.028384,0.164182,892,,0.10
20171227,0.131147,0.132764,0.120402,0.126079,15,,0.13
20171226,0.126392,0.131693,0.014874,0.130849,562,,0.07
20171225,0.054258,0.136501,0.054236,0.126346,505,,0.10
20171224,0.014215,0.131234,0.013847,0.053991,128,,0.07
20171223,0.144651,0.160142,0.014048,0.014048,960,,0.09
20171222,0.141694,0.155507,0.008803,0.140795,344,,0.08
20171221,0.143751,0.151146,0.137002,0.141159,127,,0.14
20171220,0.145880,0.148179,0.129234,0.143598,501,,0.14
20171219,0.141002,0.150937,0.014292,0.146036,854,,0.08
20171218,0.129211,0.141762,0.116100,0.141335,42,,0.13
20171217,0.138795,0.144530,0.092054,0.129381,132,,0.12
20171216,0.136784,0.143010,0.135833,0.138408,56,,0.14
20171215,0.124957,0.148738,0.109557,0.136528,159,,0.13
20171214,0.090796,0.124931,0.085504,0.124840,278,,0.11
20171213,0.099108,0.155679,0.083529,0.090843,424,,0.12
20171212,0.072000,0.099746,0.070142,0.099040,55,,0.08
20171211,0.061308,0.072464,0.061236,0.072464,61,,0.07
20171210,0.109173,0.109173,0.058509,0.061239,36,,0.08
20171209,0.104080,0.117101,0.104080,0.108823,223,,0.11
20171208,0.096716,0.106330,0.094787,0.104082,28,,0.10
20171207,0.084690,0.096989,0.081700,0.096576,26,,0.09
20171206,0.090954,0.091295,0.083270,0.084985,42,,0.09
20171205,0.085349,0.092585,0.082166,0.091114,95,,0.09
20171204,0.115762,0.116629,0.081927,0.085305,58,,0.10
20171203,0.114438,0.115420,0.081872,0.084582,206,,0.10
20171202,0.092368,0.117743,0.092368,0.114399,404,,0.11
20171201,0.117797,0.121292,0.091480,0.092371,13,,0.11
20171130,0.127130,0.134579,0.067427,0.118090,102,,0.10
20171129,0.130550,0.143028,0.115794,0.125523,67,,0.13
20171128,0.133009,0.170391,0.069088,0.130446,151,,0.12
20171127,0.210342,0.218931,0.091460,0.133192,168,,0.16
20171126,0.223210,0.223210,0.090377,0.210395,261,,0.16
20171125,0.093998,0.226188,0.005563,0.223202,816,,0.12
20171124,0.081532,0.099068,0.080013,0.094013,96,,0.09
20171123,0.076086,0.087710,0.075126,0.081943,82,,0.08
20171122,0.118536,0.134765,0.073773,0.075912,371,,0.10
20171121,0.061388,0.118553,0.058680,0.118385,605,,0.09
20171120,0.059215,0.062202,0.059194,0.061485,5,,0.06
20171119,0.097033,0.103403,0.058184,0.059279,60,,0.08
20171118,0.099459,0.099459,0.052768,0.097284,592,,0.08
20171117,0.102336,0.102993,0.050738,0.099609,384,,0.08
20171116,0.100412,0.103679,0.097050,0.102407,46,,0.10
20171115,0.109243,0.112134,0.051182,0.100490,174,,0.08
20171114,0.110269,0.113871,0.076998,0.109183,1176,,0.10
20171113,0.073394,0.110330,0.073394,0.110274,205,,0.09
20171112,0.124683,0.124683,0.071776,0.073277,76,,0.10
20171111,0.118950,0.128109,0.092863,0.124668,193,,0.11
20171110,0.146993,0.160292,0.088755,0.119292,1019,,0.12
20171109,0.156988,0.163231,0.093741,0.146923,334,,0.13
20171108,0.070143,0.158424,0.069862,0.157839,1625,,0.11
20171107,0.118929,0.120625,0.069066,0.070192,194,,0.09
20171106,0.089500,0.135158,0.073184,0.118752,340,,0.10
20171105,0.090299,0.142598,0.089112,0.089416,36,,0.12
20171104,0.173724,0.173724,0.089749,0.090182,660,,0.13
20171103,0.127337,0.174410,0.059456,0.173695,1289,,0.12
20171102,0.119857,0.127638,0.093263,0.126715,320,,0.11
20171101,0.179762,0.180324,0.093191,0.119525,1903,,0.14
20171031,0.168751,0.180884,0.140656,0.180094,1212,,0.16
20171030,0.180938,0.185494,0.152244,0.168658,20,,0.17
20171029,0.196877,0.208445,0.152378,0.181301,161,,0.18
20171028,0.198902,0.199604,0.117814,0.196960,1709,,0.16
20171027,0.159780,0.201731,0.146581,0.198723,4318,,0.17
20171026,0.201789,0.252925,0.147160,0.159860,2175,,0.20
20171025,0.201908,0.204536,0.090282,0.202222,190,,0.15
20171024,0.108287,0.213538,0.091547,0.201729,651,,0.15
20171023,0.203216,0.249644,0.104919,0.108360,997,,0.18
20171022,0.209682,0.219787,0.140533,0.203334,306,,0.18
20171021,0.235110,0.238492,0.096342,0.209689,1261,,0.17
20171020,0.215264,0.243200,0.122709,0.235414,2563,,0.18
20171019,0.214869,0.217857,0.214556,0.215439,2402,,0.22
