date,open,high,low,close,volume,marketcap,average
20180110,1.05,1.08,0.879831,1.04,5872130,86455200,0.98
20180109,1.04,1.16,0.983496,1.04,9343860,85783000,1.07
20180108,0.970286,1.05,0.814373,1.04,5382620,79812100,0.93
20180107,0.949130,1.06,0.949130,0.972014,3793000,78072000,1.00
20180106,0.934654,1.05,0.853366,0.950371,6649420,76881200,0.95
20180105,0.982435,1.05,0.878013,0.926000,8341230,80811500,0.96
20180104,0.894684,1.06,0.808302,0.993629,9069430,73593400,0.93
20180103,0.861499,0.922179,0.797741,0.887689,5110940,70863700,0.86
20180102,0.923670,0.980606,0.778136,0.872731,12644500,75977700,0.88
20180101,0.862293,1.13,0.827561,0.916816,19356500,70929000,0.98
20171231,0.546972,1.07,0.543458,0.897160,28842300,44991900,0.81
20171230,0.648256,0.648256,0.532686,0.553776,2937030,53323100,0.59
20171229,0.642886,0.721505,0.627779,0.650707,3511920,52881500,0.67
20171228,0.642564,0.658496,0.524955,0.650233,3141770,52855000,0.59
20171227,0.614258,0.727837,0.511185,0.643759,7640100,50526600,0.62
20171226,0.652688,0.669692,0.533947,0.618803,6432090,53687700,0.60
20171225,0.678099,0.786654,0.620396,0.662142,8959470,55778000,0.70
20171224,0.570018,0.722376,0.505320,0.673652,8751110,46887600,0.61
20171223,0.440679,0.654544,0.427887,0.563562,3909600,36248600,0.54
20171222,0.581676,0.585164,0.320870,0.436264,3402620,47846500,0.45
20171221,0.444678,0.593563,0.444678,0.572794,4920530,36577600,0.52
20171220,0.448988,0.467444,0.391914,0.443214,2270460,36932100,0.43
20171219,0.459797,0.528764,0.408662,0.451361,3744920,37821200,0.47
20171218,0.395714,0.498668,0.374894,0.460633,3052980,32550000,0.44
20171217,0.365969,0.398862,0.349542,0.394344,1936930,30103300,0.37
20171216,0.335764,0.365589,0.322847,0.364828,1089640,27618700,0.34
20171215,0.338560,0.361160,0.291016,0.330816,1359790,27848700,0.33
20171214,0.333821,0.377716,0.316686,0.338189,1525220,27458900,0.35
20171213,0.337785,0.412044,0.322067,0.340493,2750390,27784900,0.37
20171212,0.262269,0.478236,0.256182,0.331844,7190660,21573300,0.37
20171211,0.246257,0.297519,0.245900,0.261697,776365,20256200,0.27
20171210,0.280846,0.281981,0.224634,0.246977,549688,23101400,0.25
20171209,0.278139,0.332388,0.263894,0.279707,1064980,22878700,0.30
20171208,0.296780,0.297646,0.237871,0.279243,976334,24412000,0.27
20171207,0.303031,0.344991,0.281655,0.299337,1329930,24926300,0.31
20171206,0.342760,0.360508,0.297110,0.303942,1985620,28194200,0.33
20171205,0.325716,0.367246,0.307645,0.342512,2440940,26792200,0.34
20171204,0.263604,0.337521,0.260562,0.322904,2013020,21683100,0.30
20171203,0.265540,0.299171,0.248860,0.262734,694718,21842300,0.27
20171202,0.270697,0.270697,0.245015,0.264791,913606,22266600,0.26
20171201,0.227383,0.276688,0.210501,0.276688,1295130,18703700,0.24
20171130,0.219978,0.246176,0.199634,0.219678,361080,18094600,0.22
20171129,0.286970,0.301716,0.210518,0.216696,1167220,23605100,0.26
20171128,0.268202,0.285120,0.241240,0.279769,1466500,22061300,0.26
20171127,0.289106,0.292671,0.248838,0.270254,1757630,23780800,0.27
20171126,0.230442,0.306353,0.210143,0.290826,2823200,18955300,0.26
20171125,0.223593,0.246393,0.220021,0.229483,858022,18391900,0.23
20171124,0.193270,0.238128,0.187417,0.225424,1085760,15897700,0.21
20171123,0.183442,0.197963,0.181884,0.192828,201527,15089300,0.19
20171122,0.181404,0.197949,0.180821,0.183421,213560,14921600,0.19
20171121,0.177348,0.192842,0.165863,0.180421,304745,14588000,0.18
20171120,0.162171,0.203645,0.155634,0.172421,901060,13339600,0.18
20171119,0.150368,0.171888,0.150010,0.164478,364406,12368700,0.16
20171118,0.145324,0.158092,0.141702,0.150647,133492,11953800,0.15
20171117,0.153979,0.158047,0.140288,0.145884,144186,12665800,0.15
20171116,0.158383,0.174001,0.151519,0.154501,390447,13028000,0.16
20171115,0.160327,0.166850,0.151124,0.157364,298945,13187900,0.16
20171114,0.151686,0.161857,0.150342,0.160217,223632,12477100,0.16
20171113,0.128142,0.151617,0.128142,0.151617,204799,10540500,0.14
20171112,0.147045,0.150710,0.123860,0.129509,197635,12095400,0.14
20171111,0.155262,0.161433,0.145807,0.147154,190291,12771300,0.15
20171110,0.160071,0.173400,0.148315,0.156035,374900,13166800,0.16
20171109,0.161124,0.166673,0.154538,0.159280,260065,13253500,0.16
20171108,0.149920,0.178340,0.140290,0.159436,430385,12331900,0.16
20171107,0.139106,0.155073,0.139106,0.150392,178363,11442400,0.15
20171106,0.142039,0.163006,0.138424,0.139592,311675,11683600,0.15
20171105,0.133298,0.167041,0.132342,0.141339,445543,10964600,0.15
20171104,0.136759,0.138714,0.129942,0.133448,88973,11249300,0.13
20171103,0.127261,0.138762,0.123854,0.137541,144863,10468000,0.13
20171102,0.137473,0.143852,0.119538,0.126837,322419,11308000,0.13
20171101,0.149413,0.150544,0.134751,0.137356,156868,12290200,0.14
20171031,0.146491,0.157200,0.145623,0.149522,196350,12049800,0.15
20171030,0.142765,0.149679,0.140822,0.146990,75364,11743300,0.15
20171029,0.137728,0.149575,0.137337,0.143355,163535,11329000,0.14
20171028,0.136354,0.154659,0.133373,0.137918,291709,11216000,0.14
20171027,0.129964,0.135066,0.125973,0.134721,154856,10690300,0.13
20171026,0.142246,0.146189,0.126754,0.129606,215740,11700600,0.14
20171025,0.140074,0.149584,0.134814,0.141536,190504,11522000,0.14
20171024,0.126990,0.167832,0.117184,0.140018,492805,10445700,0.14
20171023,0.127663,0.141137,0.124239,0.127270,172849,10501100,0.13
20171022,0.120395,0.133164,0.116480,0.128375,123638,9903240,0.12
20171021,0.130597,0.134498,0.117172,0.120360,89469,10742400,0.13
20171020,0.120354,0.135018,0.119668,0.131140,291911,9899880,0.13
20171019,0.128400,0.133122,0.117927,0.120320,153567,10561700,0.13
20171018,0.132337,0.132885,0.119404,0.128334,126946,10885600,0.13
20171017,0.142645,0.145969,0.127050,0.132322,158453,11733400,0.14
20171016,0.138152,0.147942,0.135071,0.143356,90315,11363900,0.14
20171015,0.146441,0.155896,0.132510,0.138134,205071,12045700,0.14
20171014,0.130940,0.156784,0.125131,0.148400,211656,10770700,0.14
20171013,0.136839,0.136839,0.109112,0.129874,390839,11255800,0.12
20171012,0.128894,0.142753,0.127379,0.136418,283523,10602300,0.14
20171011,0.127485,0.135265,0.123680,0.128785,199781,10486500,0.13
20171010,0.133607,0.136973,0.124015,0.127512,181451,10990000,0.13
20171009,0.136324,0.142284,0.121330,0.133617,318679,11213500,0.13
20171008,0.150633,0.153029,0.132806,0.136289,245336,12390500,0.14
20171007,0.150498,0.155297,0.147224,0.151293,90807,12379400,0.15
20171006,0.153209,0.160366,0.150489,0.150579,70171,12602400,0.16
20171005,0.155572,0.160045,0.150356,0.153209,119788,12796800,0.16
20171004,0.153989,0.162337,0.153125,0.155375,223940,12666600,0.16
20171003,0.155514,0.160869,0.144818,0.153634,300868,12792000,0.15
20171002,0.161833,0.166121,0.154068,0.155509,270732,13311800,0.16
20171001,0.178726,0.182993,0.161770,0.161770,501033,14701400,0.17
20170930,0.157519,0.187238,0.155426,0.178630,663186,12957000,0.17
20170929,0.159653,0.162097,0.150762,0.156213,226647,13132500,0.16
20170928,0.165924,0.169297,0.155130,0.159779,258284,13648300,0.16
20170927,0.158705,0.170715,0.152285,0.165514,434746,13054500,0.16
20170926,0.163480,0.163877,0.155114,0.157707,244748,13447300,0.16
20170925,0.140126,0.173301,0.139465,0.163121,386547,11526300,0.16
20170924,0.147916,0.147916,0.138850,0.140393,216792,12167000,0.14
20170923,0.148015,0.151235,0.145764,0.148861,89505,12175200,0.15
20170922,0.145465,0.157733,0.135798,0.149179,381379,11965400,0.15
20170921,0.170760,0.183383,0.143893,0.145109,1054690,14046100,0.16
20170920,0.185704,0.192517,0.162123,0.172288,1956980,15275300,0.18
20170919,0.152161,0.196338,0.138315,0.190986,2459790,12516200,0.17
20170918,0.135283,0.153709,0.132785,0.153286,696649,11127900,0.14
20170917,0.129422,0.146667,0.117500,0.135939,708855,10645800,0.13
20170916,0.130915,0.136460,0.113878,0.130309,437172,10768600,0.13
20170915,0.121172,0.135304,0.092679,0.130858,1073020,9967200,0.11
20170914,0.148605,0.154767,0.120143,0.120143,286476,12223700,0.14
20170913,0.163907,0.164295,0.142141,0.148993,287780,13482400,0.15
20170912,0.170793,0.177632,0.161881,0.164736,317722,14048800,0.17
20170911,0.179399,0.182801,0.168347,0.170682,397520,14756700,0.18
20170910,0.186257,0.186565,0.170819,0.179828,191826,15320800,0.18
20170909,0.183603,0.190919,0.174868,0.186714,216458,15102500,0.18
20170908,0.205123,0.206715,0.172077,0.183248,294540,16872600,0.19
20170907,0.198837,0.210215,0.188337,0.205081,349145,16355600,0.20
20170906,0.185615,0.211250,0.185430,0.199218,608122,15268000,0.20
20170905,0.187528,0.195538,0.167445,0.185046,461522,15425400,0.18
20170904,0.211917,0.221254,0.177311,0.186321,605225,17431500,0.20
20170903,0.218490,0.233177,0.203807,0.211850,452621,17972200,0.22
20170902,0.222648,0.254701,0.210838,0.218255,1480960,18314200,0.23
20170901,0.218228,0.226478,0.211324,0.223077,839000,17950600,0.22
20170831,0.214615,0.228315,0.209098,0.217960,790841,17653400,0.22
20170830,0.212978,0.223265,0.211865,0.214990,407879,17518800,0.22
20170829,0.226707,0.230791,0.205580,0.213385,921120,18648100,0.22
20170828,0.224715,0.233070,0.211517,0.226579,479540,18484200,0.22
20170827,0.219278,0.236843,0.212215,0.221914,617690,18037000,0.22
20170826,0.208540,0.225994,0.206496,0.220896,241710,17153700,0.22
20170825,0.221022,0.223943,0.203172,0.208477,316156,18180500,0.21
20170824,0.216162,0.241932,0.216162,0.221514,400482,17780700,0.23
20170823,0.207217,0.226571,0.198825,0.216696,352366,17044900,0.21
20170822,0.204861,0.211154,0.179875,0.207639,497642,16851100,0.20
20170821,0.223709,0.233587,0.203163,0.205225,445728,18401500,0.22
20170820,0.204316,0.266933,0.195019,0.224720,881497,16806200,0.23
20170819,0.187831,0.217309,0.179152,0.211405,372446,15450300,0.20
20170818,0.206288,0.208813,0.183293,0.188226,464568,16968500,0.20
20170817,0.230452,0.233819,0.206743,0.207125,424935,18956100,0.22
20170816,0.231495,0.243555,0.223011,0.230301,335618,19041900,0.23
20170815,0.249736,0.249736,0.214550,0.228792,654395,20542400,0.23
20170814,0.258780,0.282712,0.224320,0.249902,825444,21286300,0.25
20170813,0.285085,0.309859,0.234284,0.258905,1447610,23450100,0.27
20170812,0.302767,0.318426,0.263128,0.286366,1208120,24904500,0.29
20170811,0.320034,0.322166,0.290349,0.301353,857810,26324800,0.31
20170810,0.320391,0.371293,0.310355,0.321993,1984640,26354200,0.34
20170809,0.303381,0.329803,0.288662,0.321786,727090,24955000,0.31
20170808,0.297235,0.333905,0.294923,0.302237,1234630,24449500,0.31
20170807,0.245658,0.342728,0.242624,0.302892,1414720,20206900,0.29
20170806,0.267585,0.273321,0.243908,0.244934,329126,22010600,0.26
20170805,0.253845,0.278500,0.243825,0.267127,381266,20880400,0.26
20170804,0.254562,0.267104,0.242176,0.253959,347113,20939300,0.25
20170803,0.253952,0.263159,0.234852,0.254604,279604,20889100,0.25
20170802,0.238904,0.285992,0.232178,0.253499,633821,19651300,0.26
20170801,0.198245,0.250743,0.196430,0.238908,437312,16306900,0.22
20170731,0.196358,0.208754,0.193626,0.197720,251474,16151700,0.20
20170730,0.211362,0.211362,0.195068,0.196328,175323,17385800,0.20
20170729,0.197924,0.211761,0.184592,0.211761,247641,16280500,0.20
20170728,0.239902,0.244195,0.198716,0.209248,543605,19733400,0.22
20170727,0.231999,0.244043,0.227611,0.240552,141535,19083400,0.24
20170726,0.241037,0.247422,0.220424,0.231274,259681,19826800,0.23
20170725,0.290929,0.293355,0.221094,0.240638,803448,23930800,0.26
20170724,0.305104,0.327479,0.283427,0.286822,521484,25096700,0.31
20170723,0.337406,0.340998,0.286860,0.304915,541062,27753800,0.31
20170722,0.255197,0.349222,0.254973,0.337406,1136390,20991600,0.30
20170721,0.243912,0.267592,0.234147,0.255480,288303,20063300,0.25
20170720,0.198005,0.259206,0.198005,0.242051,413041,16287200,0.23
20170719,0.219811,0.233567,0.191936,0.198597,615678,18080900,0.21
20170718,0.192148,0.228945,0.181197,0.218746,697427,15805400,0.21
20170717,0.152671,0.191587,0.150566,0.191587,488688,12558200,0.17
20170716,0.149650,0.158974,0.131491,0.152312,213448,12309700,0.15
20170715,0.167608,0.171558,0.150839,0.150839,340778,13786900,0.16
20170714,0.190211,0.192910,0.156435,0.168691,275509,15646100,0.17
20170713,0.214853,0.222725,0.177307,0.191880,522703,17673000,0.20
20170712,0.177605,0.228519,0.169163,0.214983,554915,14609100,0.20
20170711,0.190918,0.204428,0.157838,0.178095,894381,15704200,0.18
20170710,0.272766,0.273160,0.186372,0.189840,946551,22436800,0.23
20170709,0.320128,0.321336,0.270486,0.272255,453030,26332600,0.30
20170708,0.284094,0.321016,0.260154,0.320450,1115600,23368600,0.29
20170707,0.364199,0.365721,0.260238,0.285929,1586710,29957600,0.31
20170706,0.409922,0.414789,0.363026,0.363902,975723,33718700,0.39
20170705,0.434731,0.444206,0.402179,0.407762,703106,35759400,0.42
20170704,0.423550,0.462616,0.423024,0.434969,1047250,34839600,0.44
20170703,0.443700,0.448193,0.380082,0.416801,1917850,36497100,0.41
20170702,0.449921,0.472224,0.384617,0.438734,2228330,37008800,0.43
20170701,0.533439,0.539005,0.416901,0.447069,2095110,43878700,0.48
20170630,0.636392,0.677932,0.488413,0.533328,5400500,52347200,0.58
20170629,0.619666,0.665805,0.531145,0.631844,3484850,50971500,0.60
20170628,0.534478,0.634631,0.505850,0.610278,1339480,43964200,0.57
20170627,0.546097,0.551429,0.436020,0.537325,1063860,44919900,0.49
20170626,0.545851,0.634555,0.416267,0.546097,2713530,44899700,0.53
20170625,0.597379,0.601517,0.517805,0.547934,937761,49138200,0.56
20170624,0.648303,0.677744,0.565417,0.599231,1201860,53327000,0.62
20170623,0.602398,0.675182,0.571319,0.643179,1281830,49551000,0.62
20170622,0.606399,0.678027,0.588016,0.602916,2215970,49880100,0.63
20170621,0.563691,0.658549,0.531430,0.606321,2724170,46367200,0.59
20170620,0.525283,0.607728,0.511666,0.565957,2025500,43207800,0.56
20170619,0.457865,0.550199,0.456580,0.525699,1292390,37662300,0.50
20170618,0.463513,0.480816,0.455816,0.458573,568683,38126900,0.47
20170617,0.470697,0.492610,0.454228,0.463532,612267,38717800,0.47
20170616,0.437027,0.487053,0.410807,0.470661,652242,35948200,0.45
20170615,0.445600,0.465321,0.363808,0.435999,613582,36653400,0.41
20170614,0.499680,0.519745,0.430223,0.449073,762177,41101800,0.47
20170613,0.473095,0.535251,0.469408,0.497680,901041,38915100,0.50
20170612,0.558364,0.602057,0.432115,0.479004,1077980,45929000,0.52
20170611,0.573089,0.579492,0.527541,0.557113,1159990,47140200,0.55
20170610,0.593529,0.655401,0.537685,0.579649,2632920,48821500,0.60
20170609,0.534308,0.602992,0.519974,0.592918,2508850,43950200,0.56
20170608,0.421932,0.542579,0.412548,0.534272,1551680,34706600,0.48
20170607,0.463964,0.533306,0.420441,0.423010,1914480,38164000,0.48
20170606,0.459484,0.492789,0.392224,0.463864,2249880,37795500,0.44
20170605,0.397044,0.497972,0.390846,0.456612,3594370,32659400,0.44
