date,open,high,low,close,volume,marketcap,average
20180110,0.388478,0.587036,0.374145,0.587036,14445,12709300,0.48
20180109,0.399388,0.462236,0.381637,0.387970,2612,13065700,0.42
20180108,0.431551,0.433479,0.377438,0.400479,50,14116900,0.41
20180107,0.447394,0.498204,0.421557,0.432156,1506,14634700,0.46
20180106,0.509010,0.512385,0.490392,0.502243,2,16649000,0.50
20180105,0.448300,0.512913,0.440648,0.508605,18,14662600,0.48
20180104,0.456323,0.463666,0.380582,0.448211,1069,14924500,0.42
20180103,0.395367,0.454719,0.393278,0.453837,3328,12930700,0.42
20180102,0.403287,0.416053,0.389368,0.400092,88,13188600,0.40
20180101,0.417342,0.417953,0.385669,0.403318,197,13647700,0.40
20171231,0.330958,0.443642,0.327668,0.415734,12495,10822400,0.39
20171230,0.404432,0.417710,0.306283,0.334571,5814,13224400,0.36
20171229,0.339900,0.415140,0.335464,0.405452,14,11113700,0.38
20171227,0.442961,0.463156,0.411758,0.418801,1,14482000,0.44
20171226,0.334312,0.484185,0.334312,0.442640,1884,10929300,0.41
20171225,0.292163,0.336584,0.275147,0.334653,47,9550940,0.31
20171224,0.302937,0.302937,0.260634,0.289160,5557,9902700,0.28
20171223,0.285998,0.324744,0.281978,0.299629,5758,9348500,0.30
20171222,0.325888,0.329099,0.237388,0.283322,5445,10651900,0.28
20171221,0.341862,0.360598,0.314146,0.324763,6241,11173500,0.34
20171220,0.365413,0.369907,0.326954,0.340970,6553,11942400,0.35
20171219,0.403718,0.405164,0.319656,0.365773,7030,13193200,0.36
20171218,0.413249,0.413249,0.327608,0.403376,7446,13503900,0.37
20171217,0.343764,0.426710,0.339752,0.412001,6853,11232400,0.38
20171216,0.352937,0.413222,0.340416,0.343719,6106,11531500,0.38
20171215,0.331753,0.423499,0.331689,0.352442,13243,10838700,0.38
20171214,0.409714,0.414623,0.327621,0.331255,23391,13384900,0.37
20171213,0.466452,0.472643,0.408133,0.411034,37747,15237700,0.44
20171212,0.454590,0.479484,0.443933,0.466062,987,14849000,0.46
20171211,0.411668,0.472613,0.409869,0.453135,960,13446000,0.44
20171210,0.419547,0.470051,0.369347,0.414662,878,13702400,0.42
20171209,0.487915,0.507359,0.377882,0.417853,5897,15934200,0.44
20171208,0.520488,0.528250,0.395842,0.488407,4455,16995800,0.46
20171207,0.444778,0.603936,0.420762,0.519440,9582,14523000,0.51
20171206,0.436439,0.510643,0.389163,0.445544,13270,14250100,0.45
20171205,0.435828,0.446295,0.345858,0.437408,12397,14229600,0.40
20171204,0.281044,0.455039,0.281044,0.434972,50706,9175630,0.37
20171203,0.229675,0.280358,0.229675,0.280116,3020,7498210,0.26
20171202,0.233469,0.252215,0.217381,0.229456,4854,7621780,0.23
20171201,0.230840,0.254599,0.153021,0.233668,5717,7535620,0.20
20171130,0.196672,0.296549,0.181982,0.231990,21728,6419980,0.24
20171129,0.192503,0.198246,0.132089,0.193697,16266,6283600,0.17
20171128,0.134136,0.215098,0.132840,0.192695,12151,4378080,0.17
20171127,0.128750,0.138662,0.124257,0.133790,7729,4202140,0.13
20171126,0.116063,0.152585,0.112691,0.128725,5860,3787920,0.13
20171125,0.125284,0.150481,0.114960,0.116102,4713,4088440,0.13
20171124,0.122645,0.127253,0.120307,0.125538,7710,4002140,0.12
20171123,0.125516,0.126129,0.122813,0.122813,7543,4095650,0.12
20171122,0.125931,0.130141,0.123665,0.125556,7711,4109010,0.13
20171121,0.146945,0.147045,0.120872,0.125625,3906,4794450,0.13
20171120,0.144781,0.147720,0.142223,0.146918,179,4723690,0.14
20171119,0.144914,0.177371,0.138613,0.144849,2173,4727780,0.16
20171118,0.132289,0.170760,0.129945,0.145184,1506,4315700,0.15
20171117,0.133438,0.136578,0.128715,0.132798,623,4353040,0.13
20171116,0.167970,0.169317,0.084960,0.133657,1509,5479330,0.13
20171115,0.152133,0.168449,0.138583,0.167095,1920,4962490,0.15
20171114,0.150275,0.154650,0.131843,0.152029,2489,4901620,0.14
20171113,0.139373,0.159672,0.138287,0.149957,6305,4545850,0.15
20171112,0.129005,0.147616,0.115031,0.139170,902,4207500,0.13
20171111,0.131497,0.153422,0.126378,0.129100,911,4288600,0.14
20171110,0.164106,0.168841,0.130519,0.131967,6798,5351900,0.15
20171109,0.156890,0.171170,0.148122,0.163620,97,5116400,0.16
20171108,0.140615,0.200799,0.139779,0.157052,3431,4585460,0.17
20171107,0.198957,0.205870,0.135218,0.141058,2632,6487760,0.17
20171106,0.132765,0.210112,0.127364,0.199276,5712,4329140,0.17
20171105,0.164503,0.205717,0.131007,0.132470,2042,5363810,0.17
