date,open,high,low,close,volume,marketcap,average
20180110,0.000146,0.000149,0.000005,0.000005,12,,0.00
20180109,0.000151,0.000154,0.000144,0.000146,1,,0.00
20180108,0.000163,0.000163,0.000142,0.000151,126,,0.00
20180107,0.000172,0.000172,0.000159,0.000163,16,,0.00
20171230,0.000145,0.000145,0.000122,0.000131,13,,0.00
20171229,0.000146,0.000147,0.000144,0.000145,29,,0.00
20171228,0.000155,0.000156,0.000138,0.000144,7,,0.00
20171227,0.000158,0.000166,0.000147,0.000155,8,,0.00
20171226,0.000161,0.000161,0.000156,0.000158,107,,0.00
20171225,0.000141,0.000145,0.000133,0.000138,1,,0.00
20171224,0.000146,0.000146,0.000126,0.000139,1,,0.00
20171223,0.000138,0.000157,0.000136,0.000144,1,,0.00
20171222,0.000157,0.000159,0.000114,0.000137,1,,0.00
20171221,0.000165,0.000174,0.000151,0.000157,2,,0.00
20171220,0.000176,0.000178,0.000158,0.000164,2,,0.00
20171219,0.000191,0.000192,0.000171,0.000176,2,,0.00
20171218,0.000187,0.000193,0.000183,0.000191,24,,0.00
20171217,0.000195,0.000195,0.000191,0.000194,97,,0.00
20171216,0.000176,0.000196,0.000174,0.000195,97,,0.00
20171215,0.000175,0.000181,0.000173,0.000176,39,,0.00
20171213,0.000167,0.000167,0.000165,0.000166,17,,0.00
20171210,0.000150,0.000150,0.000132,0.000141,7,,0.00
20171209,0.000163,0.000165,0.000135,0.000150,7,,0.00
20171208,0.000174,0.000176,0.000141,0.000163,3,,0.00
20171207,0.000151,0.000173,0.000151,0.000173,35,,0.00
20171125,0.000082,0.000086,0.000082,0.000086,9,,0.00
20171124,0.000080,0.000083,0.000079,0.000082,8,,0.00
20171123,0.000082,0.000083,0.000080,0.000080,8,,0.00
20171122,0.000082,0.000083,0.000081,0.000082,8,,0.00
20171113,0.000059,0.000067,0.000058,0.000065,6,,0.00
20171112,0.000064,0.000064,0.000055,0.000059,5,,0.00
20171111,0.000063,0.000065,0.000062,0.000064,2,,0.00
20171110,0.000071,0.000073,0.000071,0.000072,8,,0.00
20171109,0.000072,0.000073,0.000071,0.000071,7,,0.00
20171107,0.000070,0.000072,0.000070,0.000071,1,,0.00
20171106,0.000072,0.000073,0.000069,0.000070,1,,0.00
20171103,0.000070,0.000075,0.000069,0.000073,6,,0.00
20171102,0.000070,0.000071,0.000069,0.000070,11,,0.00
20171031,0.000061,0.000062,0.000061,0.000061,3,,0.00
20171030,0.000061,0.000062,0.000060,0.000061,180,,0.00
20171029,0.000057,0.000059,0.000057,0.000058,1,,0.00
20171028,0.000057,0.000058,0.000057,0.000057,1,,0.00
20171025,0.000055,0.000056,0.000054,0.000056,1,,0.00
20171024,0.000059,0.000059,0.000055,0.000055,6,,0.00
20171023,0.000057,0.000060,0.000057,0.000059,18,,0.00
20171021,0.000060,0.000061,0.000060,0.000061,7,,0.00
20171020,0.000057,0.000061,0.000056,0.000060,7,,0.00
20171019,0.000056,0.000057,0.000055,0.000057,6,,0.00
20171018,0.000056,0.000056,0.000051,0.000056,1,,0.00
20171017,0.000058,0.000058,0.000055,0.000056,22,,0.00
20171016,0.000057,0.000058,0.000056,0.000057,1,,0.00
20171015,0.000055,0.000057,0.000055,0.000057,58,,0.00
20171014,0.000057,0.000057,0.000056,0.000056,35,,0.00
20171013,0.000054,0.000059,0.000054,0.000057,35,,0.00
20171012,0.000048,0.000054,0.000048,0.000054,34,,0.00
20171011,0.000048,0.000049,0.000047,0.000048,31,,0.00
20171010,0.000049,0.000049,0.000047,0.000048,13,,0.00
20171009,0.000046,0.000049,0.000046,0.000048,8,,0.00
20171008,0.000044,0.000046,0.000044,0.000046,51,,0.00
20171007,0.000044,0.000045,0.000043,0.000045,519,,0.00
20171006,0.000043,0.000044,0.000043,0.000044,1405,,0.00
20171005,0.000042,0.000044,0.000042,0.000043,695,,0.00
20171004,0.000043,0.000085,0.000042,0.000042,969,,0.00
20171003,0.000088,0.000089,0.000043,0.000043,917,,0.00
20171002,0.000132,0.000177,0.000044,0.000088,40819,,0.00
20171001,0.000043,0.000176,0.000043,0.000132,20489,,0.00
20170930,0.000083,0.000087,0.000043,0.000043,4939,,0.00
20170929,0.000042,0.000085,0.000041,0.000083,2499,,0.00
20170928,0.000084,0.000128,0.000043,0.000084,2451,,0.00
