date,open,high,low,close,volume,marketcap,average
20180110,0.010645,0.010842,0.009056,0.009710,64159,14169800,0.01
20180109,0.010170,0.012197,0.009048,0.010633,161828,13538100,0.01
20180108,0.010231,0.010914,0.008714,0.010192,88091,13619600,0.01
20180107,0.010116,0.011103,0.008301,0.010246,89215,13466300,0.01
20180106,0.010553,0.011045,0.008882,0.010125,58525,14048000,0.01
20180105,0.010686,0.011341,0.007286,0.010189,146111,14224800,0.01
20180104,0.007721,0.011271,0.004572,0.010731,186847,10278200,0.01
20180103,0.007052,0.007515,0.006706,0.007414,47698,9387420,0.01
20180102,0.005565,0.007203,0.005508,0.007076,53816,7407930,0.01
20180101,0.006590,0.006590,0.005083,0.005566,57186,8772360,0.01
20171231,0.005137,0.006627,0.005084,0.006565,34044,6838790,0.01
20171230,0.005779,0.006638,0.004891,0.005191,19403,7692150,0.01
20171229,0.005919,0.006580,0.005467,0.006558,7809,7878960,0.01
20171228,0.006261,0.006261,0.004641,0.005853,11575,8334400,0.01
20171227,0.006222,0.006882,0.004759,0.006757,24497,8282030,0.01
20171226,0.006736,0.007437,0.005966,0.006217,6977,8966100,0.01
20171225,0.007050,0.007099,0.006121,0.006742,25244,9384460,0.01
20171224,0.006764,0.007178,0.005744,0.006989,47146,9004050,0.01
20171223,0.006297,0.007463,0.006143,0.006691,25287,8381680,0.01
20171222,0.007469,0.007539,0.005176,0.006238,24646,9942270,0.01
20171221,0.007743,0.007928,0.006952,0.007443,38632,10307400,0.01
20171220,0.007824,0.009385,0.007001,0.007723,65888,10415300,0.01
20171219,0.008620,0.009022,0.007571,0.007831,30555,11474700,0.01
20171218,0.009179,0.009181,0.007600,0.008613,101062,12218800,0.01
20171217,0.009921,0.010321,0.008982,0.009152,3658,13206400,0.01
20171216,0.009735,0.010716,0.009166,0.009919,32632,12958400,0.01
20171215,0.009410,0.010444,0.009020,0.009721,42305,12526700,0.01
20171214,0.009007,0.010167,0.008944,0.009396,61950,11989900,0.01
20171213,0.009743,0.010421,0.008972,0.009036,49512,12969800,0.01
20171212,0.010076,0.010312,0.009111,0.009735,69655,13412700,0.01
20171211,0.009520,0.010472,0.009402,0.010044,23694,12673200,0.01
20171210,0.009224,0.010402,0.008099,0.009590,59133,12278700,0.01
20171209,0.009507,0.010770,0.008182,0.009187,17608,12655100,0.01
20171208,0.013193,0.013193,0.007860,0.010584,28766,17561500,0.01
20171207,0.012604,0.013270,0.009405,0.013162,33184,16777400,0.01
20171206,0.011286,0.012643,0.011189,0.012625,67173,15023800,0.01
20171205,0.010857,0.011618,0.010410,0.011304,27573,14452700,0.01
20171204,0.011166,0.011536,0.010615,0.010836,35601,14863100,0.01
20171203,0.012315,0.012691,0.010516,0.011129,45811,16392500,0.01
20171202,0.012512,0.012944,0.011908,0.012303,25825,16656100,0.01
20171201,0.011560,0.012638,0.011143,0.012519,36578,15387800,0.01
20171130,0.010921,0.012028,0.010482,0.011531,31168,14537200,0.01
20171129,0.011517,0.013142,0.010193,0.010756,38830,15330400,0.01
20171128,0.011946,0.012113,0.011365,0.011528,50309,20743500,0.01
20171127,0.011557,0.012075,0.011489,0.011916,29194,20067700,0.01
20171126,0.010842,0.011736,0.010830,0.011555,28811,18826800,0.01
20171125,0.010251,0.010846,0.010184,0.010846,35594,17799900,0.01
20171124,0.009959,0.010352,0.009769,0.010271,14393,17294000,0.01
20171123,0.010115,0.010227,0.009855,0.009973,18340,17563900,0.01
20171122,0.010012,0.010222,0.009776,0.010118,31739,17382500,0.01
20171121,0.010440,0.010491,0.009845,0.009988,19388,18120200,0.01
20171120,0.010135,0.010495,0.010031,0.010438,39468,17585400,0.01
20171119,0.009602,0.010247,0.009538,0.010139,45117,16656700,0.01
20171118,0.009457,0.009827,0.009169,0.009623,35617,16400300,0.01
20171117,0.009817,0.010358,0.009312,0.009494,11822,17018700,0.01
20171116,0.009421,0.010153,0.009139,0.009979,38936,16327300,0.01
20171115,0.008638,0.009495,0.008638,0.009372,18883,14965600,0.01
20171114,0.008229,0.008904,0.008229,0.008633,26352,14252400,0.01
20171113,0.007795,0.008824,0.007795,0.008227,53326,13497100,0.01
20171112,0.008320,0.008521,0.007301,0.007784,9629,14402000,0.01
20171111,0.008480,0.009159,0.008227,0.008326,62057,14674700,0.01
20171110,0.008860,0.009252,0.008178,0.008511,55062,15327800,0.01
20171109,0.009608,0.009608,0.008598,0.008834,37928,16615400,0.01
20171108,0.008983,0.009921,0.008930,0.009617,32969,15530600,0.01
20171107,0.008652,0.009292,0.008652,0.009011,35691,14954400,0.01
20171106,0.009316,0.009391,0.008636,0.008666,24669,16095900,0.01
20171105,0.009113,0.009579,0.008962,0.009295,52191,15741600,0.01
20171104,0.009002,0.009331,0.008679,0.009130,15223,15544400,0.01
20171103,0.008847,0.009454,0.008749,0.009025,24685,15273200,0.01
20171102,0.008647,0.009355,0.008619,0.008859,52161,14922200,0.01
20171101,0.008334,0.008653,0.008177,0.008637,41483,14379300,0.01
20171031,0.008049,0.008394,0.007921,0.008341,30526,13883000,0.01
20171030,0.008124,0.008168,0.007909,0.008077,27775,14008600,0.01
20171029,0.007560,0.008288,0.007494,0.008141,51800,13032300,0.01
20171028,0.007498,0.007767,0.007443,0.007571,30766,12920200,0.01
20171027,0.007657,0.007758,0.007393,0.007477,112570,13190000,0.01
20171026,0.007519,0.007834,0.007414,0.007644,50862,12949600,0.01
