date,open,high,low,close,volume,marketcap,average
20180110,0.885030,1.03,0.724838,1.03,1427,,0.88
20180109,0.783113,0.899050,0.780504,0.883871,882,,0.84
20180108,0.729566,0.813322,0.687814,0.785253,1000,,0.75
20180107,0.791317,0.791317,0.711864,0.730588,15,,0.75
20180106,0.443282,0.794023,0.437346,0.791898,394,,0.62
20180105,0.607247,0.608171,0.384687,0.442929,35,,0.50
20180104,0.382247,0.607126,0.361047,0.607126,2,,0.48
20180103,0.371784,0.617547,0.369440,0.380164,358,,0.49
20180102,0.539381,0.556455,0.328271,0.373108,51,,0.44
20180101,0.347437,0.548628,0.324726,0.539423,213,,0.44
20171231,0.766301,0.811685,0.758685,0.804408,7,,0.79
20171230,0.879894,0.880189,0.334046,0.774668,918,,0.61
20171229,0.868052,0.909050,0.851527,0.882113,314,,0.88
20171228,0.933748,0.937236,0.819604,0.859158,387,,0.88
20171227,0.953070,0.996522,0.885934,0.935711,572,,0.94
20171226,0.835779,0.970247,0.600726,0.952381,1825,,0.79
20171225,0.843806,0.868368,0.794662,0.836633,224,,0.83
20171224,0.885920,0.885920,0.508725,0.835133,387,,0.70
20171223,0.839216,0.948460,0.618485,0.876244,876,,0.78
20171222,0.650585,0.902273,0.383958,0.831363,2784,,0.64
20171221,0.702655,0.754978,0.286135,0.648337,2740,,0.52
20171220,0.857184,0.895177,0.297894,0.700820,3108,,0.60
20171219,0.209599,0.857569,0.209599,0.854639,5394,,0.53
20171218,0.132010,0.455523,0.118008,0.186439,1794,,0.29
20171217,0.116226,0.135848,0.109437,0.131612,62,,0.12
20171216,0.102352,0.117130,0.102056,0.116211,47,,0.11
20171215,0.101461,0.107914,0.099903,0.102208,26,,0.10
20171214,0.102439,0.104776,0.099335,0.101309,52,,0.10
20171213,0.100201,0.101531,0.095503,0.098384,2,,0.10
20171212,0.098068,0.103000,0.096962,0.100117,2,,0.10
20171211,0.100630,0.110684,0.100190,0.109744,50,,0.11
20171210,0.090459,0.104101,0.088602,0.101362,46,,0.10
20171209,0.113847,0.115534,0.103322,0.105702,47,,0.11
20171208,0.130141,0.132082,0.098027,0.113962,163,,0.12
20171207,0.108101,0.136266,0.106719,0.136266,42,,0.12
