date,open,high,low,close,volume,marketcap,average
20180110,111.77,120.29,107.65,120.29,42279,22134700,113.97
20180109,113.61,118.46,109.36,112.18,83425,22499200,113.91
20180108,113.46,121.37,106.12,109.80,33251,22469800,113.75
20180107,108.79,115.26,103.38,113.56,30312,21543200,109.32
20180106,100.22,117.94,100.21,111.45,44221,19846400,109.07
20180105,89.99,101.74,88.36,101.74,48704,17819400,95.05
20180104,88.25,94.93,84.44,89.89,27186,17475400,89.69
20180103,91.88,93.43,87.14,87.88,28109,18193100,90.28
20180102,80.89,92.75,78.48,92.11,31549,16017300,85.62
20180101,87.18,87.18,79.56,80.89,5815,17262100,83.37
20171231,80.21,88.82,76.14,87.18,10650,15881500,82.48
20171230,86.72,87.05,76.50,80.77,51394,17170700,81.78
20171229,83.96,89.39,81.63,86.94,20965,16622900,85.51
20171228,91.32,91.33,79.60,83.32,42516,18079300,85.47
20171227,94.73,97.95,87.60,91.46,32104,18755100,92.78
20171226,83.43,95.69,82.89,94.69,55157,16516400,89.29
20171225,83.59,87.51,81.11,83.79,54468,16549300,84.31
20171224,89.58,89.58,75.87,82.70,84285,17734400,82.72
20171223,81.66,96.51,81.66,88.47,31371,16165700,89.09
20171222,109.92,111.37,69.62,81.09,106338,21758700,90.50
20171221,105.98,116.53,99.26,109.73,93217,20979600,107.90
20171220,102.83,107.71,92.05,106.17,66116,20354000,99.88
20171219,114.25,115.04,100.83,102.79,30543,22615300,107.94
20171218,101.68,118.98,92.75,114.18,85051,20126900,105.87
20171217,104.11,106.98,98.61,101.61,52364,20607400,102.80
20171216,86.93,104.48,81.14,103.48,52344,17206400,92.81
20171215,77.57,88.11,75.15,86.85,51982,15352300,81.63
20171214,79.46,79.70,73.32,77.52,51378,15726600,76.51
20171213,86.28,92.08,76.62,79.58,70184,17076700,84.35
20171212,90.93,101.41,85.68,86.15,117266,17995000,93.55
20171211,81.73,93.44,81.53,90.54,54074,16174500,87.48
20171210,79.24,86.16,70.22,82.36,86827,15681100,78.19
20171209,113.09,125.47,75.45,83.08,172939,22380200,100.46
20171208,113.81,117.12,104.52,113.08,79013,22522300,110.82
20171207,108.73,114.78,101.72,114.78,62525,21515200,108.25
