date,open,high,low,close,volume,marketcap,average
20180110,2.59,2.85,1.54,2.22,2490360,37234800,2.20
20180109,1.64,2.86,1.52,2.58,2525590,23559700,2.19
20180108,0.961602,1.65,0.961602,1.51,1477400,13847100,1.31
20180107,0.636555,1.23,0.630681,0.922072,1347910,9166400,0.93
20180106,0.418298,0.708461,0.393712,0.635880,476273,6023490,0.55
20180105,0.480955,0.540489,0.392580,0.417768,109796,6925760,0.47
20180104,0.452613,0.555679,0.426842,0.499740,241415,6517620,0.49
20180103,0.356076,0.552517,0.307802,0.450498,228372,5127490,0.43
20180102,0.310783,0.361652,0.278982,0.356740,124588,4475280,0.32
20180101,0.452074,0.466209,0.265211,0.309713,134761,6509860,0.37
20171231,0.334276,0.546797,0.276722,0.481523,295843,4813570,0.41
20171230,0.255899,0.364795,0.170434,0.344778,200086,3684950,0.27
20171229,0.111186,0.284344,0.092043,0.249283,216967,1601070,0.19
20171228,0.129420,0.129489,0.077889,0.110519,9119,1863650,0.10
20171227,0.112729,0.134154,0.073093,0.129635,30229,1623300,0.10
20171226,0.112590,0.117168,0.091928,0.112473,11006,1621290,0.10
20171225,0.067985,0.136332,0.067957,0.112548,6788,978981,0.10
20171224,0.053867,0.069173,0.052714,0.067651,2741,775682,0.06
20171223,0.071902,0.079604,0.050374,0.051720,1265,1035390,0.06
20171222,0.067285,0.077143,0.022834,0.071315,1937,968902,0.05
20171221,0.067944,0.071476,0.065057,0.067031,96,978390,0.07
20171220,0.061123,0.074503,0.054149,0.067871,1277,880174,0.06
20171219,0.078958,0.109216,0.058486,0.061189,3489,1137000,0.08
20171218,0.082261,0.088670,0.060276,0.079197,7292,1184550,0.07
20171217,0.072615,0.136933,0.062352,0.082369,21509,1045660,0.10
20171216,0.049995,0.072953,0.049995,0.072387,14808,719923,0.06
20171215,0.041652,0.049911,0.029315,0.049885,7042,599793,0.04
20171214,0.048342,0.051825,0.033011,0.041613,4370,696125,0.04
20171213,0.039646,0.048752,0.031731,0.048367,5398,570908,0.04
20171212,0.030855,0.039902,0.030059,0.039619,277,444310,0.03
20171211,0.025926,0.035091,0.025896,0.031054,1044,373333,0.03
20171210,0.032765,0.032765,0.025803,0.025897,137,471810,0.03
20171209,0.026700,0.040469,0.026700,0.032660,1113,384478,0.03
20171208,0.024930,0.027277,0.024316,0.026700,131,358996,0.03
20171207,0.021172,0.036208,0.020848,0.024894,1549,304878,0.03
20171206,0.023288,0.023288,0.018982,0.021246,2345,335345,0.02
20171205,0.023319,0.023706,0.022848,0.023329,534,335799,0.02
20171204,0.025931,0.027483,0.022385,0.023307,1158,373401,0.02
20171203,0.027374,0.031405,0.026738,0.027408,1459,394180,0.03
20171202,0.033253,0.033808,0.027033,0.027364,814,478837,0.03
20171201,0.026177,0.033599,0.025222,0.033253,353,376950,0.03
20171130,0.025255,0.035166,0.023798,0.026242,4071,363670,0.03
20171129,0.027276,0.038786,0.024878,0.024936,6116,392777,0.03
20171128,0.022054,0.032733,0.022054,0.027254,11495,317583,0.03
20171127,0.029646,0.035571,0.022062,0.022085,11759,426903,0.03
20171126,0.046173,0.046550,0.020674,0.029653,3126,664888,0.03
20171125,0.047712,0.048843,0.040385,0.046171,4533,687050,0.04
20171124,0.050314,0.056970,0.036613,0.047720,5484,724522,0.05
20171123,0.035282,0.051570,0.028312,0.050567,10604,508064,0.04
20171122,0.026372,0.048861,0.021681,0.035201,3665,379754,0.04
20171121,0.026552,0.031524,0.025910,0.026338,12394,382345,0.03
20171120,0.059688,0.067270,0.026594,0.026594,28014,859514,0.05
20171119,0.095560,0.095560,0.052548,0.059753,35103,1376060,0.07
20171118,0.077124,0.098666,0.075286,0.095807,38480,1110580,0.09
20171117,0.088098,0.117003,0.074860,0.086305,96217,1268610,0.10
20171116,0.120569,0.155746,0.073909,0.088159,153851,,0.11
20171115,0.419353,0.419353,0.098483,0.120664,590815,,0.26
20171114,0.384493,0.419209,0.383553,0.419124,362421,,0.40
