date,open,high,low,close,volume,marketcap,average
20180110,0.102231,0.104989,0.095824,0.104989,15,123425,0.10
20180109,0.105419,0.107999,0.100663,0.102097,12,127274,0.10
20180108,0.135165,0.135672,0.103541,0.105707,21,163186,0.12
20180107,0.142781,0.142781,0.067214,0.135354,33,172381,0.10
20180106,0.140967,0.143269,0.135811,0.142886,11,170191,0.14
20180105,0.126004,0.142048,0.123948,0.140855,2,152126,0.13
20180104,0.121562,0.125979,0.119940,0.125979,113,146764,0.12
20180102,0.054141,0.055855,0.052272,0.053071,17,65365,0.05
20180101,0.054550,0.056103,0.051775,0.054145,18,65858,0.05
20171231,0.105530,0.111780,0.104481,0.108993,1,127408,0.11
20171230,0.071768,0.115048,0.066782,0.106682,8,86647,0.09
20171227,0.131447,0.137440,0.122188,0.128519,2,158697,0.13
20171226,0.094025,0.134765,0.093640,0.131352,53,113518,0.11
20171225,0.117626,0.121050,0.092266,0.094121,34,142011,0.11
20171224,0.109676,0.116417,0.085804,0.116417,9,132413,0.10
20171223,0.116385,0.132152,0.114749,0.127089,3,140513,0.12
20171222,0.132618,0.133924,0.077260,0.115296,729,160111,0.11
20171221,0.137965,0.145526,0.105012,0.132160,360,166566,0.13
20171220,0.147469,0.149283,0.131948,0.137604,501,178041,0.14
20171219,0.129151,0.154533,0.119871,0.147614,249,155926,0.14
20171218,0.129140,0.130240,0.123348,0.129042,38,155912,0.13
20171217,0.147828,0.169729,0.127362,0.128750,661,178474,0.15
20171216,0.150175,0.150896,0.134339,0.147809,58,181307,0.14
20171215,0.134526,0.153815,0.132802,0.149964,44,162414,0.14
20171214,0.125436,0.140506,0.122886,0.134324,192,151440,0.13
20171213,0.091736,0.131916,0.091202,0.125840,517,110753,0.11
20171212,0.096306,0.097672,0.091659,0.091659,42,116271,0.09
20171211,0.105204,0.106563,0.087568,0.095997,267,127014,0.10
20171210,0.079976,0.108833,0.079976,0.105969,81,96555,0.09
20171209,0.113522,0.115204,0.094538,0.100786,3,137056,0.10
20171208,0.099620,0.113652,0.080548,0.113636,21,120272,0.10
20171207,0.079668,0.118099,0.077564,0.099386,352,96184,0.10
20171206,0.064237,0.079918,0.064237,0.079805,103,77554,0.07
20171205,0.064471,0.065425,0.058748,0.064380,5,77837,0.06
20171204,0.056883,0.058641,0.055095,0.057851,11,68676,0.06
20171203,0.055314,0.059895,0.053577,0.056695,13,66782,0.06
20171202,0.055075,0.056646,0.054283,0.055262,36,66492,0.06
20171201,0.057061,0.061242,0.053743,0.055122,27,68890,0.06
20171130,0.056122,0.061047,0.054204,0.057345,8,67756,0.06
20171129,0.050235,0.065316,0.050235,0.055273,8,60650,0.06
20171128,0.049362,0.050497,0.048885,0.050285,13,59596,0.05
20171127,0.047241,0.049324,0.047241,0.049235,64,57034,0.05
20171126,0.044344,0.048244,0.044294,0.047232,10,53537,0.05
20171125,0.044580,0.046774,0.043922,0.044359,18,53822,0.05
20171124,0.040791,0.045009,0.039892,0.044670,213,49247,0.04
20171123,0.043511,0.043724,0.042861,0.043304,5,52532,0.04
20171122,0.041057,0.043738,0.040884,0.043525,130,49569,0.04
20171121,0.041042,0.042353,0.039449,0.040958,32,49551,0.04
20171120,0.035713,0.041259,0.035285,0.041035,17,43116,0.04
20171119,0.034574,0.037638,0.034172,0.035729,36,41741,0.04
20171118,0.035666,0.036208,0.033990,0.034638,9,43060,0.04
20171117,0.034724,0.036237,0.034308,0.035804,80,41923,0.04
20171116,0.031476,0.032471,0.030771,0.032184,2,38002,0.03
20171115,0.028364,0.052571,0.028364,0.031312,16,34244,0.04
20171114,0.036050,0.037100,0.027570,0.028344,17,43524,0.03
20171113,0.035354,0.037127,0.034626,0.035974,7,42683,0.04
20171111,0.036359,0.037659,0.035214,0.035626,2,43897,0.04
20171110,0.037997,0.038336,0.035677,0.036489,2,45874,0.04
20171107,0.038831,0.040180,0.038831,0.039854,3,46881,0.04
20171106,0.040874,0.041429,0.038752,0.038893,3,49347,0.04
20171102,0.037613,0.040872,0.037613,0.038374,2,45411,0.04
20171101,0.049812,0.049828,0.036179,0.037571,2,60138,0.04
20171031,0.039463,0.049848,0.039363,0.049848,1,47644,0.04
20171030,0.034356,0.040036,0.034014,0.039598,15,41478,0.04
20171029,0.034482,0.046751,0.033294,0.034556,6,41631,0.04
20171028,0.034792,0.034866,0.034426,0.034529,0,42005,0.03
20171027,0.035439,0.036098,0.034332,0.034637,1,42785,0.04
20171026,0.036643,0.038240,0.034923,0.035430,1,44239,0.04
20171025,0.038242,0.039013,0.035356,0.036647,20,46170,0.04
20171024,0.043992,0.043992,0.038014,0.038226,239,53112,0.04
20171023,0.044845,0.045505,0.042481,0.044089,14,54142,0.04
20171022,0.050154,0.050595,0.043108,0.044917,32,60552,0.05
20171021,0.045099,0.050997,0.044267,0.050139,211,54448,0.05
20171020,0.045351,0.045893,0.044731,0.045194,1,54753,0.05
20171019,0.045760,0.047020,0.045340,0.046519,9,55246,0.05
20171018,0.045478,0.045956,0.041693,0.045736,14,54906,0.04
20171017,0.043401,0.045578,0.041574,0.045475,5,52398,0.04
20171016,0.042689,0.043620,0.041751,0.043394,16,51539,0.04
20171015,0.043884,0.044026,0.040916,0.042683,19,52982,0.04
20171014,0.043067,0.043867,0.043067,0.043806,132,51995,0.04
20171013,0.044342,0.047898,0.044058,0.046289,2,53534,0.05
20171012,0.037596,0.044206,0.037500,0.044206,5,45391,0.04
20171011,0.036245,0.037876,0.035957,0.037565,27,43758,0.04
20171010,0.036564,0.037504,0.035986,0.036251,1,44145,0.04
20171009,0.035027,0.035519,0.034685,0.035465,64,42289,0.04
20171008,0.034751,0.035100,0.034593,0.035018,63,41956,0.03
20171007,0.044263,0.044385,0.043778,0.044124,3,53440,0.04
20171006,0.044338,0.044554,0.043826,0.044249,3,53529,0.04
20171004,0.032830,0.033037,0.031904,0.032011,1,39636,0.03
20171003,0.033598,0.033606,0.032238,0.032754,3,40563,0.03
20171002,0.042447,0.043138,0.042194,0.042570,4,51247,0.04
