date,open,high,low,close,volume,marketcap,average
20180110,0.000146,0.000300,0.000138,0.000300,1396,113933,0.00
20180109,0.000301,0.000309,0.000144,0.000146,11968,234972,0.00
20180108,0.000326,0.000327,0.000142,0.000302,2609,254086,0.00
20180107,0.000173,0.000340,0.000159,0.000326,7368,134612,0.00
20180106,0.000740,0.000919,0.000184,0.000184,5327,577144,0.00
20180105,0.000531,0.001314,0.000340,0.000738,87602,414017,0.00
20180104,0.000191,0.000632,0.000178,0.000530,35423,149056,0.00
20180103,0.000241,0.000257,0.000181,0.000191,9704,188381,0.00
20180102,0.000135,0.000253,0.000125,0.000242,7909,105547,0.00
20180101,0.000126,0.000137,0.000104,0.000135,4970,98332,0.00
20171231,0.000082,0.000130,0.000075,0.000122,6508,63826,0.00
20171230,0.000087,0.000087,0.000049,0.000081,954,67984,0.00
20171229,0.000077,0.000130,0.000055,0.000087,2289,60078,0.00
20171228,0.000080,0.000102,0.000052,0.000076,1940,62555,0.00
20171227,0.000080,0.000087,0.000059,0.000077,3413,62181,0.00
20171226,0.000050,0.000080,0.000050,0.000080,1783,39315,0.00
20171225,0.000049,0.000058,0.000044,0.000050,1439,38175,0.00
20171224,0.000043,0.000053,0.000031,0.000049,606,33565,0.00
20171223,0.000041,0.000052,0.000025,0.000043,433,31629,0.00
20171222,0.000064,0.000064,0.000035,0.000040,428,49598,0.00
20171221,0.000065,0.000151,0.000053,0.000063,2211,51037,0.00
20171220,0.000078,0.000113,0.000049,0.000066,1160,61118,0.00
20171219,0.000074,0.000090,0.000073,0.000078,84,58104,0.00
20171218,0.000125,0.000129,0.000071,0.000075,21,97661,0.00
20171217,0.000059,0.000133,0.000056,0.000125,63,46085,0.00
20171216,0.000040,0.000080,0.000040,0.000058,350,31039,0.00
20171215,0.000027,0.000043,0.000026,0.000040,114,21223,0.00
20171214,0.000042,0.000043,0.000024,0.000027,39,32733,0.00
20171213,0.000047,0.000047,0.000026,0.000042,484,36515,0.00
20171212,0.000060,0.000078,0.000042,0.000047,363,46434,0.00
20171211,0.000036,0.000062,0.000025,0.000059,1384,28182,0.00
20171210,0.000109,0.000116,0.000040,0.000040,466,84811,0.00
20171209,0.000030,0.000123,0.000028,0.000106,327,23614,0.00
20171208,0.000035,0.000067,0.000023,0.000030,1879,27650,0.00
20171207,0.000096,0.000097,0.000033,0.000035,103,74728,0.00
20171206,0.000115,0.000122,0.000057,0.000096,29,89362,0.00
20171205,0.000071,0.000119,0.000027,0.000115,3816,55753,0.00
20171204,0.000020,0.000085,0.000019,0.000071,282,15733,0.00
20171203,0.000020,0.000024,0.000019,0.000020,6,15809,0.00
