date,open,high,low,close,volume,marketcap,average
20180110,0.194296,0.194296,0.155677,0.168637,264043000,2821190000,0.17
20180109,0.177253,0.240605,0.174258,0.196059,787881000,2573020000,0.21
20180108,0.180600,0.208132,0.147099,0.178385,430047000,2620880000,0.18
20180107,0.175244,0.194392,0.170287,0.181957,252851000,2542480000,0.18
20180106,0.180864,0.186502,0.163956,0.174183,290822000,2623240000,0.18
20180105,0.159472,0.199077,0.148423,0.181114,544342000,2312330000,0.17
20180104,0.145384,0.197573,0.138022,0.159184,677836000,2107470000,0.17
20180103,0.144876,0.162200,0.133645,0.145221,354873000,2089650000,0.15
20180102,0.157163,0.165060,0.132691,0.144905,451026000,2266240000,0.15
20180101,0.221716,0.223719,0.140798,0.156131,816280000,3195980000,0.18
20171231,0.141174,0.238015,0.140810,0.222600,920813000,2034410000,0.19
20171230,0.160416,0.160416,0.131505,0.142088,236381000,2311050000,0.15
20171229,0.168030,0.173128,0.137990,0.160679,328949000,2420060000,0.16
20171228,0.138123,0.166278,0.114907,0.165906,580885000,1988770000,0.14
20171227,0.197493,0.210003,0.136031,0.138199,393269000,2842820000,0.17
20171226,0.175387,0.206501,0.146588,0.200425,745294000,2523880000,0.18
20171225,0.258386,0.258386,0.133723,0.162262,457610000,3737570000,0.20
20171224,0.224923,0.279563,0.215083,0.255441,478059000,3253520000,0.25
20171223,0.125615,0.300588,0.122988,0.214400,972487000,1815570000,0.21
20171222,0.128681,0.139920,0.069166,0.124868,295942000,1859410000,0.10
20171221,0.144295,0.161849,0.105101,0.128320,374103000,2079900000,0.13
20171220,0.078770,0.163700,0.063310,0.143051,981665000,1135060000,0.11
20171219,0.059601,0.079966,0.058949,0.078311,200742000,858594000,0.07
20171218,0.052265,0.060436,0.048062,0.059563,157485000,752705000,0.05
20171217,0.041717,0.090037,0.041717,0.052139,591389000,600370000,0.07
20171216,0.018721,0.046954,0.018721,0.040697,254115000,269341000,0.03
20171215,0.019239,0.020249,0.014960,0.018863,46278500,276718000,0.02
20171214,0.014517,0.020732,0.013085,0.019107,85882100,208747000,0.02
20171213,0.009203,0.016603,0.008960,0.014828,36652000,132294000,0.01
20171212,0.008905,0.009516,0.008588,0.009330,5287600,127979000,0.01
20171211,0.008212,0.009273,0.008168,0.008766,4143160,117988000,0.01
20171210,0.008712,0.008712,0.007423,0.008294,3091980,125143000,0.01
20171209,0.008916,0.009633,0.008002,0.008588,3849740,128031000,0.01
20171208,0.008677,0.009150,0.007607,0.008793,5311020,124572000,0.01
20171207,0.007868,0.008847,0.007628,0.008828,7877410,112922000,0.01
20171206,0.007618,0.008063,0.007106,0.007999,6034820,109316000,0.01
20171205,0.007919,0.008584,0.007314,0.007733,6136980,113601000,0.01
20171204,0.006855,0.008185,0.006656,0.007803,7735120,98308300,0.01
20171203,0.006136,0.007735,0.005979,0.006723,5592120,87978200,0.01
20171202,0.006202,0.006391,0.005749,0.006140,2385550,88895000,0.01
20171201,0.005513,0.006246,0.005363,0.006196,1803340,79002500,0.01
20171130,0.005435,0.006072,0.004783,0.005612,2238420,77867500,0.01
20171129,0.006324,0.006513,0.005035,0.005435,3923970,90568800,0.01
20171128,0.006620,0.006710,0.006257,0.006330,3405020,94785400,0.01
20171127,0.006899,0.007084,0.006479,0.006534,5292330,98756200,0.01
20171126,0.005764,0.006859,0.005605,0.006802,3279390,82482200,0.01
20171125,0.005347,0.005656,0.005321,0.005604,1972920,76503000,0.01
20171124,0.005378,0.005459,0.005093,0.005430,1937470,76925500,0.01
20171123,0.005754,0.005770,0.005043,0.005385,4320440,82272700,0.01
