date,open,high,low,close,volume,marketcap,average
20180110,10.80,19.03,10.60,18.71,6585530,15631200,14.82
20180109,11.10,11.41,10.27,10.92,925542,16047000,10.84
20180108,12.71,13.02,10.37,11.14,777078,18351500,11.70
20180107,14.76,15.88,12.52,12.93,1414530,21295900,14.20
20180106,14.59,19.85,13.55,15.23,4123130,21021900,16.70
20180105,7.60,21.23,7.22,14.86,19062600,10936400,14.22
20180104,6.56,7.63,6.37,7.49,411401,9432460,7.00
20180103,6.80,7.26,6.13,6.51,713703,9764030,6.70
20180102,7.13,7.48,6.59,6.80,300070,10236800,7.04
20180101,7.45,7.68,6.62,7.13,190933,10689900,7.15
20171231,5.53,7.52,5.48,7.44,788769,7915160,6.50
20171230,6.59,6.77,5.14,5.55,209045,9427060,5.96
20171229,6.75,7.34,6.53,6.80,256183,9654970,6.94
20171228,7.37,7.39,6.29,6.70,200841,10528000,6.84
20171227,6.07,8.37,6.04,7.39,618323,8661240,7.21
20171226,7.10,7.33,5.57,5.97,465436,10121700,6.45
20171225,6.34,7.36,6.01,7.22,311272,9021920,6.69
20171224,5.10,6.81,4.60,6.23,612181,7249530,5.71
20171223,4.15,5.69,4.14,4.97,304489,5894840,4.92
20171222,5.11,5.28,3.02,4.15,415498,7249190,4.15
20171221,3.99,5.57,3.87,5.11,873384,5652450,4.72
20171220,4.20,4.20,3.34,3.95,191157,5954770,3.77
20171219,3.66,4.55,3.55,4.09,484530,5185880,4.05
20171218,3.55,4.09,3.33,3.66,653066,5015650,3.71
20171217,3.57,3.85,3.31,3.54,174077,5039290,3.58
20171216,3.08,3.55,2.88,3.27,102718,4351020,3.21
20171215,3.46,3.64,2.73,2.96,189991,4874570,3.19
20171214,3.43,3.61,3.08,3.43,306830,4831920,3.34
20171213,2.64,3.78,2.64,3.45,552504,3705870,3.21
20171212,2.33,3.04,2.24,2.63,291237,3266780,2.64
20171211,2.10,2.69,2.08,2.32,168069,2941800,2.38
20171210,2.23,2.23,1.91,2.11,69409,3120580,2.07
20171209,2.44,2.51,2.05,2.23,64335,3416610,2.28
20171208,2.48,2.83,2.02,2.42,155278,3471840,2.42
20171207,2.66,2.91,2.16,2.47,398916,3723310,2.54
20171206,2.71,2.81,2.44,2.68,161971,3783630,2.62
20171205,2.70,2.83,2.54,2.72,171782,3763560,2.69
20171204,2.51,2.84,2.34,2.67,404968,3497730,2.59
20171203,2.35,2.80,2.30,2.55,230881,3272550,2.55
20171202,2.31,2.50,2.26,2.34,55532,3215300,2.38
20171201,2.15,2.40,2.04,2.32,66561,2988530,2.22
20171130,2.34,2.47,1.93,2.17,56378,3249910,2.20
20171129,2.69,2.84,2.19,2.31,109238,3733340,2.51
20171128,2.92,2.95,2.64,2.65,84379,4036180,2.79
20171127,2.55,2.98,2.47,2.93,132612,3527540,2.73
20171126,2.58,2.76,2.50,2.58,96350,3560340,2.63
20171125,2.22,2.68,2.17,2.59,236598,3059750,2.42
20171124,2.11,2.25,2.08,2.22,75234,2904620,2.17
20171123,2.34,2.37,2.06,2.11,155020,3217860,2.21
20171122,2.21,2.57,2.16,2.33,205787,3034460,2.37
20171121,2.31,2.34,2.14,2.20,103767,3175750,2.24
20171120,2.41,2.98,2.32,2.32,332562,3308330,2.65
20171119,2.41,2.53,2.40,2.42,74734,3306130,2.46
20171118,2.50,2.65,2.38,2.43,86630,3422450,2.51
20171117,2.79,2.96,2.31,2.50,193978,3823310,2.63
20171116,2.77,2.85,2.64,2.80,54389,3792320,2.75
20171115,2.58,2.79,2.58,2.74,60320,3525550,2.69
20171114,2.53,2.62,2.46,2.58,34366,3456030,2.54
20171113,2.24,2.63,2.23,2.52,47016,3057970,2.43
20171112,2.48,2.63,2.16,2.24,57224,3381680,2.40
20171111,2.55,2.81,2.41,2.49,61820,3461280,2.61
20171110,2.98,3.12,2.47,2.57,147924,4049780,2.79
20171109,3.11,3.23,2.92,2.97,142001,4224780,3.08
20171108,3.01,3.27,2.92,3.12,109159,4078640,3.09
20171107,2.89,3.19,2.89,3.02,72472,3913570,3.04
20171106,3.27,3.33,2.85,2.89,67722,4424090,3.09
20171105,2.90,3.44,2.90,3.22,98753,3925740,3.17
20171104,3.16,3.17,2.73,2.90,111065,4269620,2.95
20171103,3.61,3.62,2.63,3.09,307582,4866960,3.12
20171102,2.28,4.58,2.18,3.70,2507560,3073440,3.38
20171101,2.28,2.44,2.14,2.27,61785,3067290,2.29
20171031,2.37,2.41,2.19,2.28,53843,3191780,2.30
20171030,2.22,2.39,2.18,2.39,27195,2975830,2.29
20171029,2.26,2.42,2.06,2.22,83538,3028400,2.24
20171028,2.47,2.51,2.20,2.27,60129,3303640,2.35
20171027,2.21,2.72,2.11,2.46,146609,2958360,2.42
20171026,2.54,2.66,2.13,2.21,59467,3389600,2.40
20171025,2.45,2.57,2.21,2.51,64500,3266870,2.39
20171024,2.16,2.61,2.05,2.41,72563,2884250,2.33
20171023,2.52,2.52,2.13,2.17,52180,3354030,2.33
20171022,2.63,2.65,2.40,2.48,46810,3498600,2.52
20171021,2.68,2.82,2.56,2.62,34452,3567580,2.69
20171020,2.70,2.94,2.62,2.72,74626,3585530,2.78
20171019,2.52,3.10,2.49,2.67,95140,3339190,2.79
20171018,2.72,2.72,2.26,2.52,80649,3608380,2.49
20171017,3.08,3.09,2.57,2.72,101628,4074330,2.83
20171016,3.23,3.24,2.95,3.08,99053,4276990,3.10
20171015,2.99,3.46,2.88,3.21,176589,3947420,3.17
20171014,3.22,3.94,2.89,2.98,742331,4245870,3.42
20171013,2.43,3.38,2.20,3.23,313204,3199770,2.79
20171012,2.20,3.69,2.14,2.39,1074540,2892180,2.92
20171011,1.73,2.31,1.67,2.20,112738,2278280,1.99
20171010,1.79,1.85,1.72,1.73,20844,2349780,1.79
20171009,1.86,1.86,1.73,1.77,45605,2439600,1.79
20171008,2.15,2.15,1.83,1.86,77329,2809640,1.99
20171007,2.16,2.23,2.06,2.14,35829,2829300,2.15
20171006,2.07,2.22,2.05,2.16,69296,2697990,2.13
20171005,2.03,2.09,1.99,2.06,27776,2646290,2.04
20171004,2.05,2.13,1.97,2.03,62666,2670240,2.05
20171003,2.09,2.25,1.94,2.04,67884,2714980,2.09
20171002,2.09,2.15,2.05,2.09,22304,2716580,2.10
20171001,2.11,2.15,2.06,2.10,37095,2737930,2.10
20170930,2.06,2.14,2.04,2.11,15995,2676260,2.09
20170929,2.18,2.18,2.03,2.07,34269,2826090,2.10
20170928,2.18,2.21,2.10,2.18,29704,2819040,2.16
20170927,2.10,2.23,2.08,2.18,31472,2716350,2.16
20170926,2.09,2.13,2.02,2.11,33249,2697320,2.08
20170925,2.04,2.16,1.97,2.10,69753,2637540,2.06
20170924,1.96,2.18,1.89,2.05,137136,2525210,2.04
20170923,1.77,2.13,1.75,1.96,129705,2271920,1.94
