date,open,high,low,close,volume,marketcap,average
20180110,6.73,6.80,5.54,6.10,2541800,154418000,6.17
20180109,6.79,7.84,6.39,6.73,7969460,155826000,7.12
20180108,5.45,6.84,5.03,6.84,4470920,124999000,5.94
20180107,5.86,6.14,5.38,5.43,2158240,134389000,5.76
20180106,5.10,5.90,4.78,5.74,3006690,117064000,5.34
20180105,5.31,5.90,4.76,5.06,4342150,121916000,5.33
20180104,4.98,5.69,4.70,5.33,3865590,114249000,5.20
20180103,5.02,5.24,4.53,4.88,2747890,115217000,4.88
20180102,5.15,5.61,4.67,5.09,4527630,118185000,5.14
20180101,4.53,5.34,4.44,5.16,2829730,103964000,4.89
20171231,4.20,5.03,3.92,4.53,4377120,96367000,4.47
20171230,4.54,4.56,3.49,4.23,2398090,104198000,4.03
20171229,4.46,4.81,4.26,4.53,2114890,102392000,4.54
20171228,4.51,4.53,3.77,4.48,2958230,103408000,4.15
20171227,4.29,4.70,4.10,4.52,3009040,98387500,4.40
20171226,4.16,4.50,3.63,4.33,6761980,95451300,4.06
20171225,3.24,4.67,3.06,4.18,9382490,74414400,3.87
20171224,3.45,3.45,2.73,3.28,1477180,79078200,3.09
20171223,2.86,3.82,2.84,3.41,1683560,65666300,3.33
20171222,3.60,3.64,2.23,2.84,2044480,82657400,2.94
20171221,3.77,4.31,3.34,3.57,3732240,86451200,3.82
20171220,3.60,3.78,2.97,3.76,2323820,82643200,3.38
20171219,3.40,3.94,3.24,3.61,3798210,77983600,3.59
20171218,3.16,3.58,2.95,3.41,1736190,72474400,3.27
20171217,2.78,3.41,2.77,3.11,1970690,63817500,3.09
20171216,2.69,2.92,2.67,2.81,928992,61573800,2.79
20171215,2.80,2.88,2.54,2.71,1296660,64180800,2.71
20171214,2.75,3.02,2.55,2.80,2202330,63073500,2.79
20171213,2.58,2.88,2.46,2.76,1270860,59182600,2.67
20171212,2.42,2.71,2.35,2.59,1602720,55530600,2.53
20171211,2.15,2.86,2.14,2.39,2287920,49324500,2.50
20171210,2.42,2.47,2.07,2.17,762340,55383800,2.27
20171209,2.65,2.72,2.29,2.41,605982,60741600,2.50
20171208,2.44,2.77,2.22,2.63,1898110,56027900,2.50
20171207,2.41,2.56,2.18,2.29,2365100,55131000,2.37
20171206,2.64,2.99,2.41,2.42,4449890,60607900,2.70
20171205,2.48,2.84,2.37,2.65,2417780,56758000,2.60
20171204,2.11,2.59,2.09,2.48,3239650,48389400,2.34
20171203,2.05,2.34,1.93,2.10,1675410,47081000,2.13
20171202,1.81,2.06,1.73,2.05,1290750,41368900,1.90
20171201,1.55,1.89,1.49,1.79,583748,35471200,1.69
20171130,1.64,1.80,1.48,1.56,570615,37596800,1.64
20171129,1.88,1.97,1.50,1.60,1075640,43036300,1.73
20171128,1.82,2.01,1.77,1.89,1414360,41600400,1.89
20171127,1.68,1.82,1.66,1.79,552450,38572800,1.74
20171126,1.67,1.75,1.60,1.69,555639,38216400,1.68
20171125,1.57,1.67,1.55,1.67,795981,35844300,1.61
20171124,1.49,1.62,1.42,1.57,702556,34236500,1.52
20171123,1.62,1.62,1.48,1.50,425120,37048600,1.55
20171122,1.44,1.64,1.43,1.64,452419,32931800,1.53
20171121,1.48,1.51,1.41,1.44,268456,33984900,1.46
20171120,1.44,1.51,1.42,1.49,499701,32880700,1.46
20171119,1.44,1.50,1.38,1.45,510029,32947700,1.44
20171118,1.39,1.47,1.33,1.45,377266,31744100,1.40
20171117,1.42,1.49,1.35,1.39,343356,32451100,1.42
20171116,1.48,1.50,1.40,1.42,627223,33818100,1.45
20171115,1.43,1.48,1.38,1.47,471011,32758500,1.43
20171114,1.45,1.49,1.41,1.42,336942,33108500,1.45
20171113,1.26,1.54,1.22,1.44,584538,28869700,1.38
20171112,1.41,1.44,1.13,1.24,664066,32245700,1.28
20171111,1.48,1.57,1.38,1.41,418671,33870600,1.48
20171110,1.69,1.74,1.36,1.49,1402350,38615000,1.55
20171109,1.67,1.80,1.59,1.70,1775470,38295700,1.70
20171108,1.44,1.74,1.41,1.65,1877800,32850200,1.57
20171107,1.44,1.55,1.41,1.44,606268,32985900,1.48
20171106,1.62,1.63,1.44,1.44,683842,37015100,1.53
20171105,1.45,1.66,1.45,1.61,887767,33215700,1.55
20171104,1.52,1.55,1.43,1.46,617210,34742700,1.49
20171103,1.47,1.64,1.34,1.52,1286720,33588100,1.49
20171102,2.03,2.09,1.31,1.46,5452730,46455000,1.70
20171101,1.46,2.08,1.43,2.00,4936210,33299500,1.75
20171031,1.42,1.61,1.34,1.45,2882690,32398800,1.48
20171030,1.29,1.47,1.23,1.42,1469420,29562000,1.35
20171029,1.24,1.61,1.21,1.29,5646160,28302300,1.41
20171028,1.07,1.29,1.02,1.24,1551330,24532700,1.16
20171027,1.03,1.08,0.983113,1.07,476411,23584100,1.03
20171026,1.13,1.17,0.976728,1.04,990603,25770400,1.07
20171025,1.25,1.34,1.06,1.12,1427480,28620700,1.20
20171024,1.15,1.40,1.11,1.25,1592070,26306600,1.25
20171023,1.33,1.56,1.04,1.15,2841320,30318000,1.30
20171022,1.00,1.60,0.882228,1.34,3520300,22875800,1.24
20171021,0.943301,1.00,0.852950,0.993247,331041,21567200,0.93
20171020,1.06,1.10,0.862305,0.937172,638956,24199900,0.98
20171019,1.12,1.18,1.01,1.06,556977,25514700,1.09
20171018,1.13,1.13,1.01,1.11,323760,25865000,1.07
20171017,1.12,1.20,1.07,1.13,463631,25591200,1.14
20171016,1.05,1.17,0.975356,1.11,499098,24033900,1.07
20171015,1.03,1.07,0.952869,1.04,308994,23529900,1.01
20171014,1.04,1.11,0.965063,1.02,394472,23685900,1.04
20171013,1.05,1.07,0.887982,1.04,819052,24062900,0.98
20171012,1.15,1.17,1.01,1.05,1014750,26232300,1.09
20171011,1.01,1.18,0.984248,1.15,536227,23006300,1.08
20171010,0.986429,1.06,0.967947,1.01,372030,22541100,1.01
20171009,1.03,1.07,0.958490,0.987377,517467,23483100,1.01
20171008,1.16,1.18,1.03,1.03,538110,26532800,1.10
20171007,1.25,1.25,1.09,1.17,654963,28570400,1.17
20171006,1.19,1.33,1.16,1.25,717512,27127800,1.25
20171005,1.29,1.32,1.13,1.18,1014110,29564800,1.23
20171004,1.42,1.49,1.28,1.28,733761,32552400,1.39
20171003,1.49,1.56,1.37,1.43,1765710,34076100,1.47
20171002,1.41,1.50,1.34,1.49,683805,32118500,1.42
20171001,1.44,1.46,1.32,1.41,649743,32916300,1.39
20170930,1.29,1.46,1.24,1.46,986852,29560800,1.35
20170929,1.28,1.33,1.20,1.29,633943,29229200,1.27
20170928,1.19,1.30,1.15,1.27,872503,27208400,1.23
20170927,1.18,1.20,1.13,1.18,305117,27014100,1.17
20170926,1.17,1.24,1.10,1.18,463706,26638000,1.17
20170925,1.08,1.17,1.05,1.15,453424,24752800,1.11
20170924,1.12,1.19,1.06,1.07,233464,25655100,1.12
20170923,1.01,1.19,0.990051,1.12,411273,23163400,1.09
20170922,1.14,1.17,0.962837,1.02,835139,26016600,1.07
20170921,1.35,1.40,1.11,1.14,1599900,30739300,1.25
20170920,1.11,1.50,1.11,1.35,1910410,25283100,1.31
20170919,1.28,1.32,1.01,1.12,1939810,29330000,1.17
20170918,0.989636,1.32,0.989636,1.26,1848980,22590000,1.15
20170917,0.850354,1.05,0.801036,0.990986,674818,19409700,0.93
20170916,0.889059,0.943532,0.771985,0.850978,264445,20292200,0.86
20170915,0.692309,0.929496,0.586629,0.890119,409173,15800700,0.76
20170914,0.925694,0.966291,0.683878,0.694622,450921,21126300,0.83
20170913,1.07,1.07,0.889764,0.926039,367060,24354300,0.98
20170912,1.12,1.19,1.05,1.08,447592,25597800,1.12
20170911,1.08,1.24,1.02,1.13,647269,24647700,1.13
20170910,1.27,1.27,1.03,1.08,355385,28990900,1.15
20170909,1.24,1.28,1.14,1.27,196612,28259400,1.21
20170908,1.36,1.43,1.15,1.23,512944,31124100,1.29
20170907,1.43,1.44,1.35,1.37,423934,32677600,1.40
20170906,1.36,1.51,1.35,1.44,453762,31081400,1.43
20170905,1.40,1.43,1.18,1.37,833352,32042000,1.30
20170904,1.78,1.85,1.28,1.40,1561570,40628400,1.56
20170903,1.49,1.88,1.49,1.79,1596340,33986800,1.69
20170902,1.79,1.80,1.44,1.49,809027,40918000,1.62
20170901,1.90,1.91,1.67,1.79,1224930,43405500,1.79
20170831,1.80,1.96,1.59,1.92,3147420,40949600,1.77
20170830,1.30,1.94,1.26,1.80,4256660,29533200,1.60
20170829,1.40,1.47,1.20,1.29,1023200,31933700,1.33
20170828,1.43,1.43,1.28,1.41,842421,32696500,1.35
20170827,1.22,1.45,1.17,1.43,1594740,27837600,1.31
20170826,1.14,1.26,1.08,1.22,596149,25978400,1.17
20170825,1.08,1.16,1.04,1.16,580664,24657600,1.10
20170824,0.974681,1.22,0.974681,1.09,1577360,22221300,1.10
20170823,0.905259,0.983651,0.863715,0.980414,344533,20637600,0.92
20170822,0.970172,0.970172,0.837048,0.907092,482333,22116400,0.90
20170821,1.05,1.08,0.918181,0.956989,458261,23945900,1.00
20170820,0.979829,1.10,0.918716,1.05,445791,22334300,1.01
20170819,0.943068,0.984738,0.843836,0.968567,365809,21495300,0.91
20170818,1.03,1.13,0.914089,0.929852,327240,23525800,1.02
20170817,1.08,1.31,0.985095,1.04,796157,24694400,1.15
20170816,0.999564,1.14,0.961066,1.09,517465,22779700,1.05
20170815,0.926573,1.17,0.806354,0.996926,991510,21115200,0.99
20170814,1.01,1.13,0.886415,0.924190,623948,23051500,1.01
20170813,1.14,1.16,0.941982,0.998966,608576,26026000,1.05
20170812,1.11,1.23,1.07,1.15,639597,25235800,1.15
20170811,1.10,1.25,1.07,1.14,861836,25064600,1.16
20170810,1.29,1.30,1.10,1.10,692956,29447100,1.20
20170809,1.38,1.39,1.27,1.29,523382,31537100,1.33
20170808,1.37,1.49,1.36,1.39,715756,31259400,1.43
20170807,1.22,1.46,1.17,1.38,1481950,27827600,1.31
20170806,1.31,1.35,1.22,1.22,474629,29917500,1.29
20170805,1.31,1.47,1.18,1.30,1142090,29916200,1.32
20170804,1.41,1.47,1.19,1.31,1203880,32131700,1.33
20170803,1.12,1.49,1.10,1.41,1328990,25595700,1.29
20170802,1.09,1.23,1.03,1.12,901633,24782700,1.13
20170801,1.00,1.12,0.966104,1.08,842464,22826700,1.04
20170731,0.927771,1.01,0.843575,1.01,417572,21126900,0.93
20170730,1.03,1.06,0.916520,0.926828,396367,23530600,0.99
20170729,0.791584,1.13,0.765067,1.02,1470200,18023900,0.95
20170728,0.891934,0.900703,0.721539,0.794126,339188,20307800,0.81
20170727,0.864688,0.919752,0.855039,0.893972,222820,19686500,0.89
20170726,0.860640,0.950908,0.813104,0.857207,321486,19593300,0.88
20170725,1.16,1.16,0.836489,0.864531,566321,26442500,1.00
20170724,1.11,1.24,1.05,1.16,535254,25187100,1.15
20170723,1.28,1.29,1.09,1.10,435903,29222800,1.19
20170722,1.14,1.34,1.12,1.28,905717,25887300,1.23
20170721,1.01,1.22,0.985180,1.13,825900,23094800,1.10
20170720,0.819813,1.10,0.815259,1.00,710506,18653000,0.96
20170719,0.799356,1.05,0.739588,0.813533,1307920,18185800,0.89
20170718,0.697130,0.811061,0.632945,0.795163,416260,15858500,0.72
20170717,0.581123,0.706407,0.573873,0.696888,219442,13218300,0.64
20170716,0.597063,0.611071,0.460345,0.594075,440617,13579500,0.54
20170715,0.671563,0.671563,0.577866,0.600008,127917,15272400,0.62
20170714,0.696329,0.697629,0.600951,0.672667,192827,15834100,0.65
20170713,0.776340,0.809345,0.663477,0.696564,467707,17651700,0.74
20170712,0.614143,0.833874,0.562225,0.779724,640429,13962500,0.70
20170711,0.652701,0.805364,0.554565,0.616953,857723,14837600,0.68
20170710,0.964275,0.983439,0.627455,0.656982,692048,21918400,0.81
20170709,1.12,1.14,0.967603,0.967603,336205,25524900,1.05
20170708,1.02,1.14,0.864361,1.12,787094,23163700,1.00
20170707,1.15,1.15,0.867444,1.02,740610,26160900,1.01
20170706,1.21,1.21,1.08,1.15,908097,27423000,1.15
20170705,1.29,1.29,1.19,1.20,765956,29201600,1.24
20170704,1.34,1.38,1.29,1.29,477338,30407900,1.33
20170703,1.30,1.40,1.22,1.34,879615,29523400,1.31
20170702,1.34,1.37,1.10,1.29,1021700,30405100,1.24
20170701,1.57,1.64,1.19,1.33,1111240,35759700,1.42
20170630,1.57,1.81,1.41,1.56,2597390,35573900,1.61
20170629,1.38,1.63,1.26,1.55,1568170,31378600,1.44
20170628,1.39,1.54,1.33,1.38,928018,31665100,1.44
20170627,1.38,1.41,1.15,1.39,944935,31264900,1.28
20170626,1.57,1.59,0.978109,1.38,2394100,35650900,1.28
20170625,1.69,1.76,1.50,1.54,1322690,38248100,1.63
20170624,1.88,1.88,1.57,1.70,1668440,42676100,1.73
20170623,1.91,2.00,1.70,1.87,2596920,43271900,1.85
20170622,1.80,1.93,1.48,1.90,3424270,40788500,1.71
20170621,1.39,2.11,1.37,1.78,14313900,31460100,1.74
20170620,1.22,1.45,1.13,1.42,2460320,27777600,1.29
20170619,0.940193,1.23,0.916345,1.23,1963650,21326700,1.07
20170618,0.822970,0.977329,0.815031,0.939960,1091030,18665900,0.90
20170617,0.764063,0.868429,0.741829,0.822752,912898,17328100,0.81
20170616,0.666321,0.777101,0.637016,0.764096,566431,15109900,0.71
20170615,0.683863,0.744760,0.560098,0.667644,397181,15506100,0.65
20170614,0.743543,0.925170,0.669665,0.677729,933246,16857700,0.80
20170613,0.653517,0.763785,0.645717,0.752367,363778,14815100,0.70
20170612,0.824535,0.852335,0.625567,0.655704,503508,18690200,0.74
20170611,0.932243,1.01,0.766814,0.818596,1217490,21129600,0.89
20170610,0.755913,1.06,0.754132,0.942280,2420090,17131300,0.91
20170609,0.729145,0.805116,0.699126,0.764694,461407,16523100,0.75
20170608,0.701255,0.752565,0.667958,0.730428,347575,15889500,0.71
20170607,0.654128,0.793668,0.629336,0.693751,739941,14820200,0.71
20170606,0.637499,0.691302,0.566815,0.649289,626768,14442000,0.63
20170605,0.524428,0.747973,0.524428,0.635762,1574410,11879300,0.64
20170604,0.457325,0.620718,0.437379,0.525369,2057080,10358300,0.53
20170603,0.428792,0.477219,0.428792,0.463225,290217,9711030,0.45
20170602,0.396333,0.453862,0.386667,0.433908,266290,8975030,0.42
20170601,0.355277,0.460571,0.355277,0.396154,467982,8044510,0.41
20170531,0.346308,0.364809,0.322207,0.355367,146510,7840650,0.34
20170530,0.409210,0.409210,0.333053,0.343154,167202,9263880,0.37
20170529,0.354366,0.418986,0.320945,0.411047,217928,8021500,0.37
20170528,0.326016,0.427655,0.302297,0.355084,291573,7379030,0.36
20170527,0.375145,0.388508,0.285065,0.324079,176216,8490180,0.34
20170526,0.387359,0.486822,0.349951,0.374102,136433,8765730,0.42
20170525,0.480785,0.496467,0.383438,0.390261,253162,10878800,0.44
20170524,0.484288,0.529673,0.469830,0.481732,298577,10957000,0.50
20170523,0.437920,0.563051,0.427805,0.483870,449027,9906950,0.50
20170522,0.463416,0.471272,0.390858,0.437636,290997,10482700,0.43
20170521,0.438536,0.466873,0.420368,0.452799,213524,9918920,0.44
20170520,0.372140,0.462965,0.369370,0.439830,325752,8416320,0.42
20170519,0.366925,0.383080,0.340036,0.372550,148751,8297550,0.36
20170518,0.357934,0.389827,0.324418,0.373411,270704,8093430,0.36
20170517,0.316926,0.386253,0.299818,0.365191,395948,7165460,0.34
20170516,0.288481,0.334579,0.272880,0.312092,311388,6521700,0.30
20170515,0.325826,0.348118,0.274525,0.284334,309188,7365230,0.31
20170514,0.313951,0.388105,0.313682,0.325723,585973,7096090,0.35
20170513,0.251708,0.421826,0.239643,0.312717,995154,5688680,0.33
20170512,0.211907,0.284471,0.202195,0.253862,390493,4788680,0.24
20170511,0.237935,0.239243,0.180066,0.211699,255613,5376330,0.21
20170510,0.245863,0.259968,0.228642,0.237510,190097,5554920,0.24
20170509,0.248934,0.280970,0.234277,0.246123,122164,5623750,0.26
20170508,0.229360,0.276463,0.229310,0.248935,211999,5181030,0.25
20170507,0.236881,0.268576,0.226143,0.229269,479531,5350390,0.25
20170506,0.219122,0.241489,0.218359,0.236895,119179,4948780,0.23
20170505,0.220115,0.241692,0.211961,0.218794,96943,4970710,0.23
20170504,0.218825,0.244446,0.209954,0.218057,171159,4941090,0.23
20170503,0.191645,0.221938,0.188258,0.216773,163260,4326930,0.21
20170502,0.181561,0.201484,0.175403,0.191572,123825,4098840,0.19
20170501,0.186180,0.199820,0.171208,0.181753,211499,4202700,0.19
20170430,0.191824,0.200522,0.179172,0.185979,67049,4329680,0.19
20170429,0.186196,0.198305,0.176508,0.187160,282015,4202230,0.19
20170428,0.187951,0.189942,0.172403,0.187153,82499,4241420,0.18
20170427,0.186544,0.200317,0.181088,0.186835,47935,4209250,0.19
20170426,0.188632,0.195596,0.184559,0.187472,63446,4255940,0.19
20170425,0.196051,0.201649,0.187385,0.188633,87038,4422890,0.19
20170424,0.201443,0.207775,0.186471,0.196096,132009,4544080,0.20
20170423,0.194043,0.213445,0.184642,0.200768,124087,4376720,0.20
20170422,0.197932,0.208824,0.190288,0.194110,87585,4463990,0.20
20170421,0.184773,0.215479,0.171654,0.200391,193599,4166800,0.19
20170420,0.198688,0.203387,0.167518,0.184797,137627,4480150,0.19
20170419,0.199329,0.222425,0.179235,0.196387,434034,4494160,0.20
20170418,0.164090,0.196475,0.155663,0.194271,182898,3699280,0.18
20170417,0.180676,0.184837,0.161911,0.164090,113883,4072790,0.17
20170416,0.173032,0.183636,0.165422,0.177522,70576,3900090,0.17
20170415,0.175618,0.183814,0.164091,0.173043,114956,3957980,0.17
20170414,0.163715,0.178934,0.158077,0.177029,101124,3689350,0.17
20170413,0.181436,0.184662,0.156326,0.158705,175669,4088290,0.17
20170412,0.188674,0.208586,0.166502,0.181503,345035,4250960,0.19
20170411,0.154876,0.208985,0.148373,0.189072,483346,3489120,0.18
20170410,0.132372,0.179082,0.132372,0.155896,285063,2981840,0.16
20170409,0.127244,0.156882,0.121786,0.132435,136944,2866040,0.14
20170408,0.115130,0.142239,0.112482,0.127177,71967,2592930,0.13
20170407,0.113052,0.129831,0.111663,0.115481,114641,2545880,0.12
20170406,0.129324,0.145150,0.112190,0.112190,165878,2912020,0.13
20170405,0.109153,0.147244,0.095625,0.130004,270070,2457580,0.12
20170404,0.092140,0.107172,0.078462,0.107172,95671,2074320,0.09
20170403,0.102094,0.107710,0.086915,0.092030,97902,2298190,0.10
20170402,0.109603,0.111907,0.099402,0.101739,78167,2466980,0.11
20170401,0.116831,0.116921,0.093741,0.109879,164321,2629400,0.11
20170331,0.120687,0.154710,0.102670,0.116841,319445,2715910,0.13
20170330,0.122373,0.129831,0.110722,0.120942,163344,2753580,0.12
20170329,0.083064,0.136064,0.078785,0.119231,411021,1868880,0.11
20170328,0.084462,0.092970,0.075569,0.083149,83700,1900140,0.08
20170327,0.096480,0.102207,0.073367,0.081509,220177,2170310,0.09
20170326,0.079827,0.104530,0.067752,0.096471,286793,1795510,0.09
20170325,0.062786,0.081272,0.053920,0.077418,169064,1412080,0.07
20170324,0.048864,0.068217,0.048344,0.062796,110309,1098850,0.06
20170323,0.055690,0.056786,0.046806,0.048853,18803,1252230,0.05
20170322,0.054121,0.056960,0.049027,0.056300,19546,1216820,0.05
20170321,0.049230,0.056623,0.048875,0.054085,23327,1106760,0.05
20170320,0.048223,0.050760,0.046790,0.049178,5800,1084010,0.05
20170319,0.042981,0.049389,0.042593,0.048204,11378,966072,0.05
